nice: cannot set niceness: Permission denied
Precompiling packages...
   1913.2 ms  ✓ CommonSolve
   1955.5 ms  ✓ IteratorInterfaceExtensions
   1957.5 ms  ✓ ConcreteStructs
   1960.5 ms  ✓ LazyArtifacts
   2062.8 ms  ✓ ExprTools
   2065.0 ms  ✓ MuladdMacro
   2133.3 ms  ✓ OpenLibm_jll
   2302.4 ms  ✓ CompilerSupportLibraries_jll
   2335.5 ms  ✓ InverseFunctions
   2386.6 ms  ✓ SuiteSparse_jll
   3157.7 ms  ✓ ADTypes
   3878.5 ms  ✓ FunctionWrappers
   1979.5 ms  ✓ ManualMemory
   1804.8 ms  ✓ EnumX
   1704.9 ms  ✓ SIMDTypes
   1824.6 ms  ✓ Reexport
   2029.3 ms  ✓ RuntimeGeneratedFunctions
   4436.7 ms  ✓ FillArrays
   2594.1 ms  ✓ Compat
   2902.3 ms  ✓ OrderedCollections
   2717.3 ms  ✓ DocStringExtensions
   3273.8 ms  ✓ Preferences
   5241.8 ms  ✓ GenericSchur
   1820.9 ms  ✓ CompositionsBase
   1724.6 ms  ✓ FastPower
   1876.3 ms  ✓ IfElse
   1991.3 ms  ✓ CommonWorldInvalidations
   1976.5 ms  ✓ FastClosures
   2474.8 ms  ✓ ConstructionBase
   3388.3 ms  ✓ CpuId
   2275.2 ms  ✓ SciMLPublic
   2421.2 ms  ✓ LoggingExtras
   3409.0 ms  ✓ EnzymeCore
   2422.3 ms  ✓ StaticArraysCore
   8130.8 ms  ✓ ExproniconLite
   2489.5 ms  ✓ NaNMath
   2296.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2799.6 ms  ✓ Requires
   8407.1 ms  ✓ Distributed
   2092.9 ms  ✓ FunctionWrappersWrappers
   5678.7 ms  ✓ IrrationalConstants
   2104.1 ms  ✓ Compat → CompatLinearAlgebraExt
   2006.9 ms  ✓ PrecompileTools
   2375.9 ms  ✓ JLLWrappers
   1805.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2015.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1994.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2106.8 ms  ✓ DiffResults
   2678.7 ms  ✓ SciMLLogging
   4117.0 ms  ✓ ThreadingUtilities
   5125.4 ms  ✓ DifferentiationInterface
   2424.2 ms  ✓ Adapt
  10785.2 ms  ✓ MacroTools
   3101.8 ms  ✓ LogExpFunctions
   2314.9 ms  ✓ IntelOpenMP_jll
   8007.2 ms  ✓ TimerOutputs
   2624.3 ms  ✓ oneTBB_jll
   2301.8 ms  ✓ OpenSpecFun_jll
   2222.1 ms  ✓ GPUArraysCore
   7200.9 ms  ✓ DataStructures
   2771.5 ms  ✓ ArrayInterface
   2009.6 ms  ✓ EnzymeCore → AdaptExt
   2007.6 ms  ✓ TruncatedStacktraces
   4500.9 ms  ✓ Static
   2296.2 ms  ✓ CommonSubexpressions
   6906.5 ms  ✓ Jieko
   6103.1 ms  ✓ ChainRulesCore
   2207.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6007.7 ms  ✓ RecipesBase
   2600.1 ms  ✓ MKL_jll
   1994.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2225.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2115.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1911.8 ms  ✓ BitTwiddlingConvenienceFunctions
   3107.3 ms  ✓ MaybeInplace
   2704.7 ms  ✓ SciMLStructures
   4987.3 ms  ✓ Setfield
   1709.2 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   1883.9 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   3194.3 ms  ✓ CPUSummary
   1382.5 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   3616.4 ms  ✓ PreallocationTools
ADTypesConstructionBaseExt Waiting for background task / IO / timer.
[pid 1741433] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x104fb590->0x7f69247d14e0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   1528.4 ms  ✓ FiniteDiff
  13402.7 ms  ✓ SparseArrays
   4402.0 ms  ✓ StaticArrayInterface
   1997.2 ms  ✓ PolyesterWeave
   7775.8 ms  ✓ Accessors
   4006.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2298.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2316.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2459.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2706.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2714.9 ms  ✓ Statistics
   2191.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1989.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2219.1 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1612.9 ms  ✓ CloseOpenIntervals
   2010.2 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1773.0 ms  ✓ LayoutPointers
   1699.2 ms  ✓ Accessors → LinearAlgebraExt
   9309.9 ms  ✓ SpecialFunctions
   1487.2 ms  ✓ FillArrays → FillArraysStatisticsExt
