nice: cannot set niceness: Permission denied
Precompiling packages...
   1871.4 ms  ✓ IteratorInterfaceExtensions
   1951.8 ms  ✓ ConcreteStructs
   1949.6 ms  ✓ LazyArtifacts
   1960.4 ms  ✓ MuladdMacro
   1939.8 ms  ✓ CommonSolve
   2049.3 ms  ✓ OpenLibm_jll
   2067.4 ms  ✓ ExprTools
   2119.6 ms  ✓ CompilerSupportLibraries_jll
   2329.2 ms  ✓ SuiteSparse_jll
   2449.4 ms  ✓ InverseFunctions
   3145.5 ms  ✓ ADTypes
   3814.2 ms  ✓ FunctionWrappers
   1898.5 ms  ✓ ManualMemory
   1805.0 ms  ✓ Reexport
   1988.9 ms  ✓ EnumX
   1798.3 ms  ✓ SIMDTypes
   2494.6 ms  ✓ Requires
   2606.2 ms  ✓ Compat
   4651.5 ms  ✓ FillArrays
   2692.4 ms  ✓ OrderedCollections
   4858.4 ms  ✓ GenericSchur
   3098.2 ms  ✓ Preferences
   2893.2 ms  ✓ DocStringExtensions
   1998.5 ms  ✓ CompositionsBase
   1907.0 ms  ✓ FastPower
   1800.5 ms  ✓ IfElse
   1894.5 ms  ✓ FastClosures
   2080.3 ms  ✓ CommonWorldInvalidations
   1890.5 ms  ✓ SciMLPublic
   2218.0 ms  ✓ ConstructionBase
   2907.9 ms  ✓ CpuId
   3371.2 ms  ✓ EnzymeCore
   2767.8 ms  ✓ LoggingExtras
   2374.9 ms  ✓ StaticArraysCore
   2210.3 ms  ✓ NaNMath
   8167.0 ms  ✓ ExproniconLite
   2585.9 ms  ✓ RuntimeGeneratedFunctions
   8225.5 ms  ✓ Distributed
   1915.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5813.8 ms  ✓ IrrationalConstants
   2185.5 ms  ✓ Adapt
   2299.3 ms  ✓ FunctionWrappersWrappers
   1830.3 ms  ✓ Compat → CompatLinearAlgebraExt
   2184.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2181.7 ms  ✓ PrecompileTools
   2396.7 ms  ✓ JLLWrappers
   1893.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2296.1 ms  ✓ DiffResults
   2787.3 ms  ✓ SciMLLogging
   2306.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4920.7 ms  ✓ DifferentiationInterface
   2390.5 ms  ✓ ArrayInterface
   4882.5 ms  ✓ ThreadingUtilities
   2003.7 ms  ✓ EnzymeCore → AdaptExt
   2318.8 ms  ✓ GPUArraysCore
   3304.0 ms  ✓ LogExpFunctions
  11005.8 ms  ✓ MacroTools
   8106.8 ms  ✓ TimerOutputs
   2508.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2602.9 ms  ✓ SciMLStructures
   3394.3 ms  ✓ IntelOpenMP_jll
   3204.8 ms  ✓ OpenSpecFun_jll
   2504.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4210.5 ms  ✓ Static
   3790.5 ms  ✓ oneTBB_jll
   2489.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   5765.1 ms  ✓ ChainRulesCore
   1994.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   7282.5 ms  ✓ Jieko
   2106.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2412.2 ms  ✓ TruncatedStacktraces
   8793.0 ms  ✓ DataStructures
   2311.4 ms  ✓ CommonSubexpressions
   5299.9 ms  ✓ PreallocationTools
   2118.9 ms  ✓ BitTwiddlingConvenienceFunctions
   7091.6 ms  ✓ RecipesBase
   1993.0 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   3036.6 ms  ✓ MaybeInplace
   2306.6 ms  ✓ MKL_jll
   1978.8 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   1712.4 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   3545.8 ms  ✓ CPUSummary
   4403.7 ms  ✓ Setfield
   1390.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   3884.7 ms  ✓ StaticArrayInterface
  14089.2 ms  ✓ SparseArrays
   1793.9 ms  ✓ PolyesterWeave
   2305.7 ms  ✓ FiniteDiff
   4588.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1905.3 ms  ✓ CloseOpenIntervals
   2203.5 ms  ✓ LayoutPointers
   7299.9 ms  ✓ Accessors
   2199.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2496.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2490.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2604.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2823.8 ms  ✓ Statistics
   1513.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1302.5 ms  ✓ Accessors → LinearAlgebraExt
   1403.5 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   8411.3 ms  ✓ SpecialFunctions
   2398.3 ms  ✓ StrideArraysCore
   1671.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   2166.7 ms  ✓ NLSolversBase
   2007.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2087.2 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2094.7 ms  ✓ DiffRules
   1812.6 ms  ✓ Polyester
   1529.4 ms  ✓ LineSearches
   3385.6 ms  ✓ SymbolicIndexingInterface
   1305.5 ms  ✓ FastBroadcast
   3899.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4397.8 ms  ✓ SciMLOperators
    999.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1197.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  20224.2 ms  ✓ StaticArrays
   1958.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   1958.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2061.3 ms  ✓ Adapt → AdaptStaticArraysExt
   2066.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2472.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2970.4 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   9190.1 ms  ✓ ForwardDiff
   3307.1 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3617.4 ms  ✓ Accessors → StaticArraysExt
   3900.6 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   6906.8 ms  ✓ FastGaussQuadrature
   3089.2 ms  ✓ FastPower → FastPowerForwardDiffExt
  18301.3 ms  ✓ SparseMatrixColorings
   3390.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  11603.6 ms  ✓ RecursiveArrayTools
   4597.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   4717.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  22677.1 ms  ✓ Moshi
   1602.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1621.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1699.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1797.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  20265.2 ms  ✓ Krylov
    494.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   7476.6 ms  ✓ SciMLBase
    853.6 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    888.2 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1091.2 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2546.2 ms  ✓ SciMLJacobianOperators
  33081.3 ms  ✓ ExponentialUtilities
   5260.7 ms  ✓ LineSearch
    894.3 ms  ✓ LineSearch → LineSearchLineSearchesExt
   1053.5 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   6652.5 ms  ✓ NonlinearSolveBase
   1643.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  11055.8 ms  ✓ LinearSolve
   1318.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1332.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1342.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   1510.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   2910.6 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   3508.5 ms  ✓ BracketingNonlinearSolve
   1244.1 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   1160.6 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   2104.7 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
   1333.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   1352.8 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveChainRulesCoreExt
   2680.9 ms  ✓ DiffEqBase
   6483.0 ms  ✓ NonlinearSolveSpectralMethods
   1797.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1712.7 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   1750.8 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1846.1 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3885.5 ms  ✓ OrdinaryDiffEqCore
   9529.8 ms  ✓ SimpleNonlinearSolve
   2369.5 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   7220.8 ms  ✓ SimpleNonlinearSolve → SimpleNonlinearSolveChainRulesCoreExt
   9333.9 ms  ✓ OrdinaryDiffEqFunctionMap
  11506.8 ms  ✓ OrdinaryDiffEqPRK
  11833.7 ms  ✓ OrdinaryDiffEqLinear
  12569.4 ms  ✓ OrdinaryDiffEqSymplecticRK
