nice: cannot set niceness: Permission denied
Precompiling packages...
   1901.1 ms  ✓ IteratorInterfaceExtensions
   2057.6 ms  ✓ Reexport
   2072.4 ms  ✓ EnumX
   2042.8 ms  ✓ Adapt
   2081.1 ms  ✓ ConcreteStructs
   2150.5 ms  ✓ CommonSolve
   2154.2 ms  ✓ ExprTools
   2265.0 ms  ✓ OpenLibm_jll
   2357.3 ms  ✓ InverseFunctions
   2306.8 ms  ✓ CompilerSupportLibraries_jll
   2418.8 ms  ✓ ConstructionBase
   3143.4 ms  ✓ Compat
   3063.7 ms  ✓ DocStringExtensions
   3469.6 ms  ✓ EnzymeCore
   3654.2 ms  ✓ FunctionWrappers
   1893.6 ms  ✓ LazyArtifacts
   1912.6 ms  ✓ FastClosures
   2000.8 ms  ✓ SciMLPublic
   2379.2 ms  ✓ SuiteSparse_jll
   2106.2 ms  ✓ StaticArraysCore
   2784.3 ms  ✓ ArrayInterface
   2805.8 ms  ✓ LoggingExtras
   1994.9 ms  ✓ FastPower
   2128.0 ms  ✓ BinaryHeaps
   3007.0 ms  ✓ ADTypes
   5645.6 ms  ✓ IrrationalConstants
   3374.2 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2120.3 ms  ✓ GPUArraysCore
   1999.2 ms  ✓ CompositionsBase
   2994.4 ms  ✓ Preferences
   2012.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2291.5 ms  ✓ NaNMath
   1890.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2403.1 ms  ✓ RuntimeGeneratedFunctions
   1802.2 ms  ✓ Compat → CompatLinearAlgebraExt
   2101.7 ms  ✓ EnzymeCore → AdaptExt
   2087.0 ms  ✓ DiffResults
   2009.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2109.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2532.8 ms  ✓ FastBroadcast
   2003.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   1808.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1885.0 ms  ✓ PrecompileTools
   1913.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1984.7 ms  ✓ JLLWrappers
   2499.9 ms  ✓ LogExpFunctions
   7207.2 ms  ✓ Distributed
   2289.0 ms  ✓ SciMLLogging
   2416.6 ms  ✓ oneTBB_jll
   2496.9 ms  ✓ OpenSpecFun_jll
   5497.8 ms  ✓ DifferentiationInterface
   7302.6 ms  ✓ TimerOutputs
   2609.5 ms  ✓ IntelOpenMP_jll
   9288.0 ms  ✓ MacroTools
   3017.3 ms  ✓ MuladdMacro
   2691.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3185.4 ms  ✓ SciMLStructures
   3200.0 ms  ✓ FunctionWrappersWrappers
   1507.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1507.3 ms  ✓ CommonSubexpressions
   1521.4 ms  ✓ TruncatedStacktraces
   1759.4 ms  ✓ MKL_jll
   1369.0 ms  ✓ RespecializeParams
   4715.6 ms  ✓ PreallocationTools
   4832.8 ms  ✓ RecipesBase
   2043.0 ms  ✓ MaybeInplace
   2442.1 ms  ✓ Setfield
    606.4 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   6007.3 ms  ✓ FindFirstFunctions
   9516.4 ms  ✓ SparseArrays
    873.6 ms  ✓ FiniteDiff
   4302.3 ms  ✓ Accessors
   2084.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2175.6 ms  ✓ Adapt → AdaptSparseArraysExt
   2188.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2191.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2479.8 ms  ✓ Statistics
   2484.8 ms  ✓ AMD
   1419.4 ms  ✓ Accessors → LinearAlgebraExt
   6021.3 ms  ✓ SpecialFunctions
   2603.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2605.6 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    794.4 ms  ✓ DiffRules
   1573.1 ms  ✓ SymbolicIndexingInterface
   2206.2 ms  ✓ SciMLOperators
    779.2 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    963.0 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   4293.1 ms  ✓ ForwardDiff
   2103.7 ms  ✓ FastPower → FastPowerForwardDiffExt
