Precompiling Pkg...
    998.8 ms  ✓ Unicode
   1002.4 ms  ✓ Logging
   1002.9 ms  ✓ nghttp2_jll
   1078.5 ms  ✓ MbedTLS_jll
   1091.3 ms  ✓ MozillaCACerts_jll
   1091.7 ms  ✓ Zlib_jll
   1193.0 ms  ✓ UUIDs
   1198.2 ms  ✓ p7zip_jll
   1287.7 ms  ✓ NetworkOptions
   1271.2 ms  ✓ Base64
    376.8 ms  ✓ LibSSH2_jll
    535.8 ms  ✓ Printf
    352.2 ms  ✓ LibCURL_jll
    353.5 ms  ✓ LibGit2_jll
   2107.6 ms  ✓ ArgTools
    609.3 ms  ✓ LibCURL
    544.3 ms  ✓ Tar
   2165.7 ms  ✓ Dates
   2749.1 ms  ✓ Markdown
   2311.1 ms  ✓ LibGit2
    532.2 ms  ✓ TOML
   2801.6 ms  ✓ Downloads
  37809.5 ms  ✓ Pkg
  23 dependencies successfully precompiled in 43 seconds
Precompiling project...
   1893.3 ms  ✓ UnPack
   1910.2 ms  ✓ MuladdMacro
   1993.5 ms  ✓ SimpleUnPack
   1972.6 ms  ✓ CommonSolve
   1996.2 ms  ✓ ConcreteStructs
   2002.7 ms  ✓ Future
   2105.1 ms  ✓ IteratorInterfaceExtensions
   2197.5 ms  ✓ ExprTools
   2289.6 ms  ✓ OpenLibm_jll
   2582.1 ms  ✓ InverseFunctions
   2986.0 ms  ✓ Statistics
   3395.7 ms  ✓ ADTypes
   3484.3 ms  ✓ Serialization
   3997.3 ms  ✓ FunctionWrappers
   1986.4 ms  ✓ DataValueInterfaces
   2107.2 ms  ✓ ManualMemory
   1893.1 ms  ✓ Reexport
   2101.5 ms  ✓ EnumX
   1786.2 ms  ✓ SIMDTypes
   2508.8 ms  ✓ CompilerSupportLibraries_jll
   2590.8 ms  ✓ SuiteSparse_jll
   4688.4 ms  ✓ FillArrays
   2691.3 ms  ✓ Requires
   3205.4 ms  ✓ OrderedCollections
   2300.4 ms  ✓ Mmap
   1909.6 ms  ✓ FastPower
   3005.2 ms  ✓ DocStringExtensions
   2098.5 ms  ✓ CompositionsBase
   1904.8 ms  ✓ IfElse
   2074.7 ms  ✓ CommonWorldInvalidations
   2401.3 ms  ✓ Inflate
   1885.0 ms  ✓ PackageExtensionCompat
   2188.8 ms  ✓ DataAPI
   2519.1 ms  ✓ ConstructionBase
   3393.2 ms  ✓ EnzymeCore
   2390.1 ms  ✓ StaticArraysCore
   1984.0 ms  ✓ TableTraits
   8704.4 ms  ✓ ExproniconLite
   5504.8 ms  ✓ IrrationalConstants
   2313.7 ms  ✓ NaNMath
   2887.1 ms  ✓ Compat
   3582.3 ms  ✓ CpuId
   2707.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3698.8 ms  ✓ Preferences
   4509.0 ms  ✓ GenericSchur
   2074.0 ms  ✓ FunctionWrappersWrappers
   2407.8 ms  ✓ RuntimeGeneratedFunctions
   2415.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   1996.4 ms  ✓ FastClosures
   5325.6 ms  ✓ LazyArtifacts
   2496.2 ms  ✓ Parameters
   2795.3 ms  ✓ Adapt
   2195.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2019.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2104.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4192.8 ms  ✓ ThreadingUtilities
   5594.5 ms  ✓ DifferentiationInterface
