nice: cannot set niceness: Permission denied
Precompiling packages...
   1949.0 ms  ✓ CommonSolve
   1987.9 ms  ✓ LazyArtifacts
   1994.9 ms  ✓ ConcreteStructs
   1995.9 ms  ✓ IteratorInterfaceExtensions
   2079.3 ms  ✓ MuladdMacro
   2075.8 ms  ✓ OpenLibm_jll
   2089.8 ms  ✓ ExprTools
   2258.7 ms  ✓ CompilerSupportLibraries_jll
   2284.4 ms  ✓ InverseFunctions
   2400.3 ms  ✓ SuiteSparse_jll
   3292.5 ms  ✓ ADTypes
   3825.9 ms  ✓ FunctionWrappers
   1900.4 ms  ✓ ManualMemory
   1898.1 ms  ✓ EnumX
   1788.6 ms  ✓ Reexport
   1792.9 ms  ✓ SIMDTypes
   2405.9 ms  ✓ Requires
   4580.0 ms  ✓ FillArrays
   2692.5 ms  ✓ Compat
   2816.7 ms  ✓ OrderedCollections
   4977.1 ms  ✓ GenericSchur
   3284.9 ms  ✓ Preferences
   2820.9 ms  ✓ DocStringExtensions
   2087.4 ms  ✓ CompositionsBase
   1989.2 ms  ✓ FastPower
   1992.3 ms  ✓ IfElse
   1904.9 ms  ✓ CommonWorldInvalidations
   1902.6 ms  ✓ FastClosures
   2301.2 ms  ✓ ConstructionBase
   1993.0 ms  ✓ SciMLPublic
   3086.2 ms  ✓ CpuId
   3112.0 ms  ✓ EnzymeCore
   2296.9 ms  ✓ StaticArraysCore
   2691.4 ms  ✓ LoggingExtras
   2483.0 ms  ✓ NaNMath
   2116.8 ms  ✓ RuntimeGeneratedFunctions
   2197.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8548.2 ms  ✓ Distributed
   8679.6 ms  ✓ ExproniconLite
   2199.8 ms  ✓ FunctionWrappersWrappers
   5644.1 ms  ✓ IrrationalConstants
   2203.6 ms  ✓ Adapt
   2104.8 ms  ✓ Compat → CompatLinearAlgebraExt
   2486.1 ms  ✓ JLLWrappers
   2283.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2409.6 ms  ✓ PrecompileTools
   1915.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1908.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4114.4 ms  ✓ ThreadingUtilities
   2262.8 ms  ✓ DiffResults
   2507.7 ms  ✓ SciMLLogging
   5084.9 ms  ✓ DifferentiationInterface
  10196.0 ms  ✓ MacroTools
   2467.6 ms  ✓ EnzymeCore → AdaptExt
   2609.9 ms  ✓ ArrayInterface
   2595.6 ms  ✓ GPUArraysCore
   3686.4 ms  ✓ LogExpFunctions
   2687.5 ms  ✓ IntelOpenMP_jll
   7710.9 ms  ✓ TimerOutputs
   2885.8 ms  ✓ oneTBB_jll
   3025.4 ms  ✓ OpenSpecFun_jll
   2107.0 ms  ✓ CommonSubexpressions
   2332.0 ms  ✓ TruncatedStacktraces
   1702.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7898.4 ms  ✓ DataStructures
   5593.5 ms  ✓ ChainRulesCore
   3798.4 ms  ✓ Static
   3210.2 ms  ✓ MaybeInplace
   2709.9 ms  ✓ SciMLStructures
   2103.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   7793.2 ms  ✓ Jieko
   2292.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   6013.5 ms  ✓ RecipesBase
   2501.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   5119.9 ms  ✓ Setfield
   2106.5 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2908.3 ms  ✓ MKL_jll
   1904.5 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   1791.6 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   4507.8 ms  ✓ PreallocationTools
   1611.9 ms  ✓ BitTwiddlingConvenienceFunctions
  12889.9 ms  ✓ SparseArrays
   2104.9 ms  ✓ FiniteDiff
ADTypesConstructionBaseExt Waiting for background task / IO / timer.
[pid 927047] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x2a032a40->0x72e477fd14e0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   3187.1 ms  ✓ CPUSummary
   8208.3 ms  ✓ Accessors
   4307.2 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2282.9 ms  ✓ Adapt → AdaptSparseArraysExt
   2391.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   4006.4 ms  ✓ StaticArrayInterface
   2710.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3000.8 ms  ✓ Statistics
