Precompiling Pkg...
    974.1 ms  ✓ Unicode
   1047.0 ms  ✓ p7zip_jll
   1067.6 ms  ✓ MozillaCACerts_jll
   1068.9 ms  ✓ Logging
   1110.8 ms  ✓ NetworkOptions
   1160.9 ms  ✓ UUIDs
   1164.4 ms  ✓ nghttp2_jll
   1164.4 ms  ✓ Zlib_jll
   1168.6 ms  ✓ Base64
   1177.1 ms  ✓ MbedTLS_jll
    523.8 ms  ✓ Printf
    326.8 ms  ✓ LibSSH2_jll
    395.6 ms  ✓ LibGit2_jll
    394.5 ms  ✓ LibCURL_jll
   1978.0 ms  ✓ ArgTools
    562.2 ms  ✓ LibCURL
    541.8 ms  ✓ Tar
   2347.7 ms  ✓ Dates
   2806.8 ms  ✓ Markdown
   2265.0 ms  ✓ LibGit2
    395.6 ms  ✓ TOML
   2790.5 ms  ✓ Downloads
  38281.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1873.5 ms  ✓ IteratorInterfaceExtensions
   1886.2 ms  ✓ UnPack
   1896.2 ms  ✓ Future
   1900.4 ms  ✓ ConcreteStructs
   1903.2 ms  ✓ SimpleUnPack
   1968.3 ms  ✓ CommonSolve
   1993.8 ms  ✓ MuladdMacro
   2267.5 ms  ✓ OpenLibm_jll
   2394.9 ms  ✓ ExprTools
   2470.9 ms  ✓ InverseFunctions
   2953.1 ms  ✓ Statistics
   3491.7 ms  ✓ ADTypes
   3485.4 ms  ✓ Serialization
   1885.9 ms  ✓ DataValueInterfaces
   2087.5 ms  ✓ ManualMemory
   4088.0 ms  ✓ FunctionWrappers
   2002.7 ms  ✓ EnumX
   2480.1 ms  ✓ SuiteSparse_jll
   1903.8 ms  ✓ SIMDTypes
   2078.9 ms  ✓ Reexport
   2713.5 ms  ✓ CompilerSupportLibraries_jll
   2706.7 ms  ✓ OrderedCollections
   2703.7 ms  ✓ Requires
   4684.8 ms  ✓ FillArrays
   5282.5 ms  ✓ OffsetArrays
   1994.9 ms  ✓ FastPower
   2395.5 ms  ✓ Mmap
   1902.7 ms  ✓ IfElse
   1824.0 ms  ✓ CommonWorldInvalidations
   2297.7 ms  ✓ Inflate
   1896.0 ms  ✓ PackageExtensionCompat
   2182.6 ms  ✓ DataAPI
   2284.1 ms  ✓ FastClosures
   2685.5 ms  ✓ ConstructionBase
   2910.2 ms  ✓ EnzymeCore
   2103.1 ms  ✓ StaticArraysCore
   3405.7 ms  ✓ Adapt
   4787.1 ms  ✓ DifferentiationInterface
   5323.4 ms  ✓ IrrationalConstants
   1698.6 ms  ✓ TableTraits
   1908.0 ms  ✓ NaNMath
   2798.5 ms  ✓ Compat
   3006.4 ms  ✓ CpuId
   2900.6 ms  ✓ DocStringExtensions
   3495.7 ms  ✓ Preferences
   1884.1 ms  ✓ CompositionsBase
   3084.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2387.8 ms  ✓ RuntimeGeneratedFunctions
   4899.8 ms  ✓ GenericSchur
   1995.3 ms  ✓ FunctionWrappersWrappers
   2490.1 ms  ✓ Parameters
   5599.6 ms  ✓ LazyArtifacts
   2392.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   2100.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2112.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4317.5 ms  ✓ ThreadingUtilities
  11176.0 ms  ✓ MacroTools
   7184.2 ms  ✓ InteractiveUtils
   2119.1 ms  ✓ DiffResults
   2611.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2200.1 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2205.5 ms  ✓ EnzymeCore → AdaptExt
   3119.3 ms  ✓ ArrayInterface
   2525.6 ms  ✓ GPUArraysCore
   2380.5 ms  ✓ Compat → CompatLinearAlgebraExt
   2589.0 ms  ✓ PrecompileTools
   6410.6 ms  ✓ FastLapackInterface
   2590.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3120.5 ms  ✓ LogExpFunctions
   3198.5 ms  ✓ CommonSubexpressions
   4190.2 ms  ✓ Tables
   3107.0 ms  ✓ JLLWrappers
   2394.1 ms  ✓ SciMLStructures
   2197.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
  10399.4 ms  ✓ Distributed
   3798.4 ms  ✓ TruncatedStacktraces
  11580.1 ms  ✓ TimerOutputs
   2991.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3300.7 ms  ✓ MaybeInplace
   5114.2 ms  ✓ SimpleTraits
   6013.6 ms  ✓ Setfield
   2195.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2899.5 ms  ✓ oneTBB_jll
   3402.7 ms  ✓ Static
   3184.0 ms  ✓ OpenSpecFun_jll
   6223.4 ms  ✓ ChainRulesCore
   3382.7 ms  ✓ FiniteDiff
   3498.7 ms  ✓ SharedArrays
   2295.9 ms  ✓ BitTwiddlingConvenienceFunctions
   6403.4 ms  ✓ IntelOpenMP_jll
   2878.1 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   9202.7 ms  ✓ DataStructures
   8009.6 ms  ✓ RecipesBase
   2408.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   5085.0 ms  ✓ CPUSummary
