nice: cannot set niceness: Permission denied
Precompiling packages...
   1870.7 ms  ✓ LazyArtifacts
   1854.1 ms  ✓ CommonSolve
   1953.4 ms  ✓ IteratorInterfaceExtensions
   1972.0 ms  ✓ MuladdMacro
   1971.0 ms  ✓ ConcreteStructs
   1974.4 ms  ✓ OpenLibm_jll
   2046.6 ms  ✓ CompilerSupportLibraries_jll
   2165.6 ms  ✓ ExprTools
   2239.3 ms  ✓ SuiteSparse_jll
   2357.4 ms  ✓ InverseFunctions
   3076.7 ms  ✓ ADTypes
   3720.5 ms  ✓ FunctionWrappers
   1803.5 ms  ✓ Reexport
   1706.7 ms  ✓ SIMDTypes
   2119.3 ms  ✓ ManualMemory
   1982.2 ms  ✓ EnumX
   2386.3 ms  ✓ Requires
   4462.0 ms  ✓ FillArrays
   2591.3 ms  ✓ Compat
   2886.5 ms  ✓ OrderedCollections
   4963.5 ms  ✓ GenericSchur
   2795.1 ms  ✓ DocStringExtensions
   3309.5 ms  ✓ Preferences
   1906.3 ms  ✓ CompositionsBase
   1908.5 ms  ✓ FastPower
   1894.0 ms  ✓ CommonWorldInvalidations
   1810.8 ms  ✓ FastClosures
   1800.0 ms  ✓ SciMLPublic
   2470.6 ms  ✓ ConstructionBase
   2979.6 ms  ✓ EnzymeCore
   3092.8 ms  ✓ CpuId
   2310.7 ms  ✓ StaticArraysCore
   2714.7 ms  ✓ LoggingExtras
   2392.1 ms  ✓ NaNMath
   4118.4 ms  ✓ ThreadingUtilities
   2788.9 ms  ✓ RuntimeGeneratedFunctions
   8360.7 ms  ✓ ExproniconLite
   1995.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8443.8 ms  ✓ Distributed
   5436.2 ms  ✓ IrrationalConstants
   1821.1 ms  ✓ IfElse
   2101.1 ms  ✓ FunctionWrappersWrappers
   2297.8 ms  ✓ Adapt
   2081.8 ms  ✓ Compat → CompatLinearAlgebraExt
   1903.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1997.5 ms  ✓ PrecompileTools
   2523.9 ms  ✓ JLLWrappers
   1995.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2295.0 ms  ✓ DiffResults
   2109.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2886.5 ms  ✓ SciMLLogging
   2109.7 ms  ✓ GPUArraysCore
   2502.9 ms  ✓ ArrayInterface
  10390.0 ms  ✓ MacroTools
   2192.6 ms  ✓ EnzymeCore → AdaptExt
   3516.2 ms  ✓ LogExpFunctions
   5793.3 ms  ✓ DifferentiationInterface
   2391.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   8178.7 ms  ✓ TimerOutputs
   2404.6 ms  ✓ OpenSpecFun_jll
   3585.4 ms  ✓ Static
   3204.8 ms  ✓ IntelOpenMP_jll
   2205.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3194.2 ms  ✓ oneTBB_jll
   2693.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2405.4 ms  ✓ TruncatedStacktraces
   8163.0 ms  ✓ DataStructures
   5795.0 ms  ✓ ChainRulesCore
   2209.5 ms  ✓ CommonSubexpressions
   4304.4 ms  ✓ SciMLStructures
   2404.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2306.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   8682.5 ms  ✓ Jieko
   2198.7 ms  ✓ BitTwiddlingConvenienceFunctions
   3105.9 ms  ✓ MaybeInplace
   7105.3 ms  ✓ RecipesBase
   5410.5 ms  ✓ PreallocationTools
   2100.2 ms  ✓ MKL_jll
   1719.1 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   1788.0 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   4498.7 ms  ✓ Setfield
   1690.5 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   3527.8 ms  ✓ CPUSummary
   1195.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   3711.4 ms  ✓ StaticArrayInterface
  13331.2 ms  ✓ SparseArrays
   2393.9 ms  ✓ FiniteDiff
   2293.4 ms  ✓ PolyesterWeave
   2476.6 ms  ✓ CloseOpenIntervals
   4920.7 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2497.2 ms  ✓ LayoutPointers
   2510.5 ms  ✓ Adapt → AdaptSparseArraysExt
   2595.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   7829.6 ms  ✓ Accessors
   2923.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2924.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2948.4 ms  ✓ Statistics
   1767.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1196.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1298.2 ms  ✓ Accessors → LinearAlgebraExt
   8804.8 ms  ✓ SpecialFunctions
   1668.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   2584.7 ms  ✓ StrideArraysCore
   1839.7 ms  ✓ NLSolversBase
   1996.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2098.6 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2008.7 ms  ✓ DiffRules
   1514.0 ms  ✓ Polyester
   1790.0 ms  ✓ LineSearches
