nice: cannot set niceness: Permission denied
Precompiling packages...
   1807.9 ms  ✓ LazyArtifacts
   1866.3 ms  ✓ IteratorInterfaceExtensions
   1828.1 ms  ✓ CommonSolve
   1967.6 ms  ✓ MuladdMacro
   2371.2 ms  ✓ CompilerSupportLibraries_jll
   2381.1 ms  ✓ SuiteSparse_jll
   2492.7 ms  ✓ ExprTools
   2538.8 ms  ✓ InverseFunctions
   2694.5 ms  ✓ ConcreteStructs
   2931.0 ms  ✓ OpenLibm_jll
   3191.3 ms  ✓ ADTypes
   3571.4 ms  ✓ FunctionWrappers
   1866.5 ms  ✓ ManualMemory
   1911.4 ms  ✓ EnumX
   4474.8 ms  ✓ FillArrays
   2071.9 ms  ✓ Requires
   2624.6 ms  ✓ Compat
   2048.3 ms  ✓ SIMDTypes
   2326.8 ms  ✓ Reexport
   3176.9 ms  ✓ Preferences
   5261.8 ms  ✓ GenericSchur
   3100.4 ms  ✓ OrderedCollections
   2352.7 ms  ✓ CompositionsBase
   2111.4 ms  ✓ FastPower
   3300.2 ms  ✓ DocStringExtensions
   1801.1 ms  ✓ CommonWorldInvalidations
   2114.3 ms  ✓ IfElse
   2254.2 ms  ✓ ConstructionBase
   1811.9 ms  ✓ LoggingExtras
   1807.6 ms  ✓ SciMLPublic
   2763.6 ms  ✓ CpuId
   2352.9 ms  ✓ FastClosures
   2221.5 ms  ✓ StaticArraysCore
   3375.5 ms  ✓ EnzymeCore
   8645.2 ms  ✓ ExproniconLite
   8581.0 ms  ✓ Distributed
   2095.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2103.3 ms  ✓ NaNMath
   2915.2 ms  ✓ RuntimeGeneratedFunctions
   2056.1 ms  ✓ FunctionWrappersWrappers
   2019.9 ms  ✓ Adapt
   2495.9 ms  ✓ Compat → CompatLinearAlgebraExt
   6722.1 ms  ✓ IrrationalConstants
   2439.9 ms  ✓ PrecompileTools
   2580.2 ms  ✓ JLLWrappers
   2066.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2217.9 ms  ✓ SciMLLogging
   2203.0 ms  ✓ DiffResults
   2309.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4687.0 ms  ✓ ThreadingUtilities
   2602.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1761.0 ms  ✓ EnzymeCore → AdaptExt
  10380.9 ms  ✓ MacroTools
   2544.5 ms  ✓ ArrayInterface
   2461.6 ms  ✓ GPUArraysCore
   5600.9 ms  ✓ DifferentiationInterface
   3250.2 ms  ✓ LogExpFunctions
   2596.5 ms  ✓ IntelOpenMP_jll
   2194.9 ms  ✓ TruncatedStacktraces
   2778.8 ms  ✓ oneTBB_jll
   3102.9 ms  ✓ OpenSpecFun_jll
   2883.3 ms  ✓ CommonSubexpressions
   3127.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   5094.5 ms  ✓ Static
   9903.9 ms  ✓ TimerOutputs
   2179.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   6833.5 ms  ✓ ChainRulesCore
   8562.9 ms  ✓ DataStructures
   6843.1 ms  ✓ RecipesBase
   3609.1 ms  ✓ MaybeInplace
   2889.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
