nice: cannot set niceness: Permission denied
Precompiling packages...
   1517.1 ms  ✓ UUIDs
   1519.6 ms  ✓ MozillaCACerts_jll
   1620.8 ms  ✓ Logging
   1631.5 ms  ✓ Zlib_jll
   1634.6 ms  ✓ Unicode
   1707.7 ms  ✓ OpenSSL_jll
   1679.9 ms  ✓ NetworkOptions
   1712.4 ms  ✓ nghttp2_jll
   1733.8 ms  ✓ CompilerSupportLibraries_jll
   1842.0 ms  ✓ Base64
    485.6 ms  ✓ LibSSH2_jll
    582.6 ms  ✓ p7zip_jll
    729.2 ms  ✓ Printf
    484.7 ms  ✓ LibGit2_jll
    495.2 ms  ✓ LibCURL_jll
   3216.1 ms  ✓ ArgTools
    757.6 ms  ✓ LibCURL
    645.4 ms  ✓ Tar
   2974.6 ms  ✓ Dates
   3050.3 ms  ✓ LibGit2
    439.2 ms  ✓ TOML
   3001.2 ms  ✓ Downloads
   9218.5 ms  ✓ StyledStrings
   1662.7 ms  ✓ JuliaSyntaxHighlighting
   3722.6 ms  ✓ Markdown
  45924.1 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2324.1 ms  ✓ IteratorInterfaceExtensions
   2448.6 ms  ✓ CommonSolve
   2462.7 ms  ✓ Future
   2665.8 ms  ✓ MuladdMacro
   2749.2 ms  ✓ OpenLibm_jll
   2826.3 ms  ✓ ConcreteStructs
   3046.3 ms  ✓ ExprTools
   3041.9 ms  ✓ InverseFunctions
   3138.2 ms  ✓ SuiteSparse_jll
   3740.2 ms  ✓ Statistics
   4146.3 ms  ✓ Serialization
   4345.6 ms  ✓ ADTypes
   2556.9 ms  ✓ EnumX
   2465.2 ms  ✓ Reexport
   2933.0 ms  ✓ ManualMemory
   2534.2 ms  ✓ SIMDTypes
   5543.4 ms  ✓ FillArrays
   2962.3 ms  ✓ CompositionsBase
   2498.3 ms  ✓ FastPower
   3607.6 ms  ✓ DocStringExtensions
   2416.9 ms  ✓ IfElse
   4774.4 ms  ✓ Requires
   2392.7 ms  ✓ FastClosures
   3810.0 ms  ✓ EnzymeCore
   2823.4 ms  ✓ CommonWorldInvalidations
   2907.5 ms  ✓ StaticArraysCore
   3286.4 ms  ✓ SciMLPublic
   3104.9 ms  ✓ LoggingExtras
   4191.2 ms  ✓ CpuId
   2574.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  11264.9 ms  ✓ FunctionWrappers
   4029.4 ms  ✓ Preferences
   6530.7 ms  ✓ GenericSchur
  10203.4 ms  ✓ OrderedCollections
   5194.6 ms  ✓ LazyArtifacts
   9729.3 ms  ✓ ConstructionBase
   2580.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2706.4 ms  ✓ FillArrays → FillArraysStatisticsExt
  16047.4 ms  ✓ ExproniconLite
   3003.1 ms  ✓ Adapt
  14196.2 ms  ✓ IrrationalConstants
   9313.1 ms  ✓ NaNMath
   2572.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2711.6 ms  ✓ DiffResults
   2994.3 ms  ✓ FunctionWrappersWrappers
  10894.2 ms  ✓ Compat
   2861.3 ms  ✓ PrecompileTools
   3615.9 ms  ✓ JLLWrappers
  19831.0 ms  ✓ MacroTools
   8728.5 ms  ✓ RuntimeGeneratedFunctions
   2729.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3406.5 ms  ✓ SciMLLogging
   3302.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  15106.1 ms  ✓ InteractiveUtils
   2479.8 ms  ✓ EnzymeCore → AdaptExt
   3425.3 ms  ✓ GPUArraysCore
   2705.6 ms  ✓ Compat → CompatLinearAlgebraExt
   3572.6 ms  ✓ LogExpFunctions
  12101.8 ms  ✓ ThreadingUtilities
  12391.5 ms  ✓ DifferentiationInterface
   3168.2 ms  ✓ CommonSubexpressions
   3807.8 ms  ✓ OpenSpecFun_jll
   9062.6 ms  ✓ DataStructures
   9802.1 ms  ✓ Jieko
   4509.4 ms  ✓ TruncatedStacktraces
  19268.2 ms  ✓ Distributed
   2496.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   7194.9 ms  ✓ IntelOpenMP_jll
  20668.6 ms  ✓ TimerOutputs
   3113.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   8715.2 ms  ✓ RecipesBase
   7318.9 ms  ✓ oneTBB_jll
   6327.1 ms  ✓ Setfield
  11312.6 ms  ✓ ArrayInterface
   1586.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1780.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1995.8 ms  ✓ MaybeInplace
   1905.7 ms  ✓ FiniteDiff
   3634.3 ms  ✓ PreallocationTools
   4296.5 ms  ✓ MKL_jll
  23199.4 ms  ✓ SparseArrays
   5168.4 ms  ✓ SciMLStructures
   2583.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  11042.1 ms  ✓ ChainRulesCore
  13595.9 ms  ✓ Accessors
   3183.5 ms  ✓ Adapt → AdaptSparseArraysExt
   3378.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3389.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3492.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3525.6 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3208.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   4203.8 ms  ✓ Statistics → SparseArraysExt
  10294.4 ms  ✓ SpecialFunctions
   2433.4 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
