nice: cannot set niceness: Permission denied
Precompiling packages...
   1927.0 ms  ✓ LazyArtifacts
   1944.0 ms  ✓ ConcreteStructs
   1945.8 ms  ✓ MuladdMacro
   1943.5 ms  ✓ IteratorInterfaceExtensions
   2140.7 ms  ✓ OpenLibm_jll
   2123.2 ms  ✓ CommonSolve
   2231.3 ms  ✓ CompilerSupportLibraries_jll
   2256.5 ms  ✓ ExprTools
   2320.3 ms  ✓ InverseFunctions
   2317.4 ms  ✓ SuiteSparse_jll
   3224.6 ms  ✓ ADTypes
   3811.2 ms  ✓ FunctionWrappers
   1914.6 ms  ✓ ManualMemory
   1699.2 ms  ✓ Reexport
   1729.7 ms  ✓ SIMDTypes
   1901.8 ms  ✓ EnumX
   2492.3 ms  ✓ Compat
   2305.3 ms  ✓ NaNMath
   4459.2 ms  ✓ FillArrays
   4850.1 ms  ✓ GenericSchur
   2716.0 ms  ✓ OrderedCollections
   3010.2 ms  ✓ Preferences
   2883.8 ms  ✓ DocStringExtensions
   1966.7 ms  ✓ CompositionsBase
   1784.7 ms  ✓ FastPower
   1892.3 ms  ✓ IfElse
   1881.0 ms  ✓ FastClosures
   1993.1 ms  ✓ CommonWorldInvalidations
   2315.0 ms  ✓ ConstructionBase
   2891.4 ms  ✓ CpuId
   1999.3 ms  ✓ SciMLPublic
   3098.0 ms  ✓ EnzymeCore
   2670.2 ms  ✓ LoggingExtras
   2596.1 ms  ✓ StaticArraysCore
   2018.6 ms  ✓ RuntimeGeneratedFunctions
   2425.1 ms  ✓ Requires
   1909.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8031.9 ms  ✓ Distributed
   8525.4 ms  ✓ ExproniconLite
   2101.0 ms  ✓ FunctionWrappersWrappers
   2099.5 ms  ✓ Compat → CompatLinearAlgebraExt
   6099.7 ms  ✓ IrrationalConstants
   1907.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2092.4 ms  ✓ PrecompileTools
   2415.9 ms  ✓ JLLWrappers
   2365.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2594.1 ms  ✓ DiffResults
   2763.7 ms  ✓ SciMLLogging
   2433.1 ms  ✓ Adapt
   4290.2 ms  ✓ ThreadingUtilities
   2591.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5480.5 ms  ✓ DifferentiationInterface
   2594.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  10800.6 ms  ✓ MacroTools
   3286.0 ms  ✓ LogExpFunctions
   2432.0 ms  ✓ IntelOpenMP_jll
   7807.4 ms  ✓ TimerOutputs
   2699.3 ms  ✓ oneTBB_jll
   2605.4 ms  ✓ OpenSpecFun_jll
   2591.8 ms  ✓ ArrayInterface
   2527.9 ms  ✓ GPUArraysCore
   2409.4 ms  ✓ EnzymeCore → AdaptExt
   7606.4 ms  ✓ DataStructures
   2203.9 ms  ✓ TruncatedStacktraces
   5701.3 ms  ✓ ChainRulesCore
   4489.0 ms  ✓ Static
   2319.2 ms  ✓ CommonSubexpressions
   2129.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2072.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3076.1 ms  ✓ MKL_jll
   2108.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2231.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   7335.0 ms  ✓ RecipesBase
   2224.6 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2897.9 ms  ✓ SciMLStructures
   3295.2 ms  ✓ MaybeInplace
   9164.5 ms  ✓ Jieko
   5094.8 ms  ✓ Setfield
   2594.1 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   1495.1 ms  ✓ BitTwiddlingConvenienceFunctions
   1940.4 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   1612.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   4424.6 ms  ✓ PreallocationTools
   1413.5 ms  ✓ FiniteDiff
  13431.8 ms  ✓ SparseArrays
   3200.0 ms  ✓ CPUSummary
   4334.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3992.8 ms  ✓ StaticArrayInterface
   8189.6 ms  ✓ Accessors
   1993.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2586.6 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2608.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2620.4 ms  ✓ Adapt → AdaptSparseArraysExt
   2823.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2283.9 ms  ✓ PolyesterWeave
   2929.9 ms  ✓ Statistics
   1514.8 ms  ✓ CloseOpenIntervals
   1804.9 ms  ✓ LayoutPointers
   1721.1 ms  ✓ Accessors → LinearAlgebraExt
   9477.6 ms  ✓ SpecialFunctions
   2203.6 ms  ✓ NLSolversBase
   1504.7 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1493.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   2101.0 ms  ✓ StrideArraysCore
   1933.9 ms  ✓ DiffRules
   1967.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1995.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2469.9 ms  ✓ LineSearches
   1497.4 ms  ✓ Polyester
   3478.2 ms  ✓ SymbolicIndexingInterface
   4082.6 ms  ✓ SciMLOperators
   4040.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1391.7 ms  ✓ FastBroadcast
   1004.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1279.7 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  21202.8 ms  ✓ StaticArrays
   8284.1 ms  ✓ ForwardDiff
   3509.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
