nice: cannot set niceness: Permission denied
Precompiling packages...
    418.0 ms  ✓ Reexport
    414.3 ms  ✓ CommonSolve
    581.0 ms  ✓ ConstructionBase
    503.3 ms  ✓ StaticArraysCore
    607.5 ms  ✓ Statistics
   1358.9 ms  ✓ IrrationalConstants
    489.1 ms  ✓ IfElse
   1007.1 ms  ✓ SuiteSparse_jll
    768.5 ms  ✓ EnzymeCore
    533.3 ms  ✓ ManualMemory
    472.3 ms  ✓ CommonWorldInvalidations
    450.3 ms  ✓ Future
    900.9 ms  ✓ SciMLPublic
    449.6 ms  ✓ FastPower
    541.8 ms  ✓ InverseFunctions
    470.8 ms  ✓ CompositionsBase
    474.3 ms  ✓ MuladdMacro
    473.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    497.8 ms  ✓ EnumX
    431.9 ms  ✓ ConcreteStructs
   2229.9 ms  ✓ ExproniconLite
    483.0 ms  ✓ ExprTools
   1126.2 ms  ✓ FillArrays
    747.5 ms  ✓ OrderedCollections
    802.2 ms  ✓ ADTypes
    848.5 ms  ✓ Serialization
    571.6 ms  ✓ FastClosures
   5320.8 ms  ✓ MacroTools
    758.6 ms  ✓ DocStringExtensions
    501.5 ms  ✓ SIMDTypes
    465.8 ms  ✓ IteratorInterfaceExtensions
    785.4 ms  ✓ Requires
    752.8 ms  ✓ CpuId
   1210.3 ms  ✓ GenericSchur
    574.8 ms  ✓ LoggingExtras
    627.1 ms  ✓ Compat
   1410.5 ms  ✓ InteractiveUtils
    463.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    585.7 ms  ✓ DiffResults
   1025.5 ms  ✓ LazyArtifacts
   4028.6 ms  ✓ FunctionWrappers
    478.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    779.5 ms  ✓ OpenLibm_jll
   1276.6 ms  ✓ ThreadingUtilities
   2289.4 ms  ✓ Preferences
    535.6 ms  ✓ FillArrays → FillArraysStatisticsExt
    440.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    491.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2006.5 ms  ✓ Jieko
   1175.9 ms  ✓ DifferentiationInterface
   1840.8 ms  ✓ DataStructures
    485.7 ms  ✓ RuntimeGeneratedFunctions
    620.4 ms  ✓ CommonSubexpressions
    747.8 ms  ✓ LogExpFunctions
    617.7 ms  ✓ Adapt
    585.3 ms  ✓ Compat → CompatLinearAlgebraExt
   4065.1 ms  ✓ TimerOutputs
    531.8 ms  ✓ FunctionWrappersWrappers
   2816.4 ms  ✓ Distributed
    484.3 ms  ✓ PrecompileTools
    545.1 ms  ✓ NaNMath
   1591.4 ms  ✓ Setfield
    616.2 ms  ✓ JLLWrappers
    647.7 ms  ✓ SciMLLogging
    573.2 ms  ✓ TruncatedStacktraces
    470.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4531.4 ms  ✓ SparseArrays
    681.6 ms  ✓ ArrayInterface
    710.5 ms  ✓ GPUArraysCore
    511.4 ms  ✓ EnzymeCore → AdaptExt
   2648.6 ms  ✓ Accessors
    421.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    671.9 ms  ✓ OpenSpecFun_jll
   1513.2 ms  ✓ ChainRulesCore
   1151.8 ms  ✓ IntelOpenMP_jll
   1197.6 ms  ✓ oneTBB_jll
    580.5 ms  ✓ Statistics → SparseArraysExt
    661.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
    598.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    557.8 ms  ✓ Adapt → AdaptSparseArraysExt
   9716.2 ms  ✓ Moshi
    456.7 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7203.6 ms  ✓ Krylov
    905.0 ms  ✓ MaybeInplace
    737.7 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    821.4 ms  ✓ SciMLStructures
    616.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1658.8 ms  ✓ PreallocationTools
    657.7 ms  ✓ Accessors → LinearAlgebraExt
   2806.4 ms  ✓ RecipesBase
   9962.7 ms  ✓ SparseMatrixColorings
    855.6 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
  15221.6 ms  ✓ StaticArrays
    538.3 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
    473.2 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
    487.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   3263.6 ms  ✓ SpecialFunctions
    482.4 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
    717.3 ms  ✓ FiniteDiff
    591.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1331.2 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   1276.7 ms  ✓ MKL_jll
   1208.4 ms  ✓ SymbolicIndexingInterface
    892.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1879.6 ms  ✓ SciMLOperators
    742.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    776.9 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
    737.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    745.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    844.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
    736.3 ms  ✓ Adapt → AdaptStaticArraysExt
    795.4 ms  ✓ Accessors → StaticArraysExt
    801.0 ms  ✓ DiffRules
   2012.3 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1728.9 ms  ✓ FastGaussQuadrature
    753.3 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    727.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    638.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
    560.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    845.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
    857.9 ms  ✓ NLSolversBase
    927.5 ms  ✓ LineSearches
   3862.1 ms  ✓ ForwardDiff
   5009.6 ms  ✓ RecursiveArrayTools
    550.5 ms  ✓ FastPower → FastPowerForwardDiffExt
