nice: cannot set niceness: Permission denied
Precompiling packages...
   2026.3 ms  ✓ ConcreteStructs
   2033.5 ms  ✓ DataValueInterfaces
   2027.7 ms  ✓ Reexport
   2080.4 ms  ✓ CommonSolve
   2112.2 ms  ✓ LaTeXStrings
   2129.9 ms  ✓ EnumX
   2224.7 ms  ✓ OpenLibm_jll
   2291.1 ms  ✓ ExprTools
   2321.5 ms  ✓ InverseFunctions
   2698.0 ms  ✓ ConstructionBase
   2822.2 ms  ✓ OrderedCollections
   3058.6 ms  ✓ Compat
   3120.1 ms  ✓ DocStringExtensions
   3324.0 ms  ✓ EnzymeCore
   3826.3 ms  ✓ FunctionWrappers
   1890.6 ms  ✓ IteratorInterfaceExtensions
   2184.0 ms  ✓ DataAPI
   1994.3 ms  ✓ FastClosures
   1908.6 ms  ✓ LazyArtifacts
   2113.9 ms  ✓ CompilerSupportLibraries_jll
   2204.4 ms  ✓ Adapt
   2295.4 ms  ✓ SuiteSparse_jll
   1980.3 ms  ✓ CompositionsBase
   2601.3 ms  ✓ LoggingExtras
   1900.4 ms  ✓ SciMLPublic
   2789.1 ms  ✓ ADTypes
   1709.6 ms  ✓ FastPower
   2207.9 ms  ✓ StaticArraysCore
   6184.0 ms  ✓ IrrationalConstants
   2098.2 ms  ✓ BinaryHeaps
   3189.9 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2292.7 ms  ✓ RuntimeGeneratedFunctions
   2594.5 ms  ✓ NaNMath
   2217.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2391.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1995.7 ms  ✓ Compat → CompatLinearAlgebraExt
   1798.2 ms  ✓ TableTraits
   5602.3 ms  ✓ Crayons
   3497.1 ms  ✓ Preferences
   2083.4 ms  ✓ EnzymeCore → AdaptExt
   2203.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2596.7 ms  ✓ GPUArraysCore
   2095.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2710.4 ms  ✓ ArrayInterface
   1995.5 ms  ✓ DiffResults
   2103.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   7093.5 ms  ✓ Distributed
   1605.8 ms  ✓ PrecompileTools
   1994.2 ms  ✓ JLLWrappers
   2903.8 ms  ✓ LogExpFunctions
   2561.0 ms  ✓ SciMLLogging
   1902.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1991.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3614.8 ms  ✓ Tables
   2492.7 ms  ✓ FastBroadcast
   4912.7 ms  ✓ DifferentiationInterface
   2770.3 ms  ✓ SciMLStructures
   2776.5 ms  ✓ FunctionWrappersWrappers
   9398.9 ms  ✓ MacroTools
   2388.7 ms  ✓ oneTBB_jll
   2241.1 ms  ✓ IntelOpenMP_jll
   1999.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3403.6 ms  ✓ MuladdMacro
   2707.9 ms  ✓ OpenSpecFun_jll
