nice: cannot set niceness: Permission denied
Precompiling packages...
   1934.7 ms  ✓ OpenLibm_jll
   1920.8 ms  ✓ CommonSolve
   1952.3 ms  ✓ MuladdMacro
   1950.6 ms  ✓ LazyArtifacts
   1951.6 ms  ✓ IteratorInterfaceExtensions
   2062.7 ms  ✓ ConcreteStructs
   2162.7 ms  ✓ ExprTools
   2222.9 ms  ✓ CompilerSupportLibraries_jll
   2376.5 ms  ✓ SuiteSparse_jll
   2536.4 ms  ✓ InverseFunctions
   3052.7 ms  ✓ ADTypes
   3857.0 ms  ✓ FunctionWrappers
   1991.0 ms  ✓ ManualMemory
   1797.6 ms  ✓ Reexport
   1798.5 ms  ✓ SIMDTypes
   2094.7 ms  ✓ EnumX
   4343.5 ms  ✓ FillArrays
   2481.0 ms  ✓ Requires
   2689.7 ms  ✓ Compat
   4747.0 ms  ✓ GenericSchur
   2895.8 ms  ✓ OrderedCollections
   3093.9 ms  ✓ Preferences
   2708.5 ms  ✓ DocStringExtensions
   2025.2 ms  ✓ CompositionsBase
   1904.2 ms  ✓ FastPower
   1897.5 ms  ✓ IfElse
   1901.2 ms  ✓ CommonWorldInvalidations
   1906.4 ms  ✓ FastClosures
   2294.5 ms  ✓ ConstructionBase
   1864.3 ms  ✓ SciMLPublic
   2903.4 ms  ✓ CpuId
   2492.9 ms  ✓ LoggingExtras
   3325.1 ms  ✓ EnzymeCore
   2507.0 ms  ✓ StaticArraysCore
   2500.0 ms  ✓ NaNMath
   2196.4 ms  ✓ RuntimeGeneratedFunctions
   8246.3 ms  ✓ ExproniconLite
   8523.0 ms  ✓ Distributed
   2196.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2111.5 ms  ✓ FunctionWrappersWrappers
   2099.1 ms  ✓ Adapt
   6063.9 ms  ✓ IrrationalConstants
   2195.9 ms  ✓ Compat → CompatLinearAlgebraExt
   2097.7 ms  ✓ PrecompileTools
   2304.6 ms  ✓ JLLWrappers
   2107.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2000.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2186.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4438.3 ms  ✓ ThreadingUtilities
   2262.9 ms  ✓ DiffResults
   2693.3 ms  ✓ SciMLLogging
   4903.6 ms  ✓ DifferentiationInterface
   2311.0 ms  ✓ ArrayInterface
   1842.1 ms  ✓ EnzymeCore → AdaptExt
   9869.1 ms  ✓ MacroTools
   2502.7 ms  ✓ GPUArraysCore
   3107.4 ms  ✓ LogExpFunctions
   1783.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7887.5 ms  ✓ TimerOutputs
   2499.3 ms  ✓ oneTBB_jll
   2809.3 ms  ✓ IntelOpenMP_jll
   2482.1 ms  ✓ OpenSpecFun_jll
   2527.3 ms  ✓ SciMLStructures
   3201.0 ms  ✓ Static
   2299.6 ms  ✓ TruncatedStacktraces
   8016.3 ms  ✓ DataStructures
   2311.4 ms  ✓ CommonSubexpressions
   5769.2 ms  ✓ ChainRulesCore
   1979.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2012.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2012.3 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   7924.7 ms  ✓ Jieko
   3302.6 ms  ✓ MaybeInplace
   5197.4 ms  ✓ PreallocationTools
   1997.8 ms  ✓ BitTwiddlingConvenienceFunctions
   6997.4 ms  ✓ RecipesBase
   2701.5 ms  ✓ MKL_jll
   1993.0 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   4683.3 ms  ✓ Setfield
   1993.8 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   1394.4 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   3059.0 ms  ✓ CPUSummary
  13326.5 ms  ✓ SparseArrays
   1732.8 ms  ✓ FiniteDiff
ADTypesConstructionBaseExt Waiting for background task / IO / timer.
[pid 3793951] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x18222b10->0x77d599dd14e0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   4324.0 ms  ✓ StaticArrayInterface
   6886.8 ms  ✓ Accessors
   1958.5 ms  ✓ PolyesterWeave
   3990.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2198.0 ms  ✓ Adapt → AdaptSparseArraysExt
   2497.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2603.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2708.4 ms  ✓ Statistics
   2283.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2122.0 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2105.6 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1622.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1507.6 ms  ✓ CloseOpenIntervals
   1426.6 ms  ✓ Accessors → LinearAlgebraExt
   1611.3 ms  ✓ LayoutPointers
   1505.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   8205.2 ms  ✓ SpecialFunctions
   1195.5 ms  ✓ DiffRules
   1801.4 ms  ✓ StrideArraysCore
   2537.8 ms  ✓ SymbolicIndexingInterface
   1380.6 ms  ✓ Polyester
   3295.0 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   3679.4 ms  ✓ SciMLOperators
   1218.6 ms  ✓ FastBroadcast
   1206.5 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
DifferentiationInterfaceChainRulesCoreExt Waiting for background task / IO / timer.
[pid 3794674] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x1861520->0x70917c834ee0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   1214.7 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  21896.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  19606.2 ms  ✓ StaticArrays
MaybeInplaceSparseArraysExt Waiting for background task / IO / timer.
[pid 3794978] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x20e59c50->0x787d50c284f0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   3003.5 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   3196.7 ms  ✓ NLSolversBase
   4235.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4505.9 ms  ✓ FillArrays → FillArraysStaticArraysExt
   4502.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   4718.8 ms  ✓ Adapt → AdaptStaticArraysExt
   4901.9 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  10789.3 ms  ✓ ForwardDiff
   5706.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
  17392.3 ms  ✓ SparseMatrixColorings
   3665.0 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4294.6 ms  ✓ Accessors → StaticArraysExt
   3082.4 ms  ✓ LineSearches
  12640.5 ms  ✓ RecursiveArrayTools
   3203.0 ms  ✓ FastPower → FastPowerForwardDiffExt
  22223.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   3511.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  19915.0 ms  ✓ Krylov
  21692.5 ms  ✓ Moshi
   3883.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2821.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   4233.2 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   1279.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1296.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1330.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   5458.1 ms  ✓ FastGaussQuadrature
  21757.7 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
RecursiveArrayToolsStatisticsExt Waiting for background task / IO / timer.
[pid 3795842] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0xa189fb0->0x780143b6dc90
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  30890.9 ms  ✓ ExponentialUtilities
    956.6 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  21386.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
