nice: cannot set niceness: Permission denied
Precompiling packages...
   2178.0 ms  ✓ ConcreteStructs
   2439.2 ms  ✓ LazyArtifacts
   2476.3 ms  ✓ MuladdMacro
   2476.4 ms  ✓ CommonSolve
   2528.4 ms  ✓ OpenLibm_jll
   2568.0 ms  ✓ IteratorInterfaceExtensions
   2575.5 ms  ✓ CompilerSupportLibraries_jll
   2623.9 ms  ✓ InverseFunctions
   2755.5 ms  ✓ ExprTools
   2865.3 ms  ✓ SuiteSparse_jll
   3448.9 ms  ✓ ADTypes
   4570.3 ms  ✓ FunctionWrappers
   1595.4 ms  ✓ Reexport
   1696.1 ms  ✓ SIMDTypes
   2008.7 ms  ✓ ManualMemory
   4499.0 ms  ✓ GenericSchur
   2100.5 ms  ✓ EnumX
   5132.9 ms  ✓ FillArrays
   2647.5 ms  ✓ Requires
   3013.9 ms  ✓ Compat
   1396.9 ms  ✓ FastPower
   3400.5 ms  ✓ Preferences
   1897.1 ms  ✓ CompositionsBase
   3565.3 ms  ✓ OrderedCollections
   3380.8 ms  ✓ DocStringExtensions
   1586.8 ms  ✓ CommonWorldInvalidations
   2223.9 ms  ✓ IfElse
   1931.9 ms  ✓ FastClosures
   3110.2 ms  ✓ CpuId
   3098.8 ms  ✓ ConstructionBase
   3560.5 ms  ✓ EnzymeCore
   2175.8 ms  ✓ StaticArraysCore
   2494.5 ms  ✓ LoggingExtras
   2427.5 ms  ✓ SciMLPublic
   2109.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2141.3 ms  ✓ NaNMath
   8997.9 ms  ✓ Distributed
   2909.5 ms  ✓ RuntimeGeneratedFunctions
   9456.8 ms  ✓ ExproniconLite
   2315.8 ms  ✓ FunctionWrappersWrappers
   1871.1 ms  ✓ Compat → CompatLinearAlgebraExt
   1883.5 ms  ✓ PrecompileTools
   2203.5 ms  ✓ JLLWrappers
   2413.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2727.7 ms  ✓ Adapt
   1966.8 ms  ✓ DiffResults
   7813.8 ms  ✓ IrrationalConstants
   2882.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2787.8 ms  ✓ SciMLLogging
   4531.7 ms  ✓ ThreadingUtilities
  10618.5 ms  ✓ MacroTools
   3570.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2634.0 ms  ✓ IntelOpenMP_jll
   6764.4 ms  ✓ DifferentiationInterface
   3505.2 ms  ✓ oneTBB_jll
   8044.0 ms  ✓ TimerOutputs
   3003.7 ms  ✓ OpenSpecFun_jll
   2859.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2885.5 ms  ✓ ArrayInterface
   2587.5 ms  ✓ GPUArraysCore
   2022.0 ms  ✓ EnzymeCore → AdaptExt
   4728.7 ms  ✓ Static
   2712.7 ms  ✓ TruncatedStacktraces
   2280.5 ms  ✓ CommonSubexpressions
   7222.0 ms  ✓ ChainRulesCore
   2486.0 ms  ✓ MKL_jll
   9076.2 ms  ✓ DataStructures
   3448.9 ms  ✓ LogExpFunctions
   2005.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7645.2 ms  ✓ RecipesBase
   2567.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2159.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2286.5 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
  10035.2 ms  ✓ Jieko
   2596.5 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   1995.7 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   5083.8 ms  ✓ MaybeInplace
   4889.8 ms  ✓ SciMLStructures
   4937.1 ms  ✓ PreallocationTools
   5327.3 ms  ✓ Setfield
   3460.7 ms  ✓ BitTwiddlingConvenienceFunctions
   2004.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4285.1 ms  ✓ CPUSummary
   1714.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   4743.6 ms  ✓ StaticArrayInterface
  15399.3 ms  ✓ SparseArrays
   2124.0 ms  ✓ FiniteDiff
   4753.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2017.0 ms  ✓ CloseOpenIntervals
   2609.0 ms  ✓ PolyesterWeave
   9591.0 ms  ✓ Accessors
   2172.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2760.4 ms  ✓ LayoutPointers
   2677.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2972.8 ms  ✓ Statistics
   3281.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3458.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3487.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   1894.5 ms  ✓ Accessors → LinearAlgebraExt
   1870.2 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2606.3 ms  ✓ NLSolversBase
   1904.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   3314.9 ms  ✓ StrideArraysCore
   2129.2 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2536.7 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1990.0 ms  ✓ LineSearches
   9723.6 ms  ✓ SpecialFunctions
   1835.6 ms  ✓ Polyester
   1575.2 ms  ✓ DiffRules
   4530.7 ms  ✓ SymbolicIndexingInterface
   1544.0 ms  ✓ FastBroadcast
   5678.2 ms  ✓ SciMLOperators
   1692.4 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1882.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   5473.4 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
  25773.3 ms  ✓ StaticArrays
   2290.0 ms  ✓ FillArrays → FillArraysStaticArraysExt
   2504.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2525.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3300.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3281.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3341.9 ms  ✓ Adapt → AdaptStaticArraysExt
   2541.7 ms  ✓ Accessors → StaticArraysExt
   2659.6 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  11707.2 ms  ✓ ForwardDiff
   3533.2 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   8576.4 ms  ✓ FastGaussQuadrature
   2886.8 ms  ✓ FastPower → FastPowerForwardDiffExt
  14583.5 ms  ✓ RecursiveArrayTools
   4125.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   4384.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  27050.6 ms  ✓ Moshi
  25193.0 ms  ✓ SparseMatrixColorings
   4910.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2245.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2211.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2436.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1090.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  26341.5 ms  ✓ Krylov
   1008.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
  15512.1 ms  ✓ SciMLBase
   1639.4 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1664.0 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1998.2 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   3766.4 ms  ✓ SciMLJacobianOperators
   9674.1 ms  ✓ LineSearch
  53472.0 ms  ✓ ExponentialUtilities
   1081.4 ms  ✓ LineSearch → LineSearchLineSearchesExt
  11037.4 ms  ✓ NonlinearSolveBase
   2131.6 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   2575.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
  17654.4 ms  ✓ LinearSolve
   1838.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
   2071.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   2101.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   2147.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   4798.8 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
