nice: cannot set niceness: Permission denied
Precompiling packages...
   1901.4 ms  ✓ CommonSolve
   1931.5 ms  ✓ IteratorInterfaceExtensions
   1930.8 ms  ✓ LazyArtifacts
   1928.5 ms  ✓ UnPack
   2081.9 ms  ✓ SimpleUnPack
   2017.5 ms  ✓ MuladdMacro
   2017.0 ms  ✓ ConcreteStructs
   2029.8 ms  ✓ OpenLibm_jll
   2233.2 ms  ✓ ExprTools
   2291.4 ms  ✓ CompilerSupportLibraries_jll
   2614.9 ms  ✓ InverseFunctions
   3033.0 ms  ✓ ADTypes
   3832.5 ms  ✓ FunctionWrappers
   1989.8 ms  ✓ ManualMemory
   1995.8 ms  ✓ SuiteSparse_jll
   1813.8 ms  ✓ Reexport
   1990.0 ms  ✓ EnumX
   4330.7 ms  ✓ FillArrays
   1778.8 ms  ✓ SIMDTypes
   2388.0 ms  ✓ Requires
   2610.8 ms  ✓ Compat
   2706.5 ms  ✓ OrderedCollections
   3019.8 ms  ✓ Preferences
   5056.9 ms  ✓ GenericSchur
   2591.5 ms  ✓ DocStringExtensions
   1795.8 ms  ✓ FastPower
   1884.7 ms  ✓ CompositionsBase
   1796.1 ms  ✓ IfElse
   2004.4 ms  ✓ CommonWorldInvalidations
   1802.1 ms  ✓ FastClosures
   2119.6 ms  ✓ ConstructionBase
   1799.7 ms  ✓ SciMLPublic
   2983.4 ms  ✓ CpuId
   2895.0 ms  ✓ EnzymeCore
   2056.9 ms  ✓ StaticArraysCore
   2597.6 ms  ✓ LoggingExtras
   2093.6 ms  ✓ RuntimeGeneratedFunctions
   2209.1 ms  ✓ NaNMath
   8110.8 ms  ✓ ExproniconLite
   1989.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1802.8 ms  ✓ FunctionWrappersWrappers
   2216.7 ms  ✓ Adapt
   2509.9 ms  ✓ Compat → CompatLinearAlgebraExt
   5901.1 ms  ✓ IrrationalConstants
   2406.9 ms  ✓ JLLWrappers
   1977.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2006.3 ms  ✓ PrecompileTools
   1759.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   8597.3 ms  ✓ Distributed
