nice: cannot set niceness: Permission denied
Precompiling packages...
    395.2 ms  ✓ CommonSolve
    397.9 ms  ✓ Reexport
    549.9 ms  ✓ ConstructionBase
    502.6 ms  ✓ StaticArraysCore
    592.0 ms  ✓ Statistics
   1370.5 ms  ✓ IrrationalConstants
    941.1 ms  ✓ SuiteSparse_jll
    487.4 ms  ✓ IfElse
    783.3 ms  ✓ EnzymeCore
    524.4 ms  ✓ ManualMemory
    428.2 ms  ✓ CommonWorldInvalidations
    416.9 ms  ✓ Future
    836.8 ms  ✓ SciMLPublic
    439.8 ms  ✓ FastPower
    454.0 ms  ✓ CompositionsBase
    518.7 ms  ✓ InverseFunctions
    453.8 ms  ✓ MuladdMacro
    479.9 ms  ✓ EnumX
    659.2 ms  ✓ OpenLibm_jll
    464.6 ms  ✓ ExprTools
   2209.7 ms  ✓ ExproniconLite
    461.1 ms  ✓ ConcreteStructs
   1094.2 ms  ✓ FillArrays
    659.2 ms  ✓ OrderedCollections
    728.6 ms  ✓ ADTypes
    782.6 ms  ✓ Serialization
    730.1 ms  ✓ DocStringExtensions
    540.9 ms  ✓ FastClosures
    513.4 ms  ✓ SIMDTypes
   5520.5 ms  ✓ MacroTools
    504.9 ms  ✓ IteratorInterfaceExtensions
    757.2 ms  ✓ Requires
    735.3 ms  ✓ CpuId
   1234.1 ms  ✓ GenericSchur
    549.3 ms  ✓ LoggingExtras
    601.1 ms  ✓ Compat
   1305.2 ms  ✓ InteractiveUtils
    522.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    543.3 ms  ✓ DiffResults
    972.6 ms  ✓ LazyArtifacts
   3998.9 ms  ✓ FunctionWrappers
    445.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    434.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    535.1 ms  ✓ NaNMath
   2133.0 ms  ✓ Preferences
   1244.9 ms  ✓ ThreadingUtilities
    529.6 ms  ✓ FillArrays → FillArraysStatisticsExt
    429.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    400.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1115.7 ms  ✓ DifferentiationInterface
   2021.5 ms  ✓ Jieko
   1817.8 ms  ✓ DataStructures
    472.7 ms  ✓ RuntimeGeneratedFunctions
    764.8 ms  ✓ LogExpFunctions
    682.8 ms  ✓ CommonSubexpressions
    601.9 ms  ✓ Adapt
    519.8 ms  ✓ Compat → CompatLinearAlgebraExt
   3993.2 ms  ✓ TimerOutputs
    483.2 ms  ✓ FunctionWrappersWrappers
   2873.3 ms  ✓ Distributed
    457.2 ms  ✓ PrecompileTools
    568.0 ms  ✓ JLLWrappers
   1496.4 ms  ✓ Setfield
    622.6 ms  ✓ SciMLLogging
    598.4 ms  ✓ TruncatedStacktraces
    424.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    602.2 ms  ✓ ArrayInterface
    628.3 ms  ✓ GPUArraysCore
   4564.3 ms  ✓ SparseArrays
   2613.2 ms  ✓ Accessors
    514.2 ms  ✓ EnzymeCore → AdaptExt
   1407.5 ms  ✓ ChainRulesCore
   1961.8 ms  ✓ RecipesBase
    716.1 ms  ✓ OpenSpecFun_jll
   1089.9 ms  ✓ IntelOpenMP_jll
   1166.0 ms  ✓ oneTBB_jll
    419.3 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    721.5 ms  ✓ MaybeInplace
    696.9 ms  ✓ SciMLStructures
    423.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    438.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1323.3 ms  ✓ PreallocationTools
    551.8 ms  ✓ Statistics → SparseArraysExt
    772.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
    718.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    679.1 ms  ✓ Adapt → AdaptSparseArraysExt
  10187.4 ms  ✓ Moshi
    619.0 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    537.7 ms  ✓ Accessors → LinearAlgebraExt
    700.8 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    564.8 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
    491.7 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
    521.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   7802.9 ms  ✓ Krylov
    523.6 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   1494.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  15282.2 ms  ✓ StaticArrays
   1781.2 ms  ✓ MKL_jll
    991.2 ms  ✓ FiniteDiff
    830.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3610.2 ms  ✓ SpecialFunctions
   1485.2 ms  ✓ SymbolicIndexingInterface
  10489.4 ms  ✓ SparseMatrixColorings
   2305.2 ms  ✓ SciMLOperators
    740.9 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    771.9 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
    743.4 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    707.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    789.3 ms  ✓ FillArrays → FillArraysStaticArraysExt
    707.5 ms  ✓ Adapt → AdaptStaticArraysExt
    723.0 ms  ✓ Accessors → StaticArraysExt
