nice: cannot set niceness: Permission denied
Precompiling packages...
   1516.5 ms  ✓ nghttp2_jll
   1520.2 ms  ✓ UUIDs
   1627.1 ms  ✓ OpenSSL_jll
   1603.1 ms  ✓ Logging
   1672.0 ms  ✓ CompilerSupportLibraries_jll
   1691.5 ms  ✓ MozillaCACerts_jll
   1703.8 ms  ✓ Unicode
   1731.2 ms  ✓ Zlib_jll
   1795.9 ms  ✓ NetworkOptions
   1889.2 ms  ✓ Base64
    553.5 ms  ✓ LibSSH2_jll
    620.9 ms  ✓ p7zip_jll
    699.7 ms  ✓ Printf
    485.0 ms  ✓ LibGit2_jll
    483.6 ms  ✓ LibCURL_jll
   3164.5 ms  ✓ ArgTools
    761.4 ms  ✓ LibCURL
    643.1 ms  ✓ Tar
   2872.6 ms  ✓ Dates
   3025.8 ms  ✓ LibGit2
    436.6 ms  ✓ TOML
   2942.5 ms  ✓ Downloads
   9111.1 ms  ✓ StyledStrings
   1644.9 ms  ✓ JuliaSyntaxHighlighting
   3648.4 ms  ✓ Markdown
  45659.2 ms  ✓ Pkg
  26 dependencies successfully precompiled in 60 seconds
Precompiling packages...
   2602.6 ms  ✓ IteratorInterfaceExtensions
   2604.0 ms  ✓ ConcreteStructs
   2624.8 ms  ✓ MuladdMacro
   2610.0 ms  ✓ CommonSolve
   2714.4 ms  ✓ Future
   2713.8 ms  ✓ OpenLibm_jll
   3119.2 ms  ✓ ExprTools
   3212.4 ms  ✓ InverseFunctions
   3298.7 ms  ✓ SuiteSparse_jll
   3812.6 ms  ✓ Statistics
   4220.6 ms  ✓ Serialization
   4496.3 ms  ✓ ADTypes
   2477.3 ms  ✓ SIMDTypes
   2690.5 ms  ✓ Reexport
   5515.2 ms  ✓ FillArrays
   2891.8 ms  ✓ EnumX
   2994.0 ms  ✓ ManualMemory
   2902.2 ms  ✓ CompositionsBase
   2401.7 ms  ✓ FastPower
   3886.3 ms  ✓ DocStringExtensions
   2523.7 ms  ✓ IfElse
   5205.6 ms  ✓ Requires
   2508.7 ms  ✓ CommonWorldInvalidations
   3905.0 ms  ✓ EnzymeCore
   2695.8 ms  ✓ FastClosures
   3103.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   3225.5 ms  ✓ StaticArraysCore
   3270.0 ms  ✓ LoggingExtras
   2591.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  11431.3 ms  ✓ FunctionWrappers
   4503.6 ms  ✓ CpuId
   3901.5 ms  ✓ Preferences
   5995.3 ms  ✓ GenericSchur
   5472.7 ms  ✓ LazyArtifacts
  11084.0 ms  ✓ OrderedCollections
   9205.6 ms  ✓ ConstructionBase
   3376.6 ms  ✓ SciMLPublic
   2621.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3098.4 ms  ✓ Adapt
  16828.7 ms  ✓ ExproniconLite
   2513.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
  13901.3 ms  ✓ IrrationalConstants
   9706.7 ms  ✓ NaNMath
   2898.1 ms  ✓ DiffResults
  10822.4 ms  ✓ Compat
   3398.7 ms  ✓ FunctionWrappersWrappers
   3298.2 ms  ✓ PrecompileTools
   3303.4 ms  ✓ SciMLLogging
  20277.5 ms  ✓ MacroTools
   8897.0 ms  ✓ RuntimeGeneratedFunctions
   2477.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2399.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4132.9 ms  ✓ JLLWrappers
  14124.7 ms  ✓ InteractiveUtils
   2584.2 ms  ✓ EnzymeCore → AdaptExt
   2698.8 ms  ✓ Compat → CompatLinearAlgebraExt
   3694.7 ms  ✓ GPUArraysCore
  11800.3 ms  ✓ DifferentiationInterface
  11889.6 ms  ✓ ThreadingUtilities
   3805.2 ms  ✓ LogExpFunctions
   3188.6 ms  ✓ CommonSubexpressions
   9572.5 ms  ✓ DataStructures
   3701.1 ms  ✓ OpenSpecFun_jll
  18798.8 ms  ✓ Distributed
  19898.3 ms  ✓ TimerOutputs
   4715.3 ms  ✓ TruncatedStacktraces
   6489.5 ms  ✓ Setfield
   2817.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   6497.9 ms  ✓ IntelOpenMP_jll
   2092.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   9610.1 ms  ✓ RecipesBase
   6703.5 ms  ✓ oneTBB_jll
  11184.6 ms  ✓ ArrayInterface
  10780.1 ms  ✓ Jieko
   1602.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1801.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2506.1 ms  ✓ MaybeInplace
   2102.2 ms  ✓ FiniteDiff
   4399.6 ms  ✓ MKL_jll
   4594.3 ms  ✓ PreallocationTools
  10699.3 ms  ✓ ChainRulesCore
   1478.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  24003.5 ms  ✓ SparseArrays
   5681.0 ms  ✓ SciMLStructures
  13905.1 ms  ✓ Accessors
   2684.9 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2706.1 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2709.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2880.0 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   3398.2 ms  ✓ Adapt → AdaptSparseArraysExt
   3699.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3894.4 ms  ✓ Statistics → SparseArraysExt
