nice: cannot set niceness: Permission denied
Precompiling packages...
   1898.1 ms  ✓ LazyArtifacts
   1887.2 ms  ✓ CommonSolve
   1978.9 ms  ✓ OpenLibm_jll
   1992.0 ms  ✓ IteratorInterfaceExtensions
   1998.0 ms  ✓ ConcreteStructs
   2095.8 ms  ✓ MuladdMacro
   2131.5 ms  ✓ CompilerSupportLibraries_jll
   2255.5 ms  ✓ ExprTools
   2365.3 ms  ✓ SuiteSparse_jll
   2394.6 ms  ✓ InverseFunctions
   3103.7 ms  ✓ ADTypes
   3940.2 ms  ✓ FunctionWrappers
   1910.4 ms  ✓ ManualMemory
   1742.7 ms  ✓ Reexport
   1786.8 ms  ✓ SIMDTypes
   2039.2 ms  ✓ EnumX
   2201.1 ms  ✓ Requires
   4551.6 ms  ✓ FillArrays
   2611.3 ms  ✓ Compat
   2799.3 ms  ✓ OrderedCollections
   5050.1 ms  ✓ GenericSchur
   3115.7 ms  ✓ Preferences
   2882.2 ms  ✓ DocStringExtensions
   1905.6 ms  ✓ CompositionsBase
   1892.4 ms  ✓ FastPower
   1903.6 ms  ✓ IfElse
   1746.3 ms  ✓ CommonWorldInvalidations
   2193.5 ms  ✓ ConstructionBase
   1991.6 ms  ✓ FastClosures
   2900.8 ms  ✓ CpuId
   2099.1 ms  ✓ SciMLPublic
   3120.8 ms  ✓ EnzymeCore
   2599.7 ms  ✓ LoggingExtras
   2416.9 ms  ✓ StaticArraysCore
   2094.3 ms  ✓ RuntimeGeneratedFunctions
   2796.8 ms  ✓ NaNMath
   8453.1 ms  ✓ ExproniconLite
   2194.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1900.5 ms  ✓ FunctionWrappersWrappers
   8566.0 ms  ✓ Distributed
   5631.7 ms  ✓ IrrationalConstants
   1999.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2400.0 ms  ✓ Adapt
   1875.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2387.7 ms  ✓ JLLWrappers
   2404.8 ms  ✓ PrecompileTools
   2232.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2289.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2296.6 ms  ✓ DiffResults
   2604.4 ms  ✓ SciMLLogging
   4292.7 ms  ✓ ThreadingUtilities
   5005.0 ms  ✓ DifferentiationInterface
   9692.3 ms  ✓ MacroTools
   3485.2 ms  ✓ LogExpFunctions
   2803.1 ms  ✓ GPUArraysCore
