nice: cannot set niceness: Permission denied
Precompiling packages...
   1949.6 ms  ✓ LazyArtifacts
   2027.0 ms  ✓ IteratorInterfaceExtensions
   2037.2 ms  ✓ ConcreteStructs
   2009.8 ms  ✓ CommonSolve
   2054.4 ms  ✓ MuladdMacro
   2140.1 ms  ✓ ExprTools
   2146.1 ms  ✓ OpenLibm_jll
   2269.7 ms  ✓ CompilerSupportLibraries_jll
   2296.2 ms  ✓ InverseFunctions
   2488.6 ms  ✓ SuiteSparse_jll
   3144.7 ms  ✓ ADTypes
   3948.8 ms  ✓ FunctionWrappers
   1915.6 ms  ✓ ManualMemory
   1711.9 ms  ✓ SIMDTypes
   1833.6 ms  ✓ Reexport
   2081.5 ms  ✓ EnumX
   4345.3 ms  ✓ FillArrays
   2312.2 ms  ✓ Requires
   2561.2 ms  ✓ Compat
   2889.8 ms  ✓ OrderedCollections
   5093.4 ms  ✓ GenericSchur
   2612.8 ms  ✓ DocStringExtensions
   3207.6 ms  ✓ Preferences
   1845.4 ms  ✓ CompositionsBase
   1889.0 ms  ✓ FastPower
   1718.0 ms  ✓ IfElse
   1848.4 ms  ✓ FastClosures
   2098.2 ms  ✓ CommonWorldInvalidations
   2201.2 ms  ✓ ConstructionBase
   1648.2 ms  ✓ SciMLPublic
   2996.5 ms  ✓ CpuId
   3203.2 ms  ✓ EnzymeCore
   2183.6 ms  ✓ RuntimeGeneratedFunctions
   2390.5 ms  ✓ StaticArraysCore
   2793.2 ms  ✓ LoggingExtras
   2498.3 ms  ✓ NaNMath
   2389.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8442.2 ms  ✓ ExproniconLite
   8490.2 ms  ✓ Distributed
   5680.4 ms  ✓ IrrationalConstants
   2272.7 ms  ✓ FunctionWrappersWrappers
   2197.1 ms  ✓ Adapt
   2102.6 ms  ✓ Compat → CompatLinearAlgebraExt
   2216.5 ms  ✓ JLLWrappers
   2262.1 ms  ✓ PrecompileTools
   1895.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1897.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2000.1 ms  ✓ DiffResults
   4099.4 ms  ✓ ThreadingUtilities
   2515.1 ms  ✓ SciMLLogging
   2298.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2279.4 ms  ✓ GPUArraysCore
   2040.5 ms  ✓ EnzymeCore → AdaptExt
   5526.4 ms  ✓ DifferentiationInterface
   3085.3 ms  ✓ ArrayInterface
   3417.0 ms  ✓ LogExpFunctions
  11015.3 ms  ✓ MacroTools
   2906.0 ms  ✓ IntelOpenMP_jll
   2677.4 ms  ✓ OpenSpecFun_jll
   3281.7 ms  ✓ oneTBB_jll
   2297.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2215.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2110.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2187.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   9389.3 ms  ✓ TimerOutputs
   2302.6 ms  ✓ SciMLStructures
   2311.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3808.9 ms  ✓ Static
   8673.7 ms  ✓ DataStructures
   6214.5 ms  ✓ ChainRulesCore
   7735.9 ms  ✓ Jieko
   2919.4 ms  ✓ TruncatedStacktraces
   2460.9 ms  ✓ CommonSubexpressions
   3987.5 ms  ✓ PreallocationTools
   6320.5 ms  ✓ RecipesBase
   1904.4 ms  ✓ BitTwiddlingConvenienceFunctions
   2399.8 ms  ✓ MKL_jll
   3196.6 ms  ✓ MaybeInplace
   1714.6 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   1600.8 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   4408.4 ms  ✓ Setfield
   3003.7 ms  ✓ CPUSummary
   1269.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
  13179.2 ms  ✓ SparseArrays
   3544.3 ms  ✓ StaticArrayInterface
   2047.8 ms  ✓ PolyesterWeave
   2250.0 ms  ✓ FiniteDiff
   4391.4 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   6706.3 ms  ✓ Accessors
   2389.9 ms  ✓ CloseOpenIntervals
   2412.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2420.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2499.4 ms  ✓ LayoutPointers
   2606.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2618.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2718.4 ms  ✓ Statistics
   1562.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1416.5 ms  ✓ Accessors → LinearAlgebraExt
   1103.8 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   8505.7 ms  ✓ SpecialFunctions
   1503.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   2188.9 ms  ✓ StrideArraysCore
   1676.9 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1695.5 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1599.9 ms  ✓ DiffRules
   1496.0 ms  ✓ Polyester
   3388.8 ms  ✓ SymbolicIndexingInterface
   3305.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   4162.1 ms  ✓ SciMLOperators
   1299.1 ms  ✓ FastBroadcast
   1123.3 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1141.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
