nice: cannot set niceness: Permission denied
Precompiling packages...
   1949.2 ms  ✓ IteratorInterfaceExtensions
   2025.2 ms  ✓ LazyArtifacts
   2010.0 ms  ✓ CommonSolve
   2040.7 ms  ✓ ConcreteStructs
   2125.9 ms  ✓ OpenLibm_jll
   2153.1 ms  ✓ MuladdMacro
   2230.0 ms  ✓ ExprTools
   2318.1 ms  ✓ CompilerSupportLibraries_jll
   2516.8 ms  ✓ InverseFunctions
   2572.6 ms  ✓ SuiteSparse_jll
   3338.1 ms  ✓ ADTypes
   3785.2 ms  ✓ FunctionWrappers
   2022.8 ms  ✓ ManualMemory
   1798.0 ms  ✓ Reexport
   2009.1 ms  ✓ EnumX
   1721.8 ms  ✓ SIMDTypes
   2294.4 ms  ✓ Requires
   2492.6 ms  ✓ Compat
   4629.3 ms  ✓ FillArrays
   2910.6 ms  ✓ OrderedCollections
   5227.3 ms  ✓ GenericSchur
   3291.6 ms  ✓ Preferences
   2724.3 ms  ✓ DocStringExtensions
   1897.3 ms  ✓ CompositionsBase
   1994.6 ms  ✓ FastPower
   1983.6 ms  ✓ IfElse
   1800.7 ms  ✓ CommonWorldInvalidations
   2009.8 ms  ✓ FastClosures
   2587.9 ms  ✓ ConstructionBase
   1798.2 ms  ✓ SciMLPublic
   2986.4 ms  ✓ CpuId
   2592.5 ms  ✓ LoggingExtras
   2404.3 ms  ✓ StaticArraysCore
   2400.5 ms  ✓ NaNMath
   3493.5 ms  ✓ EnzymeCore
   2300.8 ms  ✓ RuntimeGeneratedFunctions
   8316.7 ms  ✓ Distributed
   2216.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8524.0 ms  ✓ ExproniconLite
   5607.4 ms  ✓ IrrationalConstants
   2213.6 ms  ✓ FunctionWrappersWrappers
   2293.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2410.3 ms  ✓ Adapt
   2207.8 ms  ✓ Compat → CompatLinearAlgebraExt
   2199.4 ms  ✓ DiffResults
   2201.9 ms  ✓ JLLWrappers
   2493.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2679.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2701.3 ms  ✓ SciMLLogging
   2277.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2594.6 ms  ✓ PrecompileTools
   1903.3 ms  ✓ EnzymeCore → AdaptExt
  10203.5 ms  ✓ MacroTools
   5793.3 ms  ✓ DifferentiationInterface
   2780.5 ms  ✓ ArrayInterface
   3102.7 ms  ✓ LogExpFunctions
   2896.7 ms  ✓ GPUArraysCore
   4882.1 ms  ✓ ThreadingUtilities
   2711.8 ms  ✓ IntelOpenMP_jll
   7797.3 ms  ✓ TimerOutputs
   2681.9 ms  ✓ OpenSpecFun_jll
   3414.3 ms  ✓ oneTBB_jll
   2596.2 ms  ✓ TruncatedStacktraces
   2683.0 ms  ✓ CommonSubexpressions
   7903.9 ms  ✓ DataStructures
   2005.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   5506.2 ms  ✓ ChainRulesCore
   4012.7 ms  ✓ Static
   3397.7 ms  ✓ MaybeInplace
   2286.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3094.1 ms  ✓ SciMLStructures
   2010.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1938.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   8004.6 ms  ✓ Jieko
   2689.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2486.6 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
