nice: cannot set niceness: Permission denied
Precompiling packages...
    424.3 ms  ✓ CommonSolve
    427.0 ms  ✓ Reexport
    563.2 ms  ✓ ConstructionBase
    506.4 ms  ✓ StaticArraysCore
    591.8 ms  ✓ Statistics
   1350.1 ms  ✓ IrrationalConstants
    890.9 ms  ✓ SuiteSparse_jll
    462.3 ms  ✓ IfElse
    750.0 ms  ✓ EnzymeCore
    520.8 ms  ✓ ManualMemory
    441.2 ms  ✓ CommonWorldInvalidations
    421.7 ms  ✓ Future
    862.9 ms  ✓ SciMLPublic
    446.6 ms  ✓ FastPower
    446.7 ms  ✓ CompositionsBase
    538.5 ms  ✓ InverseFunctions
    461.1 ms  ✓ MuladdMacro
    480.7 ms  ✓ EnumX
    652.1 ms  ✓ OpenLibm_jll
   2186.0 ms  ✓ ExproniconLite
    477.0 ms  ✓ ExprTools
    473.5 ms  ✓ ConcreteStructs
   1084.6 ms  ✓ FillArrays
    667.0 ms  ✓ OrderedCollections
    758.1 ms  ✓ ADTypes
    764.4 ms  ✓ Serialization
    727.7 ms  ✓ DocStringExtensions
    554.1 ms  ✓ FastClosures
    545.8 ms  ✓ SIMDTypes
   5496.6 ms  ✓ MacroTools
    514.1 ms  ✓ IteratorInterfaceExtensions
    736.7 ms  ✓ Requires
    741.5 ms  ✓ CpuId
   1213.2 ms  ✓ GenericSchur
    561.2 ms  ✓ LoggingExtras
    589.5 ms  ✓ Compat
   1386.9 ms  ✓ InteractiveUtils
    566.9 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    560.9 ms  ✓ DiffResults
   3875.6 ms  ✓ FunctionWrappers
   1021.5 ms  ✓ LazyArtifacts
    442.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    448.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    534.7 ms  ✓ NaNMath
   1180.0 ms  ✓ ThreadingUtilities
   2174.8 ms  ✓ Preferences
