nice: cannot set niceness: Permission denied
Precompiling packages...
   1979.9 ms  ✓ IteratorInterfaceExtensions
   1986.2 ms  ✓ LazyArtifacts
   2027.4 ms  ✓ CommonSolve
   2068.0 ms  ✓ MuladdMacro
   2063.1 ms  ✓ UnPack
   2060.0 ms  ✓ OpenLibm_jll
   2222.5 ms  ✓ SimpleUnPack
   2178.4 ms  ✓ ConcreteStructs
   2265.2 ms  ✓ ExprTools
   2387.2 ms  ✓ CompilerSupportLibraries_jll
   2632.8 ms  ✓ InverseFunctions
   3268.1 ms  ✓ ADTypes
   4065.0 ms  ✓ FunctionWrappers
   2016.9 ms  ✓ ManualMemory
   1908.3 ms  ✓ EnumX
   1728.9 ms  ✓ Reexport
   2273.2 ms  ✓ SuiteSparse_jll
   1607.8 ms  ✓ SIMDTypes
   2306.4 ms  ✓ Requires
   4581.9 ms  ✓ FillArrays
   2619.1 ms  ✓ Compat
   2800.9 ms  ✓ OrderedCollections
   3182.2 ms  ✓ Preferences
   5245.9 ms  ✓ GenericSchur
   1882.5 ms  ✓ CompositionsBase
   2801.1 ms  ✓ DocStringExtensions
   1900.3 ms  ✓ FastPower
   1801.4 ms  ✓ IfElse
   1979.2 ms  ✓ CommonWorldInvalidations
   1894.2 ms  ✓ FastClosures
   2388.9 ms  ✓ ConstructionBase
   1837.5 ms  ✓ SciMLPublic
   3089.4 ms  ✓ CpuId
   2509.8 ms  ✓ LoggingExtras
   2194.4 ms  ✓ StaticArraysCore
   3217.7 ms  ✓ EnzymeCore
   8078.3 ms  ✓ ExproniconLite
   2087.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2108.5 ms  ✓ RuntimeGeneratedFunctions
   2412.2 ms  ✓ NaNMath
   1900.5 ms  ✓ FunctionWrappersWrappers
   2390.6 ms  ✓ Adapt
   2303.6 ms  ✓ JLLWrappers
   1804.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   5906.8 ms  ✓ IrrationalConstants
   2516.2 ms  ✓ Compat → CompatLinearAlgebraExt
   1896.9 ms  ✓ PrecompileTools
   8079.4 ms  ✓ Distributed
   2001.5 ms  ✓ DiffResults
   2887.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3272.4 ms  ✓ SciMLLogging
   1795.4 ms  ✓ EnzymeCore → AdaptExt
   2077.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5093.3 ms  ✓ ThreadingUtilities
   2104.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   5608.4 ms  ✓ DifferentiationInterface
  10320.8 ms  ✓ MacroTools
   3006.5 ms  ✓ ArrayInterface
   3098.0 ms  ✓ OpenSpecFun_jll
   3508.2 ms  ✓ oneTBB_jll
