nice: cannot set niceness: Permission denied
Precompiling packages...
   2001.2 ms  ✓ ConcreteStructs
   2030.4 ms  ✓ IteratorInterfaceExtensions
   2035.7 ms  ✓ LazyArtifacts
   2011.0 ms  ✓ CommonSolve
   2047.3 ms  ✓ MuladdMacro
   2122.6 ms  ✓ OpenLibm_jll
   2225.5 ms  ✓ TestEnv
   2235.6 ms  ✓ ExprTools
   2210.4 ms  ✓ CompilerSupportLibraries_jll
   2405.3 ms  ✓ InverseFunctions
   3138.9 ms  ✓ ADTypes
   3882.5 ms  ✓ FunctionWrappers
   2085.4 ms  ✓ ManualMemory
   2196.5 ms  ✓ SuiteSparse_jll
   1901.1 ms  ✓ Reexport
   2187.1 ms  ✓ EnumX
   2304.0 ms  ✓ Requires
   4593.1 ms  ✓ FillArrays
   2499.7 ms  ✓ Compat
   4821.9 ms  ✓ GenericSchur
   1806.3 ms  ✓ SIMDTypes
   2815.2 ms  ✓ OrderedCollections
   3182.6 ms  ✓ Preferences
   1794.9 ms  ✓ FastPower
   1914.1 ms  ✓ CompositionsBase
   2613.9 ms  ✓ DocStringExtensions
   1933.2 ms  ✓ IfElse
   1795.8 ms  ✓ CommonWorldInvalidations
   1784.4 ms  ✓ FastClosures
   2294.8 ms  ✓ ConstructionBase
   1794.7 ms  ✓ SciMLPublic
   2908.4 ms  ✓ CpuId
   2510.0 ms  ✓ LoggingExtras
   3192.6 ms  ✓ EnzymeCore
   8131.2 ms  ✓ ExproniconLite
   2193.0 ms  ✓ NaNMath
   2210.1 ms  ✓ StaticArraysCore
   2182.7 ms  ✓ RuntimeGeneratedFunctions
   2481.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2311.4 ms  ✓ FunctionWrappersWrappers
   2204.6 ms  ✓ Compat → CompatLinearAlgebraExt
   2484.2 ms  ✓ Adapt
   2154.8 ms  ✓ PrecompileTools
   6415.9 ms  ✓ IrrationalConstants
   2496.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2805.1 ms  ✓ JLLWrappers
   9310.1 ms  ✓ Distributed
   4472.8 ms  ✓ ThreadingUtilities
   2606.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   5111.4 ms  ✓ DifferentiationInterface
