nice: cannot set niceness: Permission denied
Precompiling packages...
   1742.6 ms  ✓ OpenLibm_jll
   1821.7 ms  ✓ LazyArtifacts
   1844.5 ms  ✓ IteratorInterfaceExtensions
   1906.9 ms  ✓ CompilerSupportLibraries_jll
   2020.5 ms  ✓ ExprTools
   2003.1 ms  ✓ CommonSolve
   2413.1 ms  ✓ ConcreteStructs
   2527.2 ms  ✓ MuladdMacro
   2725.8 ms  ✓ SuiteSparse_jll
   3021.2 ms  ✓ InverseFunctions
   3218.1 ms  ✓ ADTypes
   4342.6 ms  ✓ FunctionWrappers
   1779.6 ms  ✓ EnumX
   2516.0 ms  ✓ ManualMemory
   2296.7 ms  ✓ Requires
   2370.5 ms  ✓ Compat
   1907.9 ms  ✓ Reexport
   1518.5 ms  ✓ SIMDTypes
   4429.7 ms  ✓ GenericSchur
   2484.3 ms  ✓ OrderedCollections
   2697.7 ms  ✓ Preferences
   4619.0 ms  ✓ FillArrays
   1604.3 ms  ✓ FastPower
   1676.5 ms  ✓ CompositionsBase
   2911.5 ms  ✓ DocStringExtensions
   1477.3 ms  ✓ SciMLPublic
   1870.1 ms  ✓ CommonWorldInvalidations
   2175.8 ms  ✓ FastClosures
   2125.8 ms  ✓ LoggingExtras
   2292.1 ms  ✓ ConstructionBase
   2429.3 ms  ✓ Adapt
   2326.0 ms  ✓ StaticArraysCore
   2560.8 ms  ✓ EnzymeCore
   7827.2 ms  ✓ ExproniconLite
   2009.2 ms  ✓ RuntimeGeneratedFunctions
   3546.9 ms  ✓ CpuId
   2218.2 ms  ✓ NaNMath
   2211.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8400.1 ms  ✓ Distributed
   2108.7 ms  ✓ FunctionWrappersWrappers
   1978.8 ms  ✓ Compat → CompatLinearAlgebraExt
   2354.9 ms  ✓ IfElse
   2369.9 ms  ✓ DiffResults
   6304.0 ms  ✓ IrrationalConstants
   2219.7 ms  ✓ SciMLLogging
   2279.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2585.3 ms  ✓ JLLWrappers
   1908.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2287.6 ms  ✓ ArrayInterface
   1801.6 ms  ✓ PrecompileTools
   2221.5 ms  ✓ GPUArraysCore
   3057.5 ms  ✓ EnzymeCore → AdaptExt
   5786.7 ms  ✓ DifferentiationInterface
