nice: cannot set niceness: Permission denied
Precompiling packages...
   1937.5 ms  ✓ LazyArtifacts
   1947.6 ms  ✓ IteratorInterfaceExtensions
   1925.6 ms  ✓ CommonSolve
   1957.7 ms  ✓ MuladdMacro
   2033.3 ms  ✓ OpenLibm_jll
   2038.9 ms  ✓ ConcreteStructs
   2051.9 ms  ✓ ExprTools
   2126.4 ms  ✓ CompilerSupportLibraries_jll
   2340.3 ms  ✓ InverseFunctions
   2324.6 ms  ✓ SuiteSparse_jll
   3049.3 ms  ✓ ADTypes
   3804.3 ms  ✓ FunctionWrappers
   1901.7 ms  ✓ ManualMemory
   1766.6 ms  ✓ Reexport
   1698.7 ms  ✓ SIMDTypes
   2000.5 ms  ✓ EnumX
   2313.3 ms  ✓ NaNMath
   4715.6 ms  ✓ FillArrays
   2780.1 ms  ✓ Compat
   2804.6 ms  ✓ OrderedCollections
   5145.1 ms  ✓ GenericSchur
   2804.8 ms  ✓ DocStringExtensions
   3491.6 ms  ✓ Preferences
   1981.2 ms  ✓ CompositionsBase
   1789.1 ms  ✓ FastPower
   1995.1 ms  ✓ IfElse
   1797.1 ms  ✓ CommonWorldInvalidations
   1806.2 ms  ✓ FastClosures
   2229.9 ms  ✓ ConstructionBase
   2080.9 ms  ✓ SciMLPublic
   3428.7 ms  ✓ CpuId
   3398.2 ms  ✓ EnzymeCore
   2897.2 ms  ✓ LoggingExtras
   2735.8 ms  ✓ StaticArraysCore
   2408.6 ms  ✓ RuntimeGeneratedFunctions
   8054.5 ms  ✓ ExproniconLite
   2104.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2800.8 ms  ✓ Requires
   8425.7 ms  ✓ Distributed
   1813.4 ms  ✓ FunctionWrappersWrappers
   5593.5 ms  ✓ IrrationalConstants
   2192.2 ms  ✓ Compat → CompatLinearAlgebraExt
   1904.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2216.0 ms  ✓ JLLWrappers
   2096.1 ms  ✓ PrecompileTools
   1935.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2000.4 ms  ✓ DiffResults
   2373.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2689.7 ms  ✓ SciMLLogging
   2595.5 ms  ✓ Adapt
   4609.8 ms  ✓ ThreadingUtilities
   2290.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  10306.3 ms  ✓ MacroTools
   5795.5 ms  ✓ DifferentiationInterface
   2801.0 ms  ✓ IntelOpenMP_jll
   3391.6 ms  ✓ LogExpFunctions
   3465.4 ms  ✓ oneTBB_jll
   3704.7 ms  ✓ OpenSpecFun_jll
   2286.0 ms  ✓ EnzymeCore → AdaptExt
   9205.3 ms  ✓ TimerOutputs
   2708.4 ms  ✓ GPUArraysCore
   3113.4 ms  ✓ ArrayInterface
   3907.6 ms  ✓ Static
   3207.7 ms  ✓ TruncatedStacktraces
   2705.1 ms  ✓ CommonSubexpressions
   7400.9 ms  ✓ Jieko
   8672.2 ms  ✓ DataStructures
   6663.5 ms  ✓ ChainRulesCore
   2791.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2076.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2192.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2810.3 ms  ✓ MKL_jll
   2002.2 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7008.3 ms  ✓ RecipesBase
   5106.9 ms  ✓ Setfield
   3220.4 ms  ✓ MaybeInplace
   2894.0 ms  ✓ SciMLStructures
   2419.6 ms  ✓ BitTwiddlingConvenienceFunctions
   1817.1 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   1809.5 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   1589.3 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   3902.2 ms  ✓ PreallocationTools
   3244.8 ms  ✓ CPUSummary
   2091.7 ms  ✓ FiniteDiff
   1398.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   3917.3 ms  ✓ StaticArrayInterface
   7154.2 ms  ✓ Accessors
  14153.4 ms  ✓ SparseArrays
   4593.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2289.2 ms  ✓ PolyesterWeave
   2109.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2072.5 ms  ✓ Accessors → LinearAlgebraExt
   2186.4 ms  ✓ CloseOpenIntervals
   2506.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2681.4 ms  ✓ LayoutPointers
   2706.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2715.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
