nice: cannot set niceness: Permission denied
Precompiling packages...
    402.8 ms  ✓ CommonSolve
    409.4 ms  ✓ Reexport
    572.5 ms  ✓ ConstructionBase
    517.4 ms  ✓ StaticArraysCore
    624.6 ms  ✓ Statistics
   1372.7 ms  ✓ IrrationalConstants
    467.6 ms  ✓ IfElse
    931.5 ms  ✓ SuiteSparse_jll
    755.0 ms  ✓ EnzymeCore
    516.9 ms  ✓ ManualMemory
    425.5 ms  ✓ CommonWorldInvalidations
    412.9 ms  ✓ Future
    869.3 ms  ✓ SciMLPublic
    431.1 ms  ✓ FastPower
    431.3 ms  ✓ CompositionsBase
    526.6 ms  ✓ InverseFunctions
    460.6 ms  ✓ MuladdMacro
    472.8 ms  ✓ EnumX
    641.9 ms  ✓ OpenLibm_jll
   2188.1 ms  ✓ ExproniconLite
    476.4 ms  ✓ ExprTools
    455.4 ms  ✓ ConcreteStructs
   1073.9 ms  ✓ FillArrays
    653.0 ms  ✓ OrderedCollections
    721.3 ms  ✓ ADTypes
    750.8 ms  ✓ Serialization
    711.5 ms  ✓ DocStringExtensions
    532.6 ms  ✓ FastClosures
    538.4 ms  ✓ SIMDTypes
    503.7 ms  ✓ IteratorInterfaceExtensions
   5629.2 ms  ✓ MacroTools
    735.5 ms  ✓ Requires
    737.4 ms  ✓ CpuId
   1255.9 ms  ✓ GenericSchur
    536.3 ms  ✓ LoggingExtras
    601.4 ms  ✓ Compat
   1363.6 ms  ✓ InteractiveUtils
    554.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    559.5 ms  ✓ DiffResults
    964.3 ms  ✓ LazyArtifacts
   3927.2 ms  ✓ FunctionWrappers
    442.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    441.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    536.3 ms  ✓ NaNMath
   2148.7 ms  ✓ Preferences
   1232.0 ms  ✓ ThreadingUtilities
    515.6 ms  ✓ FillArrays → FillArraysStatisticsExt
    398.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    411.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1061.4 ms  ✓ DifferentiationInterface
   2036.1 ms  ✓ Jieko
   1816.5 ms  ✓ DataStructures
    443.3 ms  ✓ RuntimeGeneratedFunctions
    551.4 ms  ✓ CommonSubexpressions
    653.1 ms  ✓ LogExpFunctions
    517.5 ms  ✓ Compat → CompatLinearAlgebraExt
    567.5 ms  ✓ Adapt
    556.1 ms  ✓ FunctionWrappersWrappers
   2887.3 ms  ✓ Distributed
   4326.1 ms  ✓ TimerOutputs
    450.4 ms  ✓ PrecompileTools
    541.4 ms  ✓ JLLWrappers
   1771.1 ms  ✓ Setfield
    619.3 ms  ✓ SciMLLogging
    592.7 ms  ✓ TruncatedStacktraces
    428.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4509.2 ms  ✓ SparseArrays
    614.6 ms  ✓ ArrayInterface
   2661.4 ms  ✓ Accessors
    662.6 ms  ✓ GPUArraysCore
    489.7 ms  ✓ EnzymeCore → AdaptExt
   1515.6 ms  ✓ ChainRulesCore
    627.7 ms  ✓ OpenSpecFun_jll
   1125.4 ms  ✓ IntelOpenMP_jll
   2077.4 ms  ✓ RecipesBase
   1136.8 ms  ✓ oneTBB_jll
    584.6 ms  ✓ Statistics → SparseArraysExt
    645.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
    582.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    566.8 ms  ✓ Adapt → AdaptSparseArraysExt
  10265.1 ms  ✓ Moshi
    435.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7122.5 ms  ✓ Krylov
    679.7 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    825.2 ms  ✓ MaybeInplace
    750.3 ms  ✓ SciMLStructures
    578.7 ms  ✓ Accessors → LinearAlgebraExt
   1590.1 ms  ✓ PreallocationTools
    500.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    565.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    808.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    646.3 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
    666.2 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
    679.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
    591.3 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   1883.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  15964.5 ms  ✓ StaticArrays
  10509.2 ms  ✓ SparseMatrixColorings
    695.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
    855.9 ms  ✓ FiniteDiff
   1624.9 ms  ✓ MKL_jll
   3407.4 ms  ✓ SpecialFunctions
   1246.0 ms  ✓ SymbolicIndexingInterface
    699.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    723.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2086.6 ms  ✓ SciMLOperators
    732.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    704.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    793.0 ms  ✓ FillArrays → FillArraysStaticArraysExt
    695.8 ms  ✓ Adapt → AdaptStaticArraysExt
    720.9 ms  ✓ Accessors → StaticArraysExt
    696.6 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    935.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
