nice: cannot set niceness: Permission denied
Precompiling packages...
   1882.0 ms  ✓ CommonSolve
   1923.7 ms  ✓ LazyArtifacts
   1924.6 ms  ✓ IteratorInterfaceExtensions
   1934.0 ms  ✓ MuladdMacro
   2022.5 ms  ✓ ConcreteStructs
   2108.6 ms  ✓ OpenLibm_jll
   2135.2 ms  ✓ ExprTools
   2225.1 ms  ✓ TestEnv
   2192.0 ms  ✓ CompilerSupportLibraries_jll
   2302.5 ms  ✓ InverseFunctions
   3030.5 ms  ✓ ADTypes
   1887.9 ms  ✓ ManualMemory
   3996.5 ms  ✓ FunctionWrappers
   2094.6 ms  ✓ SuiteSparse_jll
   1997.6 ms  ✓ EnumX
   1985.1 ms  ✓ Reexport
   4624.0 ms  ✓ FillArrays
   2501.7 ms  ✓ Requires
   2621.3 ms  ✓ Compat
   1794.5 ms  ✓ SIMDTypes
   4886.0 ms  ✓ GenericSchur
   2848.6 ms  ✓ OrderedCollections
   3099.7 ms  ✓ Preferences
   1907.8 ms  ✓ CompositionsBase
   1790.7 ms  ✓ FastPower
   2614.1 ms  ✓ DocStringExtensions
   1798.7 ms  ✓ IfElse
   1987.3 ms  ✓ CommonWorldInvalidations
   1904.1 ms  ✓ FastClosures
   1794.9 ms  ✓ SciMLPublic
   2122.7 ms  ✓ ConstructionBase
   2959.3 ms  ✓ CpuId
   2640.9 ms  ✓ LoggingExtras
   3205.7 ms  ✓ EnzymeCore
   2294.3 ms  ✓ StaticArraysCore
   8321.6 ms  ✓ ExproniconLite
   2507.4 ms  ✓ NaNMath
   2189.7 ms  ✓ RuntimeGeneratedFunctions
   2111.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2092.6 ms  ✓ FunctionWrappersWrappers
   6075.6 ms  ✓ IrrationalConstants
   2184.5 ms  ✓ Compat → CompatLinearAlgebraExt
   8183.4 ms  ✓ Distributed
   2504.9 ms  ✓ Adapt
   2205.0 ms  ✓ PrecompileTools
   2902.0 ms  ✓ JLLWrappers
   2398.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2990.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2700.2 ms  ✓ SciMLLogging
   5100.5 ms  ✓ DifferentiationInterface
   5071.5 ms  ✓ ThreadingUtilities
  10503.7 ms  ✓ MacroTools
   2402.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2911.6 ms  ✓ DiffResults
  13322.0 ms  ✓ Test
   2168.6 ms  ✓ EnzymeCore → AdaptExt
   2686.7 ms  ✓ GPUArraysCore
   3180.8 ms  ✓ ArrayInterface
   4496.3 ms  ✓ LogExpFunctions
   2496.3 ms  ✓ IntelOpenMP_jll
   2424.3 ms  ✓ oneTBB_jll
   8702.2 ms  ✓ TimerOutputs
   2760.2 ms  ✓ OpenSpecFun_jll
   3843.3 ms  ✓ Static
   2400.0 ms  ✓ TruncatedStacktraces
   2899.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2403.1 ms  ✓ CommonSubexpressions
   8305.0 ms  ✓ DataStructures
   6196.1 ms  ✓ ChainRulesCore
   2098.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2488.9 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2097.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   8409.7 ms  ✓ Jieko
   2350.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2188.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2792.4 ms  ✓ SciMLStructures
   3447.3 ms  ✓ MaybeInplace
   7293.2 ms  ✓ RecipesBase
   1893.9 ms  ✓ BitTwiddlingConvenienceFunctions
   5016.1 ms  ✓ Setfield
