nice: cannot set niceness: Permission denied
Precompiling packages...
    432.3 ms  ✓ CommonSolve
    437.4 ms  ✓ Reexport
    579.3 ms  ✓ ConstructionBase
    499.8 ms  ✓ StaticArraysCore
    598.6 ms  ✓ Statistics
   1358.9 ms  ✓ IrrationalConstants
    917.6 ms  ✓ SuiteSparse_jll
    464.0 ms  ✓ IfElse
    765.8 ms  ✓ EnzymeCore
    516.7 ms  ✓ ManualMemory
    431.9 ms  ✓ CommonWorldInvalidations
    435.1 ms  ✓ Future
    838.5 ms  ✓ SciMLPublic
    462.6 ms  ✓ FastPower
    459.7 ms  ✓ CompositionsBase
    527.2 ms  ✓ InverseFunctions
    456.3 ms  ✓ MuladdMacro
    476.1 ms  ✓ EnumX
    661.4 ms  ✓ OpenLibm_jll
   2164.0 ms  ✓ ExproniconLite
    476.3 ms  ✓ ExprTools
    460.1 ms  ✓ ConcreteStructs
   1078.7 ms  ✓ FillArrays
    653.1 ms  ✓ OrderedCollections
    740.1 ms  ✓ ADTypes
    747.4 ms  ✓ Serialization
    715.5 ms  ✓ DocStringExtensions
    546.8 ms  ✓ FastClosures
    542.7 ms  ✓ SIMDTypes
    532.2 ms  ✓ IteratorInterfaceExtensions
   5635.3 ms  ✓ MacroTools
    741.3 ms  ✓ Requires
    745.3 ms  ✓ CpuId
   1253.9 ms  ✓ GenericSchur
    571.3 ms  ✓ LoggingExtras
    590.2 ms  ✓ Compat
   1391.8 ms  ✓ InteractiveUtils
    622.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    529.2 ms  ✓ DiffResults
   3917.7 ms  ✓ FunctionWrappers
    995.0 ms  ✓ LazyArtifacts
    462.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    436.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    539.1 ms  ✓ NaNMath
   2141.8 ms  ✓ Preferences
   1202.2 ms  ✓ ThreadingUtilities
    505.0 ms  ✓ FillArrays → FillArraysStatisticsExt
    418.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    399.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1136.8 ms  ✓ DifferentiationInterface
   1998.7 ms  ✓ Jieko
   1820.1 ms  ✓ DataStructures
    451.5 ms  ✓ RuntimeGeneratedFunctions
    564.4 ms  ✓ CommonSubexpressions
    690.4 ms  ✓ LogExpFunctions
    599.4 ms  ✓ Adapt
    555.6 ms  ✓ Compat → CompatLinearAlgebraExt
    538.9 ms  ✓ FunctionWrappersWrappers
   4195.3 ms  ✓ TimerOutputs
   2887.1 ms  ✓ Distributed
    467.8 ms  ✓ PrecompileTools
    579.1 ms  ✓ JLLWrappers
   1588.2 ms  ✓ Setfield
    645.9 ms  ✓ SciMLLogging
    571.9 ms  ✓ TruncatedStacktraces
    435.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    599.9 ms  ✓ ArrayInterface
    593.2 ms  ✓ GPUArraysCore
   4545.0 ms  ✓ SparseArrays
    518.0 ms  ✓ EnzymeCore → AdaptExt
   2598.9 ms  ✓ Accessors
   1478.7 ms  ✓ ChainRulesCore
    718.0 ms  ✓ OpenSpecFun_jll
   1964.9 ms  ✓ RecipesBase
   1087.9 ms  ✓ IntelOpenMP_jll
   1175.4 ms  ✓ oneTBB_jll
    416.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    707.9 ms  ✓ MaybeInplace
    659.5 ms  ✓ SciMLStructures
    429.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    436.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1193.3 ms  ✓ PreallocationTools
    590.0 ms  ✓ Statistics → SparseArraysExt
    769.5 ms  ✓ FillArrays → FillArraysSparseArraysExt
    706.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    672.8 ms  ✓ Adapt → AdaptSparseArraysExt
  10305.4 ms  ✓ Moshi
    615.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    593.0 ms  ✓ Accessors → LinearAlgebraExt
    701.1 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    563.6 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
    506.0 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
    525.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   7860.6 ms  ✓ Krylov
    527.0 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   1503.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  15444.2 ms  ✓ StaticArrays
   1814.0 ms  ✓ MKL_jll
   1009.1 ms  ✓ FiniteDiff
    862.4 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3543.9 ms  ✓ SpecialFunctions
  10329.7 ms  ✓ SparseMatrixColorings
