nice: cannot set niceness: Permission denied
Precompiling packages...
   1955.4 ms  ✓ IteratorInterfaceExtensions
   1962.5 ms  ✓ LazyArtifacts
   1930.2 ms  ✓ CommonSolve
   2031.8 ms  ✓ ConcreteStructs
   2037.9 ms  ✓ TestEnv
   2048.5 ms  ✓ MuladdMacro
   2134.2 ms  ✓ OpenLibm_jll
   2159.2 ms  ✓ ExprTools
   2204.6 ms  ✓ CompilerSupportLibraries_jll
   2531.4 ms  ✓ InverseFunctions
   3236.3 ms  ✓ ADTypes
   4004.5 ms  ✓ FunctionWrappers
   1995.6 ms  ✓ ManualMemory
   2014.2 ms  ✓ SuiteSparse_jll
   1920.3 ms  ✓ EnumX
   1703.8 ms  ✓ Reexport
   4353.0 ms  ✓ FillArrays
   2200.8 ms  ✓ Requires
   2602.9 ms  ✓ Compat
   4727.6 ms  ✓ GenericSchur
   2799.6 ms  ✓ OrderedCollections
   3202.5 ms  ✓ Preferences
   2005.7 ms  ✓ SIMDTypes
   1617.7 ms  ✓ FastPower
   1814.6 ms  ✓ CompositionsBase
   1913.1 ms  ✓ IfElse
   2579.1 ms  ✓ DocStringExtensions
   1779.4 ms  ✓ CommonWorldInvalidations
   1698.9 ms  ✓ FastClosures
   1609.7 ms  ✓ SciMLPublic
   2486.4 ms  ✓ ConstructionBase
   2931.7 ms  ✓ CpuId
   2996.0 ms  ✓ EnzymeCore
   2620.3 ms  ✓ LoggingExtras
   2092.0 ms  ✓ StaticArraysCore
   2171.5 ms  ✓ NaNMath
   8336.8 ms  ✓ ExproniconLite
   1997.0 ms  ✓ RuntimeGeneratedFunctions
   2122.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2084.4 ms  ✓ FunctionWrappersWrappers
   2277.1 ms  ✓ Adapt
   1987.1 ms  ✓ Compat → CompatLinearAlgebraExt
   6012.4 ms  ✓ IrrationalConstants
   8209.1 ms  ✓ Distributed
   2311.6 ms  ✓ JLLWrappers
   2898.0 ms  ✓ PrecompileTools
   2673.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4525.2 ms  ✓ ThreadingUtilities
   2919.9 ms  ✓ SciMLLogging
   2285.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2099.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5705.4 ms  ✓ DifferentiationInterface
   3123.1 ms  ✓ DiffResults
  10908.0 ms  ✓ MacroTools
  13255.3 ms  ✓ Test
   3009.5 ms  ✓ GPUArraysCore
   2403.7 ms  ✓ EnzymeCore → AdaptExt
   3905.7 ms  ✓ ArrayInterface
   2687.6 ms  ✓ IntelOpenMP_jll
   8297.6 ms  ✓ TimerOutputs
   2598.7 ms  ✓ OpenSpecFun_jll
   3297.8 ms  ✓ LogExpFunctions
   1984.9 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2197.7 ms  ✓ TruncatedStacktraces
   3528.7 ms  ✓ oneTBB_jll
   2985.4 ms  ✓ CommonSubexpressions
   3718.5 ms  ✓ Static
   8901.0 ms  ✓ DataStructures
   5623.8 ms  ✓ ChainRulesCore
   2070.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   9290.1 ms  ✓ Jieko
   2914.2 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2673.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2585.3 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3293.2 ms  ✓ MaybeInplace
   2194.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2707.3 ms  ✓ SciMLStructures
   2326.5 ms  ✓ MKL_jll
   6681.2 ms  ✓ RecipesBase
   1896.2 ms  ✓ BitTwiddlingConvenienceFunctions
   5395.0 ms  ✓ Setfield
   1815.9 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   5512.1 ms  ✓ ReTestItems
   3589.3 ms  ✓ PreallocationTools
   1801.2 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   3280.5 ms  ✓ CPUSummary
   1717.8 ms  ✓ FiniteDiff
   1301.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
  14212.0 ms  ✓ SparseArrays
   7007.1 ms  ✓ Accessors
   4532.2 ms  ✓ StaticArrayInterface
   2203.6 ms  ✓ PolyesterWeave
   4192.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2007.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2028.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2083.9 ms  ✓ Accessors → LinearAlgebraExt
   2290.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2310.0 ms  ✓ Adapt → AdaptSparseArraysExt
   2334.0 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1570.6 ms  ✓ CloseOpenIntervals
   2915.7 ms  ✓ Statistics
   1899.9 ms  ✓ LayoutPointers
   1416.8 ms  ✓ Accessors → TestExt
   1600.2 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   8898.6 ms  ✓ SpecialFunctions
   1487.5 ms  ✓ FillArrays → FillArraysStatisticsExt
   3194.7 ms  ✓ SymbolicIndexingInterface
   1395.6 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2364.0 ms  ✓ StrideArraysCore
   1621.9 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1679.4 ms  ✓ DiffRules
   4299.5 ms  ✓ SciMLOperators
   1204.5 ms  ✓ Polyester
   1096.8 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1392.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3492.9 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1330.9 ms  ✓ FastBroadcast
   3830.8 ms  ✓ RecursiveArrayTools
  19331.0 ms  ✓ StaticArrays
   2088.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2254.7 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2293.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2476.8 ms  ✓ Adapt → AdaptStaticArraysExt
   2578.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3258.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3708.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   9400.8 ms  ✓ ForwardDiff
   3593.3 ms  ✓ Accessors → StaticArraysExt
   3869.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4037.5 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   7005.4 ms  ✓ FastGaussQuadrature
  17229.4 ms  ✓ SparseMatrixColorings
   2606.8 ms  ✓ FastPower → FastPowerForwardDiffExt
   2664.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2799.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2900.6 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3107.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  21648.9 ms  ✓ Moshi
  19520.6 ms  ✓ Krylov
