Precompiling Pkg...
   1513.3 ms  ✓ p7zip_jll
   1598.1 ms  ✓ NetworkOptions
   1516.5 ms  ✓ Zlib_jll
   1596.7 ms  ✓ Logging
   1603.9 ms  ✓ MozillaCACerts_jll
   1624.4 ms  ✓ nghttp2_jll
   1647.1 ms  ✓ UUIDs
   1641.8 ms  ✓ Unicode
   1685.8 ms  ✓ MbedTLS_jll
   1683.0 ms  ✓ Base64
    426.7 ms  ✓ LibSSH2_jll
    645.6 ms  ✓ Printf
   2357.5 ms  ✓ ArgTools
    573.4 ms  ✓ LibCURL_jll
    583.1 ms  ✓ LibGit2_jll
    691.0 ms  ✓ Tar
    620.7 ms  ✓ LibCURL
   2851.8 ms  ✓ Markdown
   2338.5 ms  ✓ Dates
   2231.4 ms  ✓ LibGit2
    468.4 ms  ✓ TOML
   2801.6 ms  ✓ Downloads
  38744.1 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   2653.1 ms  ✓ UnPack
   2670.8 ms  ✓ SimpleUnPack
   2754.4 ms  ✓ ConcreteStructs
   2762.5 ms  ✓ IteratorInterfaceExtensions
   2849.2 ms  ✓ MuladdMacro
   2851.3 ms  ✓ Future
   3040.6 ms  ✓ ExprTools
   3145.7 ms  ✓ OpenLibm_jll
   3427.3 ms  ✓ Statistics
   3527.7 ms  ✓ InverseFunctions
   3957.2 ms  ✓ Serialization
   4051.6 ms  ✓ ADTypes
   4755.4 ms  ✓ FunctionWrappers
   2688.7 ms  ✓ CommonSolve
   5442.2 ms  ✓ FillArrays
   2614.2 ms  ✓ DataValueInterfaces
   5760.1 ms  ✓ Cassette
   3177.1 ms  ✓ ManualMemory
   2901.0 ms  ✓ EnumX
   3399.8 ms  ✓ CompilerSupportLibraries_jll
   3312.1 ms  ✓ SuiteSparse_jll
   2710.4 ms  ✓ Reexport
   2621.6 ms  ✓ SIMDTypes
   3317.0 ms  ✓ OrderedCollections
   6351.9 ms  ✓ OffsetArrays
   3594.3 ms  ✓ Requires
   3201.9 ms  ✓ Mmap
   3211.0 ms  ✓ CompositionsBase
   2799.2 ms  ✓ FastPower
   2720.2 ms  ✓ IfElse
   2694.5 ms  ✓ CommonWorldInvalidations
   2706.8 ms  ✓ FastClosures
   2791.4 ms  ✓ PackageExtensionCompat
   2879.1 ms  ✓ DataAPI
   3401.6 ms  ✓ Inflate
   2810.2 ms  ✓ StaticArraysCore
   3207.3 ms  ✓ ConstructionBase
   5475.6 ms  ✓ IrrationalConstants
   3693.5 ms  ✓ EnzymeCore
   2693.2 ms  ✓ TableTraits
   5493.4 ms  ✓ GenericSchur
   3909.3 ms  ✓ CpuId
   3187.1 ms  ✓ NaNMath
   3599.8 ms  ✓ Compat
   3002.8 ms  ✓ RuntimeGeneratedFunctions
   3192.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3985.2 ms  ✓ DocStringExtensions
   4202.3 ms  ✓ Preferences
   6623.3 ms  ✓ FastLapackInterface
   2903.0 ms  ✓ FunctionWrappersWrappers
   3115.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   6114.4 ms  ✓ LazyArtifacts
