nice: cannot set niceness: Permission denied
Precompiling packages...
   1494.1 ms  ✓ nghttp2_jll
   1514.2 ms  ✓ UUIDs
   1595.8 ms  ✓ MozillaCACerts_jll
   1609.1 ms  ✓ Logging
   1607.8 ms  ✓ Zlib_jll
   1674.2 ms  ✓ NetworkOptions
   1723.2 ms  ✓ OpenSSL_jll
   1702.0 ms  ✓ Unicode
   1731.3 ms  ✓ CompilerSupportLibraries_jll
   1820.6 ms  ✓ Base64
    479.7 ms  ✓ LibSSH2_jll
    593.4 ms  ✓ p7zip_jll
    679.1 ms  ✓ Printf
    471.4 ms  ✓ LibCURL_jll
    480.2 ms  ✓ LibGit2_jll
   3186.2 ms  ✓ ArgTools
    805.3 ms  ✓ LibCURL
    635.0 ms  ✓ Tar
   2963.8 ms  ✓ Dates
   2949.6 ms  ✓ LibGit2
    437.4 ms  ✓ TOML
   2995.2 ms  ✓ Downloads
   9245.6 ms  ✓ StyledStrings
   1622.5 ms  ✓ JuliaSyntaxHighlighting
   3679.6 ms  ✓ Markdown
  46141.4 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2570.8 ms  ✓ IteratorInterfaceExtensions
   2575.2 ms  ✓ Future
   2587.4 ms  ✓ MuladdMacro
   2582.9 ms  ✓ UnPack
   2679.7 ms  ✓ SimpleUnPack
   2676.1 ms  ✓ ConcreteStructs
   2760.4 ms  ✓ OpenLibm_jll
   2779.2 ms  ✓ ExprTools
   2948.2 ms  ✓ CommonSolve
   3361.8 ms  ✓ InverseFunctions
   3957.4 ms  ✓ Statistics
   4276.9 ms  ✓ Serialization
   4372.8 ms  ✓ ADTypes
   2619.0 ms  ✓ Reexport
   2698.4 ms  ✓ SIMDTypes
   2906.5 ms  ✓ ManualMemory
   3013.5 ms  ✓ SuiteSparse_jll
   2906.7 ms  ✓ EnumX
   5868.5 ms  ✓ FillArrays
   2595.8 ms  ✓ CompositionsBase
   3606.9 ms  ✓ DocStringExtensions
   2693.0 ms  ✓ FastPower
   4702.4 ms  ✓ Requires
   2587.5 ms  ✓ FastClosures
   2785.5 ms  ✓ IfElse
   2621.9 ms  ✓ CommonWorldInvalidations
   4105.4 ms  ✓ EnzymeCore
   3216.0 ms  ✓ StaticArraysCore
   3306.9 ms  ✓ LoggingExtras
  11178.0 ms  ✓ FunctionWrappers
   4298.4 ms  ✓ CpuId
   3908.8 ms  ✓ Preferences
   2489.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   6590.7 ms  ✓ GenericSchur
  11087.2 ms  ✓ OrderedCollections
   5594.1 ms  ✓ LazyArtifacts
   9096.1 ms  ✓ ConstructionBase
   2899.9 ms  ✓ SciMLPublic
   2514.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   2404.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  16676.4 ms  ✓ ExproniconLite
  13793.0 ms  ✓ IrrationalConstants
   3001.7 ms  ✓ Adapt
   9890.2 ms  ✓ Compat
   9795.9 ms  ✓ NaNMath
   2883.7 ms  ✓ DiffResults
   2773.4 ms  ✓ FunctionWrappersWrappers
   3200.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2722.3 ms  ✓ PrecompileTools
   3476.6 ms  ✓ JLLWrappers
  13492.8 ms  ✓ InteractiveUtils
   2689.1 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3508.2 ms  ✓ SciMLLogging
   9501.6 ms  ✓ RuntimeGeneratedFunctions
   2600.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  19714.0 ms  ✓ MacroTools
   3814.5 ms  ✓ LogExpFunctions
   3135.0 ms  ✓ GPUArraysCore
   2999.3 ms  ✓ EnzymeCore → AdaptExt
   2912.8 ms  ✓ Compat → CompatLinearAlgebraExt
  11603.2 ms  ✓ ThreadingUtilities
  12302.0 ms  ✓ DifferentiationInterface
   3783.2 ms  ✓ CommonSubexpressions
   9306.4 ms  ✓ DataStructures
   4099.2 ms  ✓ OpenSpecFun_jll
   4394.2 ms  ✓ TruncatedStacktraces
  18307.5 ms  ✓ Distributed
  20496.0 ms  ✓ TimerOutputs
   8610.2 ms  ✓ RecipesBase
  10733.8 ms  ✓ Jieko
   2728.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2696.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  10479.4 ms  ✓ ArrayInterface
   6599.0 ms  ✓ Setfield
   7409.8 ms  ✓ oneTBB_jll
   8236.9 ms  ✓ IntelOpenMP_jll
   1510.9 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1712.6 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2402.8 ms  ✓ MaybeInplace
  27497.6 ms  ✓ SparseArrays
   3892.5 ms  ✓ PreallocationTools
   2990.6 ms  ✓ FiniteDiff
   3184.7 ms  ✓ Statistics → SparseArraysExt
   3274.1 ms  ✓ Adapt → AdaptSparseArraysExt
   3479.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3699.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   6279.5 ms  ✓ MKL_jll
   2911.0 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   6991.9 ms  ✓ SciMLStructures
   2892.3 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1918.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2224.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  14622.4 ms  ✓ Accessors
  11305.8 ms  ✓ ChainRulesCore
  11403.3 ms  ✓ SpecialFunctions
   1996.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   1992.3 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2085.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2365.9 ms  ✓ Accessors → LinearAlgebraExt
  20316.7 ms  ✓ Static
   2488.6 ms  ✓ DiffRules
   2194.9 ms  ✓ BitTwiddlingConvenienceFunctions
   5686.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   7493.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   4301.4 ms  ✓ CPUSummary
   6405.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1476.4 ms  ✓ PolyesterWeave
   7520.0 ms  ✓ SymbolicIndexingInterface
   8518.5 ms  ✓ SciMLOperators
   3397.4 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   4992.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  33534.6 ms  ✓ StaticArrays
  21872.0 ms  ✓ SparseMatrixColorings
   3499.9 ms  ✓ Adapt → AdaptStaticArraysExt
   3523.0 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3599.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   3617.0 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
  25311.0 ms  ✓ Krylov
   3720.4 ms  ✓ Accessors → StaticArraysExt
  15808.3 ms  ✓ ForwardDiff
   3903.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4017.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1512.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   1577.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  11699.2 ms  ✓ RecursiveArrayTools
   2297.9 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
