nice: cannot set niceness: Permission denied
Precompiling packages...
   1939.0 ms  ✓ CommonSolve
   1971.5 ms  ✓ LazyArtifacts
   1972.1 ms  ✓ IteratorInterfaceExtensions
   1973.6 ms  ✓ OpenLibm_jll
   1980.0 ms  ✓ MuladdMacro
   2052.7 ms  ✓ ConcreteStructs
   2153.0 ms  ✓ ExprTools
   2307.1 ms  ✓ CompilerSupportLibraries_jll
   2324.8 ms  ✓ SuiteSparse_jll
   2368.5 ms  ✓ InverseFunctions
   3066.2 ms  ✓ ADTypes
   3708.1 ms  ✓ FunctionWrappers
   1921.3 ms  ✓ EnumX
   1820.8 ms  ✓ Reexport
   2188.6 ms  ✓ ManualMemory
   1893.0 ms  ✓ SIMDTypes
   2332.3 ms  ✓ NaNMath
   4368.3 ms  ✓ FillArrays
   2408.1 ms  ✓ Requires
   2482.2 ms  ✓ Compat
   2794.8 ms  ✓ DocStringExtensions
   5260.2 ms  ✓ GenericSchur
   3304.0 ms  ✓ Preferences
   1896.2 ms  ✓ CompositionsBase
   1985.7 ms  ✓ FastPower
   1910.1 ms  ✓ IfElse
   1914.9 ms  ✓ FastClosures
   2090.5 ms  ✓ CommonWorldInvalidations
   2202.7 ms  ✓ ConstructionBase
   2293.9 ms  ✓ Adapt
   3102.5 ms  ✓ CpuId
   2197.2 ms  ✓ SciMLPublic
   3205.3 ms  ✓ EnzymeCore
   2684.6 ms  ✓ StaticArraysCore
   2491.9 ms  ✓ RuntimeGeneratedFunctions
   8065.0 ms  ✓ ExproniconLite
   2993.0 ms  ✓ OrderedCollections
   1802.3 ms  ✓ FunctionWrappersWrappers
   8420.8 ms  ✓ Distributed
   2075.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5505.2 ms  ✓ IrrationalConstants
   2200.1 ms  ✓ Compat → CompatLinearAlgebraExt
   2390.3 ms  ✓ JLLWrappers
   1910.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2719.4 ms  ✓ LoggingExtras
   2107.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2207.7 ms  ✓ PrecompileTools
   1823.5 ms  ✓ EnzymeCore → AdaptExt
   2320.5 ms  ✓ GPUArraysCore
   2388.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4316.7 ms  ✓ ThreadingUtilities
   2792.5 ms  ✓ ArrayInterface
   1991.1 ms  ✓ DiffResults
   5309.6 ms  ✓ DifferentiationInterface
  10006.6 ms  ✓ MacroTools
   2810.5 ms  ✓ IntelOpenMP_jll
   2511.9 ms  ✓ SciMLLogging
   3294.5 ms  ✓ oneTBB_jll
