nice: cannot set niceness: Permission denied
Precompiling packages...
   1682.9 ms  ✓ CompilerSupportLibraries_jll
   1685.3 ms  ✓ Logging
   1679.2 ms  ✓ Unicode
   1704.1 ms  ✓ UUIDs
   1790.1 ms  ✓ OpenSSL_jll
   1779.9 ms  ✓ NetworkOptions
   1786.3 ms  ✓ nghttp2_jll
   1789.8 ms  ✓ MozillaCACerts_jll
   1791.6 ms  ✓ Zlib_jll
   1962.8 ms  ✓ Base64
    525.5 ms  ✓ LibSSH2_jll
    637.0 ms  ✓ p7zip_jll
    731.4 ms  ✓ Printf
    458.4 ms  ✓ LibCURL_jll
    472.2 ms  ✓ LibGit2_jll
   3340.8 ms  ✓ ArgTools
    779.2 ms  ✓ LibCURL
    656.1 ms  ✓ Tar
   2993.3 ms  ✓ Dates
    456.5 ms  ✓ TOML
   3151.8 ms  ✓ LibGit2
   3079.1 ms  ✓ Downloads
   9524.4 ms  ✓ StyledStrings
   1696.7 ms  ✓ JuliaSyntaxHighlighting
   3930.1 ms  ✓ Markdown
  48089.4 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2607.6 ms  ✓ IteratorInterfaceExtensions
   2621.6 ms  ✓ OpenLibm_jll
   2701.4 ms  ✓ LaTeXStrings
   2706.0 ms  ✓ ConcreteStructs
   2723.9 ms  ✓ ExprTools
   2798.8 ms  ✓ CommonSolve
   2899.8 ms  ✓ Future
   3007.9 ms  ✓ SuiteSparse_jll
   3086.8 ms  ✓ DataValueInterfaces
   3198.9 ms  ✓ InverseFunctions
   3510.9 ms  ✓ Statistics
   4030.3 ms  ✓ Serialization
   4517.1 ms  ✓ ADTypes
   2583.0 ms  ✓ Reexport
   2699.0 ms  ✓ EnumX
   2590.2 ms  ✓ CompositionsBase
   2711.4 ms  ✓ FastPower
   3027.7 ms  ✓ Adapt
   3606.1 ms  ✓ DocStringExtensions
   2899.7 ms  ✓ DataAPI
   3778.7 ms  ✓ EnzymeCore
   2594.1 ms  ✓ FastClosures
   2614.7 ms  ✓ StaticArraysCore
   2693.0 ms  ✓ BinaryHeaps
   2993.6 ms  ✓ SciMLPublic
   2986.5 ms  ✓ LoggingExtras
   3808.7 ms  ✓ Preferences
   5024.1 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
  10480.3 ms  ✓ OrderedCollections
   2584.6 ms  ✓ TableTraits
   2704.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  12225.8 ms  ✓ FunctionWrappers
   5292.6 ms  ✓ LazyArtifacts
   2611.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
  10087.2 ms  ✓ ConstructionBase
   2420.2 ms  ✓ EnzymeCore → AdaptExt
   3296.1 ms  ✓ GPUArraysCore
   2576.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2810.7 ms  ✓ DiffResults
  14295.2 ms  ✓ IrrationalConstants
  13072.4 ms  ✓ Crayons
  10608.2 ms  ✓ Compat
   3002.7 ms  ✓ JLLWrappers
   9690.5 ms  ✓ NaNMath
   3106.3 ms  ✓ PrecompileTools
   3810.8 ms  ✓ SciMLLogging
  13393.6 ms  ✓ InteractiveUtils
  19707.8 ms  ✓ MacroTools
   3001.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3005.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   9999.8 ms  ✓ RuntimeGeneratedFunctions
  10005.2 ms  ✓ ArrayInterface
   3475.7 ms  ✓ Compat → CompatLinearAlgebraExt
   4419.4 ms  ✓ LogExpFunctions
  12118.4 ms  ✓ DifferentiationInterface
   3592.6 ms  ✓ OpenSpecFun_jll
   3018.8 ms  ✓ CommonSubexpressions
   4909.4 ms  ✓ MuladdMacro
   6705.7 ms  ✓ IntelOpenMP_jll
   3089.8 ms  ✓ TruncatedStacktraces
   7792.8 ms  ✓ oneTBB_jll
  10507.8 ms  ✓ Tables
   2406.6 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
  18282.2 ms  ✓ Distributed
   3194.5 ms  ✓ FastBroadcast
   3604.9 ms  ✓ MaybeInplace
   8280.0 ms  ✓ RecipesBase
   3115.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   6680.9 ms  ✓ Setfield
   2293.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1910.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  10793.9 ms  ✓ FunctionWrappersWrappers
   2527.9 ms  ✓ FiniteDiff
   6280.7 ms  ✓ PreallocationTools
   5102.6 ms  ✓ MKL_jll
  23680.0 ms  ✓ SparseArrays
   8410.5 ms  ✓ SciMLStructures
   2992.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   3016.1 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
  15898.5 ms  ✓ StringManipulation
  14698.5 ms  ✓ Accessors
   3997.4 ms  ✓ AMD
   4111.6 ms  ✓ Adapt → AdaptSparseArraysExt
   4289.6 ms  ✓ Statistics → SparseArraysExt
   4012.9 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3204.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3213.3 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
  19027.6 ms  ✓ FindFirstFunctions
   8314.7 ms  ✓ RespecializeParams
   2023.7 ms  ✓ Accessors → LinearAlgebraExt
  12204.8 ms  ✓ SpecialFunctions
   2206.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1506.8 ms  ✓ DiffRules
   8169.3 ms  ✓ SymbolicIndexingInterface
  11180.5 ms  ✓ SciMLOperators
  49241.6 ms  ✓ LHLFactorization
   1708.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  21874.5 ms  ✓ SparseMatrixColorings
  17614.6 ms  ✓ ForwardDiff
  26411.5 ms  ✓ Krylov
   4041.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
  26923.5 ms  ✓ SparseColumnPivotedQR
   1873.1 ms  ✓ FastPower → FastPowerForwardDiffExt
   2624.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    878.5 ms  ✓ SparseColumnPivotedQR → SparseColumnPivotedQRAMDExt
   3603.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  14807.3 ms  ✓ RecursiveArrayTools
    859.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    858.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    898.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
    936.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1061.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  14469.4 ms  ✓ SciMLBase
  44693.7 ms  ✓ PureKLU
    818.0 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
    740.8 ms  ✓ PureKLU → PureKLUForwardDiffExt
   1997.7 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   7177.1 ms  ✓ SciMLJacobianOperators
  71796.8 ms  ✓ REPL
   8879.7 ms  ✓ LineSearch
   4759.8 ms  ✓ Pkg → REPLExt
  25774.5 ms  ✓ LinearSolve
   1920.7 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2932.8 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  20205.7 ms  ✓ PrettyTables
    664.9 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   4040.2 ms  ✓ TimerOutputs
   6747.2 ms  ✓ NonlinearSolveBase
   1306.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1568.9 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1648.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   3017.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   3124.3 ms  ✓ BracketingNonlinearSolve
   1238.6 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   5848.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5716.9 ms  ✓ DiffEqBase
   2470.0 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
  11328.8 ms  ✓ NonlinearSolveSpectralMethods
   1511.4 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   6721.1 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   8508.5 ms  ✓ OrdinaryDiffEqCore
  11548.5 ms  ✓ SimpleNonlinearSolve
   1344.1 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   5626.6 ms  ✓ OrdinaryDiffEqDifferentiation
   3808.9 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  17691.2 ms  ✓ OrdinaryDiffEqTsit5
  32863.7 ms  ✓ NonlinearSolveQuasiNewton
   2075.8 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  31642.4 ms  ✓ OrdinaryDiffEqVerner
  50080.4 ms  ✓ NonlinearSolveFirstOrder
  47174.8 ms  ✓ OrdinaryDiffEqRosenbrock
  51351.3 ms  ✓ NonlinearSolve
   4557.8 ms  ✓ OrdinaryDiffEqNonlinearSolve
  30737.4 ms  ✓ OrdinaryDiffEqSDIRK
  24905.5 ms  ✓ OrdinaryDiffEqBDF
  61075.1 ms  ✓ OrdinaryDiffEqDefault
   3542.0 ms  ✓ OrdinaryDiffEq
  157 dependencies successfully precompiled in 356 seconds. 26 already precompiled.
  24 dependencies precompiled but different versions are currently loaded (ArgTools, Base64, Dates, Downloads, JuliaSyntaxHighlighting, LibCURL, LibCURL_jll, LibGit2, LibGit2_jll, LibSSH2_jll, Logging, Markdown, MozillaCACerts_jll, NetworkOptions, OpenSSL_jll, Pkg, Printf, StyledStrings, TOML, Tar, UUIDs, Zlib_jll, nghttp2_jll and p7zip_jll). Restart julia to access the new versions. Otherwise, 91 dependents of these packages may trigger further precompilation to work with the unexpected versions.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +1.12.7 --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 1181.55
	System time (seconds): 51.37
	Percent of CPU this job got: 293%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:00.31
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2768660
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 912
	Minor (reclaiming a frame) page faults: 15218642
	Voluntary context switches: 34789
	Involuntary context switches: 69415
	Swaps: 0
	File system inputs: 0
	File system outputs: 2243648
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
