nice: cannot set niceness: Permission denied
Precompiling packages...
   2290.7 ms  ✓ ConcreteStructs
   2391.9 ms  ✓ IteratorInterfaceExtensions
   2389.4 ms  ✓ LazyArtifacts
   2325.1 ms  ✓ CommonSolve
   2400.4 ms  ✓ MuladdMacro
   2368.9 ms  ✓ OpenLibm_jll
   2498.5 ms  ✓ ExprTools
   2415.5 ms  ✓ CompilerSupportLibraries_jll
   2668.9 ms  ✓ InverseFunctions
   2900.8 ms  ✓ SuiteSparse_jll
   3598.6 ms  ✓ ADTypes
   4647.8 ms  ✓ FunctionWrappers
   2003.2 ms  ✓ ManualMemory
   1909.7 ms  ✓ Reexport
   1992.7 ms  ✓ EnumX
   4491.0 ms  ✓ FillArrays
   1981.0 ms  ✓ SIMDTypes
   2500.0 ms  ✓ Compat
   2619.1 ms  ✓ Requires
   5355.4 ms  ✓ GenericSchur
   2996.6 ms  ✓ OrderedCollections
   3285.7 ms  ✓ Preferences
   2916.2 ms  ✓ DocStringExtensions
   1902.9 ms  ✓ CompositionsBase
   1902.2 ms  ✓ FastPower
   2073.6 ms  ✓ IfElse
   2111.3 ms  ✓ CommonWorldInvalidations
   2421.1 ms  ✓ ConstructionBase
   2278.8 ms  ✓ FastClosures
   2186.3 ms  ✓ SciMLPublic
   3313.8 ms  ✓ EnzymeCore
   3405.5 ms  ✓ CpuId
   2319.2 ms  ✓ StaticArraysCore
   2827.9 ms  ✓ LoggingExtras
   8505.9 ms  ✓ Distributed
   2391.1 ms  ✓ RuntimeGeneratedFunctions
   2114.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8995.7 ms  ✓ ExproniconLite
   3096.6 ms  ✓ NaNMath
   2229.0 ms  ✓ FunctionWrappersWrappers
   6293.7 ms  ✓ IrrationalConstants
   2510.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2776.5 ms  ✓ Adapt
   2398.7 ms  ✓ JLLWrappers
   2090.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2205.5 ms  ✓ PrecompileTools
   2199.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2311.0 ms  ✓ DiffResults
   2307.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4691.3 ms  ✓ ThreadingUtilities
   2616.5 ms  ✓ SciMLLogging
   5501.6 ms  ✓ DifferentiationInterface
   2683.4 ms  ✓ ArrayInterface
   2503.3 ms  ✓ EnzymeCore → AdaptExt
  11208.6 ms  ✓ MacroTools
   3296.9 ms  ✓ LogExpFunctions
   2903.5 ms  ✓ GPUArraysCore
   3378.6 ms  ✓ oneTBB_jll
   4107.3 ms  ✓ IntelOpenMP_jll
