nice: cannot set niceness: Permission denied
Precompiling packages...
   1876.0 ms  ✓ ConcreteStructs
   1884.8 ms  ✓ LazyArtifacts
   1887.9 ms  ✓ MuladdMacro
   1885.5 ms  ✓ IteratorInterfaceExtensions
   1882.2 ms  ✓ OpenLibm_jll
   1858.4 ms  ✓ CommonSolve
   2083.3 ms  ✓ ExprTools
   2414.1 ms  ✓ SuiteSparse_jll
   2452.6 ms  ✓ CompilerSupportLibraries_jll
   2689.7 ms  ✓ InverseFunctions
   2880.5 ms  ✓ ADTypes
   3428.8 ms  ✓ FunctionWrappers
   1992.1 ms  ✓ ManualMemory
   2188.4 ms  ✓ NaNMath
   4083.1 ms  ✓ FillArrays
   2008.9 ms  ✓ EnumX
   1886.4 ms  ✓ Reexport
   2477.8 ms  ✓ Compat
   4683.4 ms  ✓ GenericSchur
   3080.4 ms  ✓ Preferences
   3088.4 ms  ✓ OrderedCollections
   1898.6 ms  ✓ CompositionsBase
   2618.2 ms  ✓ DocStringExtensions
   1799.0 ms  ✓ FastPower
   1690.4 ms  ✓ IfElse
   1899.6 ms  ✓ CommonWorldInvalidations
   2223.2 ms  ✓ ConstructionBase
   1987.9 ms  ✓ FastClosures
   1767.2 ms  ✓ SciMLPublic
   2989.1 ms  ✓ CpuId
   2216.2 ms  ✓ LoggingExtras
   2318.9 ms  ✓ StaticArraysCore
   7605.4 ms  ✓ ExproniconLite
   7643.2 ms  ✓ Distributed
   3591.1 ms  ✓ EnzymeCore
   2382.4 ms  ✓ Requires
   2214.9 ms  ✓ RuntimeGeneratedFunctions
   5102.5 ms  ✓ IrrationalConstants
   1909.1 ms  ✓ SIMDTypes
   1927.9 ms  ✓ FunctionWrappersWrappers
   2119.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2090.4 ms  ✓ Compat → CompatLinearAlgebraExt
   1808.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2072.2 ms  ✓ PrecompileTools
   2190.9 ms  ✓ JLLWrappers
   2094.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2682.4 ms  ✓ SciMLLogging
   2586.7 ms  ✓ DiffResults
   2299.9 ms  ✓ Adapt
   4013.7 ms  ✓ ThreadingUtilities
   2103.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   9584.6 ms  ✓ MacroTools
   4804.5 ms  ✓ DifferentiationInterface
   3309.0 ms  ✓ LogExpFunctions
   2705.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2384.8 ms  ✓ IntelOpenMP_jll
   2686.3 ms  ✓ OpenSpecFun_jll
   2516.9 ms  ✓ ArrayInterface
   3071.7 ms  ✓ oneTBB_jll
   8394.4 ms  ✓ TimerOutputs
   2707.3 ms  ✓ GPUArraysCore
   2890.5 ms  ✓ EnzymeCore → AdaptExt
   4043.2 ms  ✓ Static
   2505.1 ms  ✓ TruncatedStacktraces
   7413.1 ms  ✓ DataStructures
   2787.2 ms  ✓ CommonSubexpressions
   7211.3 ms  ✓ Jieko
   5804.4 ms  ✓ ChainRulesCore
   2059.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
