nice: cannot set niceness: Permission denied
Precompiling packages...
   1845.1 ms  ✓ IteratorInterfaceExtensions
   1897.5 ms  ✓ CommonSolve
   1938.8 ms  ✓ LazyArtifacts
   1941.0 ms  ✓ ConcreteStructs
   2047.3 ms  ✓ MuladdMacro
   2040.8 ms  ✓ OpenLibm_jll
   2090.9 ms  ✓ CompilerSupportLibraries_jll
   2514.8 ms  ✓ InverseFunctions
   2539.2 ms  ✓ ExprTools
   2700.7 ms  ✓ SuiteSparse_jll
   3141.8 ms  ✓ ADTypes
   3791.3 ms  ✓ FunctionWrappers
   2007.8 ms  ✓ ManualMemory
   1678.4 ms  ✓ SIMDTypes
   2102.8 ms  ✓ EnumX
   4238.9 ms  ✓ FillArrays
   1823.8 ms  ✓ Reexport
   2301.0 ms  ✓ Requires
   2598.2 ms  ✓ Compat
   2700.3 ms  ✓ OrderedCollections
   4809.7 ms  ✓ GenericSchur
   3094.0 ms  ✓ Preferences
   2808.3 ms  ✓ DocStringExtensions
   1997.7 ms  ✓ CompositionsBase
   2110.8 ms  ✓ FastPower
   1799.9 ms  ✓ IfElse
   1911.2 ms  ✓ CommonWorldInvalidations
   1800.4 ms  ✓ FastClosures
   2373.2 ms  ✓ ConstructionBase
   1917.2 ms  ✓ SciMLPublic
   3006.7 ms  ✓ CpuId
   2586.6 ms  ✓ LoggingExtras
   3190.8 ms  ✓ EnzymeCore
   2604.9 ms  ✓ StaticArraysCore
   2278.2 ms  ✓ NaNMath
   7929.3 ms  ✓ ExproniconLite
   2397.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8013.5 ms  ✓ Distributed
   2084.1 ms  ✓ RuntimeGeneratedFunctions
   5371.6 ms  ✓ IrrationalConstants
   2306.4 ms  ✓ Adapt
   1998.0 ms  ✓ Compat → CompatLinearAlgebraExt
   2117.5 ms  ✓ JLLWrappers
   1901.2 ms  ✓ PrecompileTools
   1791.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1992.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2209.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2390.8 ms  ✓ SciMLLogging
   2409.9 ms  ✓ DiffResults
   4704.5 ms  ✓ DifferentiationInterface
   4417.9 ms  ✓ ThreadingUtilities
   9513.9 ms  ✓ MacroTools
   2083.2 ms  ✓ GPUArraysCore
   2411.3 ms  ✓ ArrayInterface
   2308.1 ms  ✓ EnzymeCore → AdaptExt
   2705.6 ms  ✓ IntelOpenMP_jll
   3487.4 ms  ✓ LogExpFunctions
   2687.8 ms  ✓ oneTBB_jll
   2610.3 ms  ✓ OpenSpecFun_jll
   7370.8 ms  ✓ TimerOutputs
   2211.8 ms  ✓ TruncatedStacktraces
   2218.9 ms  ✓ CommonSubexpressions
   6794.3 ms  ✓ DataStructures
   1823.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3781.5 ms  ✓ Static
   2210.7 ms  ✓ FastBroadcast
   2122.2 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2005.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2919.8 ms  ✓ MaybeInplace
   1910.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2609.0 ms  ✓ SciMLStructures
   7673.9 ms  ✓ Jieko
   2491.1 ms  ✓ MKL_jll
   5098.6 ms  ✓ Setfield
   1733.4 ms  ✓ BitTwiddlingConvenienceFunctions
   6498.2 ms  ✓ RecipesBase
   1593.8 ms  ✓ FastBroadcast → FastBroadcastStaticExt
   2587.0 ms  ✓ FunctionWrappersWrappers
   4084.7 ms  ✓ PreallocationTools
   2821.2 ms  ✓ CPUSummary
  11994.6 ms  ✓ SparseArrays
   1998.3 ms  ✓ FiniteDiff
ADTypesConstructionBaseExt Waiting for background task / IO / timer.
[pid 2385866] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x3d5f0f00->0x70b207bd56f0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   7216.2 ms  ✓ Accessors
   4310.0 ms  ✓ StaticArrayInterface
   2302.0 ms  ✓ PolyesterWeave
   2411.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2505.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2521.8 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2503.7 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1886.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2819.2 ms  ✓ Statistics
   1681.3 ms  ✓ Accessors → LinearAlgebraExt
   1193.9 ms  ✓ CloseOpenIntervals
   1471.9 ms  ✓ LayoutPointers
   1487.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   7997.9 ms  ✓ SpecialFunctions
   1612.6 ms  ✓ StrideArraysCore
   2311.8 ms  ✓ SymbolicIndexingInterface
   1032.5 ms  ✓ DiffRules
   3117.1 ms  ✓ SciMLOperators
   1216.9 ms  ✓ Polyester
   1185.2 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1005.9 ms  ✓ FastBroadcast → FastBroadcastPolyesterExt
   1390.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  17600.5 ms  ✓ StaticArrays
MaybeInplaceSparseArraysExt Waiting for background task / IO / timer.
[pid 2386791] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x3c2c9610->0x72db97828580
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
FiniteDiffSparseArraysExt Waiting for background task / IO / timer.
[pid 2386832] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x22aeaa10->0x7545fcb79930
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   2912.4 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
  23730.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   3393.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4492.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4433.7 ms  ✓ Adapt → AdaptStaticArraysExt
   4682.2 ms  ✓ FillArrays → FillArraysStaticArraysExt
  14908.5 ms  ✓ SparseMatrixColorings
   4693.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
  10383.1 ms  ✓ ForwardDiff
  10576.2 ms  ✓ RecursiveArrayTools
   3202.0 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3116.2 ms  ✓ NLSolversBase
   2294.5 ms  ✓ FastPower → FastPowerForwardDiffExt
   2307.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  20725.4 ms  ✓ Moshi
   3098.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   4203.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   3127.2 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  19224.4 ms  ✓ Krylov
   2578.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2984.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   5997.2 ms  ✓ FastGaussQuadrature
   1226.8 ms  ✓ LineSearches
   3561.3 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   1200.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastPolyesterExt
  21864.0 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
  21869.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
StaticArraysExt Waiting for background task / IO / timer.
[pid 2387310] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x63f15b0->0x7a8bf1a75ed0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
RecursiveArrayToolsStatisticsExt Waiting for background task / IO / timer.
[pid 2387559] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x154bd5f0->0x7bec2df71f00
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  30616.7 ms  ✓ ExponentialUtilities
  23382.0 ms  ✓ Accessors → StaticArraysExt
    995.9 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  22890.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   7280.6 ms  ✓ SciMLBase
    862.3 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1069.7 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1852.9 ms  ✓ SciMLJacobianOperators
   3192.1 ms  ✓ LineSearch
   1644.5 ms  ✓ LineSearch → LineSearchLineSearchesExt
   5209.4 ms  ✓ NonlinearSolveBase
   9042.6 ms  ✓ LinearSolve
   1555.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2591.8 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   2949.7 ms  ✓ BracketingNonlinearSolve
   1129.3 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2298.6 ms  ✓ DiffEqBase
    921.9 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2519.9 ms  ✓ OrdinaryDiffEqCore
    988.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
NonlinearSolveBaseSparseMatrixColoringsExt Waiting for background task / IO / timer.
[pid 2388119] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0xedc5e50->0x7e8302e86170
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
NonlinearSolveBaseLineSearchExt Waiting for background task / IO / timer.
[pid 2388124] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0xe8b3a30->0x7755001c20b0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
NonlinearSolveBaseLinearSolveExt Waiting for background task / IO / timer.
[pid 2388152] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x298db1d0->0x7ab3ee791180
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
LinearSolveForwardDiffExt Waiting for background task / IO / timer.
[pid 2388149] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x31890fd0->0x7d2976af0820
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   4774.6 ms  ✓ OrdinaryDiffEqFunctionMap
   5290.0 ms  ✓ OrdinaryDiffEqLinear
   6394.4 ms  ✓ OrdinaryDiffEqSymplecticRK
   6399.1 ms  ✓ OrdinaryDiffEqHighOrderRK
   6498.8 ms  ✓ OrdinaryDiffEqExplicitRK
   6646.3 ms  ✓ OrdinaryDiffEqStabilizedRK
NonlinearSolveBaseForwardDiffExt Waiting for background task / IO / timer.
[pid 2388120] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x25b8c430->0x7afd3404f100
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   7602.3 ms  ✓ OrdinaryDiffEqSSPRK
   8577.0 ms  ✓ OrdinaryDiffEqLowOrderRK
   4508.4 ms  ✓ OrdinaryDiffEqPRK
   4277.8 ms  ✓ OrdinaryDiffEqQPRK
  22211.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
  22243.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
  21901.1 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  21913.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   5407.5 ms  ✓ OrdinaryDiffEqRKN
   5486.5 ms  ✓ OrdinaryDiffEqFeagin
   6433.8 ms  ✓ OrdinaryDiffEqLowStorageRK
  24734.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5336.9 ms  ✓ OrdinaryDiffEqAdamsBashforthMoulton
  14034.0 ms  ✓ OrdinaryDiffEqTsit5
BracketingNonlinearSolveForwardDiffExt Waiting for background task / IO / timer.
[pid 2388229] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0xf44fa40->0x7aea7c1983a0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   1865.3 ms  ✓ OrdinaryDiffEqNordsieck
   7973.1 ms  ✓ NonlinearSolveSpectralMethods
   1142.0 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
  11739.7 ms  ✓ NonlinearSolveQuasiNewton
  31059.5 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   1269.5 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
DiffEqBaseForwardDiffExt Waiting for background task / IO / timer.
[pid 2388273] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x19255030->0x73d39fbf0790
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  31807.3 ms  ✓ OrdinaryDiffEqVerner
  12528.5 ms  ✓ SimpleNonlinearSolve
  42149.6 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   3346.0 ms  ✓ OrdinaryDiffEqDifferentiation
   2947.3 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  30781.1 ms  ✓ NonlinearSolveFirstOrder
   2585.4 ms  ✓ OrdinaryDiffEqExponentialRK
   3299.7 ms  ✓ OrdinaryDiffEqExtrapolation
  15315.9 ms  ✓ OrdinaryDiffEqRosenbrock
  30945.4 ms  ✓ NonlinearSolve
   2744.9 ms  ✓ OrdinaryDiffEqNonlinearSolve
   3015.6 ms  ✓ OrdinaryDiffEqIMEXMultistep
   3070.5 ms  ✓ OrdinaryDiffEqStabilizedIRK
   3326.6 ms  ✓ OrdinaryDiffEqPDIRK
  13692.0 ms  ✓ OrdinaryDiffEqSDIRK
  15505.8 ms  ✓ OrdinaryDiffEqFIRK
