Precompiling Pkg...
   1056.1 ms  ✓ Logging
   1135.2 ms  ✓ MozillaCACerts_jll
   1137.4 ms  ✓ UUIDs
   1155.7 ms  ✓ nghttp2_jll
   1222.5 ms  ✓ Unicode
   1229.2 ms  ✓ MbedTLS_jll
   1239.5 ms  ✓ Zlib_jll
   1283.0 ms  ✓ NetworkOptions
   1260.9 ms  ✓ Base64
   1266.1 ms  ✓ p7zip_jll
    351.7 ms  ✓ LibSSH2_jll
    439.1 ms  ✓ Printf
    444.9 ms  ✓ LibGit2_jll
    458.6 ms  ✓ LibCURL_jll
   2193.5 ms  ✓ ArgTools
    598.0 ms  ✓ LibCURL
    604.9 ms  ✓ Tar
   2938.9 ms  ✓ Markdown
   2542.5 ms  ✓ Dates
   2393.4 ms  ✓ LibGit2
    362.0 ms  ✓ TOML
   2979.3 ms  ✓ Downloads
  39333.4 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1927.5 ms  ✓ IteratorInterfaceExtensions
   1930.5 ms  ✓ MuladdMacro
   1930.2 ms  ✓ UnPack
   2011.3 ms  ✓ ConcreteStructs
   2018.8 ms  ✓ SimpleUnPack
   2032.2 ms  ✓ ExprTools
   2102.6 ms  ✓ CommonSolve
   2221.7 ms  ✓ OpenLibm_jll
   2321.7 ms  ✓ Future
   2408.4 ms  ✓ InverseFunctions
   2901.6 ms  ✓ Statistics
   3212.9 ms  ✓ Serialization
   3319.2 ms  ✓ ADTypes
   3926.6 ms  ✓ FunctionWrappers
   1806.2 ms  ✓ SIMDTypes
   2119.2 ms  ✓ ManualMemory
   4133.6 ms  ✓ FillArrays
   1908.8 ms  ✓ Reexport
   2097.6 ms  ✓ EnumX
   2305.3 ms  ✓ SuiteSparse_jll
   2499.3 ms  ✓ CompilerSupportLibraries_jll
   2588.3 ms  ✓ Requires
   2918.8 ms  ✓ OrderedCollections
   1794.8 ms  ✓ FastPower
   1899.9 ms  ✓ CompositionsBase
   2895.9 ms  ✓ DocStringExtensions
   1886.9 ms  ✓ IfElse
   1892.3 ms  ✓ CommonWorldInvalidations
   2328.9 ms  ✓ FastClosures
   2418.4 ms  ✓ StaticArraysCore
   2792.9 ms  ✓ EnzymeCore
   2784.3 ms  ✓ ConstructionBase
   3117.7 ms  ✓ CpuId
   2698.5 ms  ✓ Compat
   4918.3 ms  ✓ IrrationalConstants
   2015.6 ms  ✓ NaNMath
   3203.0 ms  ✓ Preferences
   8213.3 ms  ✓ ExproniconLite
   2590.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2221.2 ms  ✓ RuntimeGeneratedFunctions
   2091.4 ms  ✓ FunctionWrappersWrappers
   5174.3 ms  ✓ GenericSchur
   2195.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   1913.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2104.3 ms  ✓ Adapt
   5088.6 ms  ✓ LazyArtifacts
   2585.2 ms  ✓ Parameters
   2497.8 ms  ✓ DiffResults
   6708.8 ms  ✓ InteractiveUtils
   2206.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4720.3 ms  ✓ DifferentiationInterface
   2102.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2599.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4100.5 ms  ✓ ThreadingUtilities
   1910.0 ms  ✓ Compat → CompatLinearAlgebraExt
  10084.7 ms  ✓ MacroTools
   2683.3 ms  ✓ JLLWrappers
   2703.5 ms  ✓ PrecompileTools
   3093.3 ms  ✓ LogExpFunctions
   2782.3 ms  ✓ GPUArraysCore
   3191.3 ms  ✓ ArrayInterface
   3312.1 ms  ✓ EnzymeCore → AdaptExt
   2591.8 ms  ✓ TruncatedStacktraces
   3189.5 ms  ✓ CommonSubexpressions
   8880.7 ms  ✓ Distributed
  10113.4 ms  ✓ TimerOutputs
   3323.7 ms  ✓ oneTBB_jll
   3102.8 ms  ✓ OpenSpecFun_jll
   2080.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2116.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2001.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   5800.6 ms  ✓ ChainRulesCore
   1997.2 ms  ✓ SciMLStructures
   2399.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3299.7 ms  ✓ MaybeInplace
   4287.6 ms  ✓ Static
   7314.3 ms  ✓ DataStructures
   7295.8 ms  ✓ Setfield
   6796.0 ms  ✓ IntelOpenMP_jll
   2410.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2493.2 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   9613.8 ms  ✓ Jieko
   2104.2 ms  ✓ BitTwiddlingConvenienceFunctions
   2377.1 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   4430.3 ms  ✓ PreallocationTools
   9575.9 ms  ✓ Accessors
   7708.4 ms  ✓ RecipesBase
   2724.0 ms  ✓ FiniteDiff
   3835.6 ms  ✓ CPUSummary
  14900.9 ms  ✓ SparseArrays
   1698.9 ms  ✓ Accessors → LinearAlgebraExt
   5504.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   4598.9 ms  ✓ StaticArrayInterface
   2277.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   4997.4 ms  ✓ MKL_jll
   2493.8 ms  ✓ Adapt → AdaptSparseArraysExt
   2602.6 ms  ✓ Statistics → SparseArraysExt
   2691.6 ms  ✓ PolyesterWeave
   2682.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2616.8 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2894.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2415.6 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2306.9 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   2381.0 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1374.6 ms  ✓ CloseOpenIntervals
   9426.8 ms  ✓ SpecialFunctions
   1604.6 ms  ✓ LayoutPointers
   3332.1 ms  ✓ SymbolicIndexingInterface
   1578.5 ms  ✓ DiffRules
   1973.5 ms  ✓ StrideArraysCore
   4890.8 ms  ✓ SciMLOperators
   1700.0 ms  ✓ Polyester
   1436.2 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   3998.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1595.6 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1124.3 ms  ✓ FastBroadcast
   3898.2 ms  ✓ RecursiveArrayTools
   1883.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  19828.9 ms  ✓ StaticArrays
   2194.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2593.7 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2672.7 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   2677.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2626.0 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2772.5 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2778.5 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2966.9 ms  ✓ Adapt → AdaptStaticArraysExt
   3064.2 ms  ✓ Accessors → StaticArraysExt
  10278.6 ms  ✓ ForwardDiff
  17499.3 ms  ✓ SparseMatrixColorings
   6505.0 ms  ✓ FastGaussQuadrature
   2186.6 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   2228.0 ms  ✓ FastPower → FastPowerForwardDiffExt
   2320.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2320.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   2428.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  18505.2 ms  ✓ Krylov
   1682.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1985.8 ms  ✓ NLSolversBase
  22768.7 ms  ✓ Moshi
   1346.5 ms  ✓ LineSearches
   5810.1 ms  ✓ SciMLBase
    764.7 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
  16177.3 ms  ✓ ArrayLayouts
    789.5 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
   1905.9 ms  ✓ DiffEqBase
   2357.3 ms  ✓ SciMLJacobianOperators
   1422.0 ms  ✓ DiffEqBase → DiffEqBaseChainRulesCoreExt
   1605.1 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   1856.3 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
   2946.6 ms  ✓ LazyArrays
