nice: cannot set niceness: Permission denied
Precompiling packages...
    403.2 ms  ✓ CommonSolve
    421.3 ms  ✓ Reexport
    555.8 ms  ✓ ConstructionBase
    501.7 ms  ✓ StaticArraysCore
    600.9 ms  ✓ Statistics
   1362.5 ms  ✓ IrrationalConstants
    911.1 ms  ✓ SuiteSparse_jll
    479.4 ms  ✓ IfElse
    762.2 ms  ✓ EnzymeCore
    521.2 ms  ✓ ManualMemory
    440.4 ms  ✓ CommonWorldInvalidations
    414.5 ms  ✓ Future
    914.7 ms  ✓ SciMLPublic
    449.7 ms  ✓ FastPower
    442.6 ms  ✓ CompositionsBase
    530.0 ms  ✓ InverseFunctions
    457.6 ms  ✓ MuladdMacro
    470.4 ms  ✓ EnumX
    652.9 ms  ✓ OpenLibm_jll
   2237.1 ms  ✓ ExproniconLite
    656.4 ms  ✓ ExprTools
    604.5 ms  ✓ ConcreteStructs
   1295.5 ms  ✓ FillArrays
    834.6 ms  ✓ OrderedCollections
   4705.9 ms  ✓ MacroTools
    804.0 ms  ✓ ADTypes
    737.1 ms  ✓ Serialization
    460.6 ms  ✓ FastClosures
    620.6 ms  ✓ DocStringExtensions
    469.9 ms  ✓ SIMDTypes
    435.6 ms  ✓ IteratorInterfaceExtensions
    747.5 ms  ✓ Requires
    725.3 ms  ✓ CpuId
   1198.7 ms  ✓ GenericSchur
    533.3 ms  ✓ LoggingExtras
    665.7 ms  ✓ Compat
   1479.3 ms  ✓ InteractiveUtils
   3171.3 ms  ✓ FunctionWrappers
    534.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    998.9 ms  ✓ LazyArtifacts
    477.7 ms  ✓ DiffResults
    446.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    433.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    537.1 ms  ✓ NaNMath
   1739.3 ms  ✓ Preferences
   1202.8 ms  ✓ ThreadingUtilities
    504.0 ms  ✓ FillArrays → FillArraysStatisticsExt
    553.5 ms  ✓ CommonSubexpressions
    425.8 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    429.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2033.2 ms  ✓ Jieko
   1865.2 ms  ✓ DataStructures
   1161.2 ms  ✓ DifferentiationInterface
    435.4 ms  ✓ RuntimeGeneratedFunctions
    647.2 ms  ✓ LogExpFunctions
    548.7 ms  ✓ Adapt
    559.2 ms  ✓ Compat → CompatLinearAlgebraExt
    500.3 ms  ✓ FunctionWrappersWrappers
   2571.2 ms  ✓ Distributed
   4180.0 ms  ✓ TimerOutputs
    469.9 ms  ✓ PrecompileTools
    555.5 ms  ✓ JLLWrappers
   1728.2 ms  ✓ Setfield
    638.7 ms  ✓ SciMLLogging
    609.8 ms  ✓ TruncatedStacktraces
    427.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    598.9 ms  ✓ ArrayInterface
   4187.2 ms  ✓ SparseArrays
    631.9 ms  ✓ GPUArraysCore
   2745.5 ms  ✓ Accessors
    484.8 ms  ✓ EnzymeCore → AdaptExt
   1414.4 ms  ✓ ChainRulesCore
    684.0 ms  ✓ OpenSpecFun_jll
   1993.4 ms  ✓ RecipesBase
   1132.2 ms  ✓ IntelOpenMP_jll
   1156.4 ms  ✓ oneTBB_jll
    419.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    701.8 ms  ✓ MaybeInplace
    455.8 ms  ✓ SciMLStructures
    918.3 ms  ✓ PreallocationTools
    600.5 ms  ✓ Statistics → SparseArraysExt
    711.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
    752.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    691.1 ms  ✓ Adapt → AdaptSparseArraysExt
  10196.5 ms  ✓ Moshi
    696.9 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    497.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    555.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    559.6 ms  ✓ Accessors → LinearAlgebraExt
   7434.9 ms  ✓ Krylov
    556.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
    768.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    577.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
    541.7 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   1528.9 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  14437.3 ms  ✓ StaticArrays
   1683.4 ms  ✓ MKL_jll
    945.2 ms  ✓ FiniteDiff
    860.5 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3455.2 ms  ✓ SpecialFunctions
   1472.9 ms  ✓ SymbolicIndexingInterface
  10501.9 ms  ✓ SparseMatrixColorings
   2331.4 ms  ✓ SciMLOperators
    770.2 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    756.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
    714.6 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    743.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    704.2 ms  ✓ Adapt → AdaptStaticArraysExt
    732.3 ms  ✓ Accessors → StaticArraysExt
    709.1 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    710.4 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    610.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1892.7 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1836.8 ms  ✓ FastGaussQuadrature
    784.3 ms  ✓ DiffRules
    910.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2064.4 ms  ✓ RecursiveArrayTools
    603.7 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
  25528.8 ms  ✓ Static
    696.9 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
    688.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    462.5 ms  ✓ BitTwiddlingConvenienceFunctions
    949.1 ms  ✓ CPUSummary
   3695.9 ms  ✓ ForwardDiff
    626.5 ms  ✓ PolyesterWeave
    754.4 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
  11953.9 ms  ✓ ArrayLayouts
    569.2 ms  ✓ FastPower → FastPowerForwardDiffExt
    708.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    596.9 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    615.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1161.2 ms  ✓ ArrayLayouts → ArrayLayoutsSparseArraysExt
    918.1 ms  ✓ NLSolversBase
   8096.1 ms  ✓ SciMLBase
   1139.7 ms  ✓ LineSearches
    799.5 ms  ✓ SciMLBase → SciMLBaseChainRulesCoreExt
   1172.6 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2717.0 ms  ✓ LazyArrays
    762.7 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1294.6 ms  ✓ LazyArrays → LazyArraysStaticArraysExt
   2674.6 ms  ✓ SciMLJacobianOperators
   4249.3 ms  ✓ LineSearch
  14637.6 ms  ✓ StaticArrayInterface
    815.4 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   1199.2 ms  ✓ LineSearch → LineSearchLineSearchesExt
    632.2 ms  ✓ CloseOpenIntervals
    588.8 ms  ✓ LayoutPointers
  29051.6 ms  ✓ ExponentialUtilities
    754.8 ms  ✓ StrideArraysCore
   6791.8 ms  ✓ NonlinearSolveBase
    736.6 ms  ✓ Polyester
   1535.2 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
   1056.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1240.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
    867.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseChainRulesCoreExt
    860.3 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
    803.7 ms  ✓ FastBroadcast
   1359.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
    655.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  12620.6 ms  ✓ LinearSolve
   2144.5 ms  ✓ DiffEqBase
   4109.3 ms  ✓ BracketingNonlinearSolve
   2382.1 ms  ✓ LinearSolve → LinearSolveEnzymeExt
