nice: cannot set niceness: Permission denied
Precompiling packages...
   1595.0 ms  ✓ CompilerSupportLibraries_jll
   1599.7 ms  ✓ Zlib_jll
   1717.2 ms  ✓ Logging
   1734.1 ms  ✓ UUIDs
   1829.1 ms  ✓ OpenSSL_jll
   1796.2 ms  ✓ MozillaCACerts_jll
   1812.9 ms  ✓ nghttp2_jll
   1829.3 ms  ✓ Base64
   1836.3 ms  ✓ Unicode
   1938.2 ms  ✓ NetworkOptions
    680.3 ms  ✓ p7zip_jll
    498.7 ms  ✓ LibSSH2_jll
    660.5 ms  ✓ Printf
    439.8 ms  ✓ LibCURL_jll
    441.8 ms  ✓ LibGit2_jll
   3217.9 ms  ✓ ArgTools
    771.4 ms  ✓ LibCURL
    638.2 ms  ✓ Tar
   3012.0 ms  ✓ Dates
   3091.7 ms  ✓ LibGit2
    500.1 ms  ✓ TOML
   3013.7 ms  ✓ Downloads
   9542.9 ms  ✓ StyledStrings
   1713.1 ms  ✓ JuliaSyntaxHighlighting
   3951.7 ms  ✓ Markdown
  47898.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2482.5 ms  ✓ Future
   2465.7 ms  ✓ DataValueInterfaces
   2497.0 ms  ✓ IteratorInterfaceExtensions
   2583.7 ms  ✓ LaTeXStrings
   2591.3 ms  ✓ OpenLibm_jll
   2672.3 ms  ✓ Reexport
   2861.3 ms  ✓ ExprTools
   3037.3 ms  ✓ EnumX
   3449.3 ms  ✓ SuiteSparse_jll
   3481.8 ms  ✓ InverseFunctions
   3592.4 ms  ✓ Statistics
   4042.2 ms  ✓ DocStringExtensions
   4084.5 ms  ✓ Serialization
   2706.4 ms  ✓ CompositionsBase
   2781.4 ms  ✓ Adapt
   2692.4 ms  ✓ DataAPI
   2437.3 ms  ✓ FastClosures
   2713.8 ms  ✓ StaticArraysCore
   3796.6 ms  ✓ EnzymeCore
   3593.0 ms  ✓ LoggingExtras
   3699.4 ms  ✓ Preferences
   2393.2 ms  ✓ TableTraits
   5134.6 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2402.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   9867.1 ms  ✓ OrderedCollections
   2393.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5410.7 ms  ✓ LazyArtifacts
   3401.7 ms  ✓ JLLWrappers
   2677.0 ms  ✓ DiffResults
  11701.6 ms  ✓ FunctionWrappers
   3193.1 ms  ✓ GPUArraysCore
   2700.1 ms  ✓ EnzymeCore → AdaptExt
  10100.6 ms  ✓ ConstructionBase
   2512.4 ms  ✓ PrecompileTools
   9691.7 ms  ✓ NaNMath
  10394.2 ms  ✓ Compat
   3005.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   4098.1 ms  ✓ OpenSpecFun_jll
  13815.5 ms  ✓ Crayons
  14204.4 ms  ✓ IrrationalConstants
   6618.8 ms  ✓ IntelOpenMP_jll
   5391.6 ms  ✓ MuladdMacro
  14103.4 ms  ✓ InteractiveUtils
   2906.2 ms  ✓ CommonSolve
  18678.6 ms  ✓ MacroTools
   7495.5 ms  ✓ oneTBB_jll
   3709.8 ms  ✓ FastPower
   9796.5 ms  ✓ ArrayInterface
   5401.0 ms  ✓ ADTypes
   3102.4 ms  ✓ SciMLPublic
   2408.2 ms  ✓ Compat → CompatLinearAlgebraExt
   4499.9 ms  ✓ SciMLLogging
   3516.2 ms  ✓ LogExpFunctions
  17785.8 ms  ✓ Distributed
  13488.2 ms  ✓ Tables
   3890.6 ms  ✓ CommonSubexpressions
  12693.8 ms  ✓ ConcreteStructs
   7278.5 ms  ✓ BinaryHeaps
  10309.5 ms  ✓ RecipesBase
   4099.0 ms  ✓ TruncatedStacktraces
   2502.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2090.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   6475.2 ms  ✓ Setfield
   2512.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   3000.0 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   7788.4 ms  ✓ MKL_jll
  24699.3 ms  ✓ SparseArrays
   8507.2 ms  ✓ MaybeInplace
   7977.5 ms  ✓ FastBroadcast
   3888.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3236.4 ms  ✓ Statistics → SparseArraysExt
  17394.5 ms  ✓ RuntimeGeneratedFunctions
  20402.1 ms  ✓ StringManipulation
   8641.2 ms  ✓ PreallocationTools
   4767.9 ms  ✓ FiniteDiff
  11243.6 ms  ✓ SciMLStructures
  18705.6 ms  ✓ FindFirstFunctions
   3596.3 ms  ✓ Adapt → AdaptSparseArraysExt
   5567.6 ms  ✓ AMD
  12279.4 ms  ✓ DifferentiationInterface
   2890.4 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   3337.9 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3009.6 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
  12397.7 ms  ✓ FunctionWrappersWrappers
   3612.9 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2204.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
  18478.6 ms  ✓ Accessors
   2430.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   3003.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   1308.6 ms  ✓ Accessors → LinearAlgebraExt
  12708.6 ms  ✓ SpecialFunctions
   4612.3 ms  ✓ RespecializeParams
   1786.3 ms  ✓ DiffRules
   5414.5 ms  ✓ SymbolicIndexingInterface
  16008.8 ms  ✓ SciMLOperators
  21610.1 ms  ✓ SparseMatrixColorings
  25800.3 ms  ✓ Krylov
  22510.3 ms  ✓ SparseColumnPivotedQR
  14126.6 ms  ✓ ForwardDiff
   1615.5 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1804.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   1416.3 ms  ✓ SparseColumnPivotedQR → SparseColumnPivotedQRAMDExt
   1005.2 ms  ✓ FastPower → FastPowerForwardDiffExt
   1893.7 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  14998.0 ms  ✓ RecursiveArrayTools
   3906.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   1291.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   1302.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
   1305.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1393.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1498.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  55232.7 ms  ✓ LHLFactorization
  47126.5 ms  ✓ PureKLU
  20075.3 ms  ✓ SciMLBase
    716.7 ms  ✓ PureKLU → PureKLUForwardDiffExt
    828.4 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1198.8 ms  ✓ LHLFactorization → LHLFactorizationSparseExt
   2047.9 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   5581.8 ms  ✓ SciMLJacobianOperators
  76849.4 ms  ✓ REPL
   8869.6 ms  ✓ LineSearch
   5089.1 ms  ✓ Pkg → REPLExt
  24810.9 ms  ✓ LinearSolve
   1916.6 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2131.9 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  20652.7 ms  ✓ PrettyTables
    656.8 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   4189.0 ms  ✓ TimerOutputs
   5880.8 ms  ✓ NonlinearSolveBase
   1366.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1674.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1716.4 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2166.0 ms  ✓ BracketingNonlinearSolve
   3329.0 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   1295.0 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   5750.5 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   5535.3 ms  ✓ DiffEqBase
