Precompiling Pkg...
    978.7 ms  ✓ Unicode
    982.7 ms  ✓ nghttp2_jll
   1059.2 ms  ✓ Logging
   1059.7 ms  ✓ p7zip_jll
   1063.7 ms  ✓ MbedTLS_jll
   1067.2 ms  ✓ MozillaCACerts_jll
   1111.0 ms  ✓ NetworkOptions
   1095.6 ms  ✓ UUIDs
   1168.6 ms  ✓ Zlib_jll
   1215.5 ms  ✓ Base64
    359.9 ms  ✓ LibSSH2_jll
    490.0 ms  ✓ Printf
    363.8 ms  ✓ LibCURL_jll
    365.3 ms  ✓ LibGit2_jll
   2054.2 ms  ✓ ArgTools
    598.2 ms  ✓ LibCURL
    543.5 ms  ✓ Tar
   1989.5 ms  ✓ Dates
   2712.6 ms  ✓ Markdown
   2196.7 ms  ✓ LibGit2
    622.5 ms  ✓ TOML
   2731.4 ms  ✓ Downloads
  38236.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1854.0 ms  ✓ IteratorInterfaceExtensions
   1960.1 ms  ✓ SimpleUnPack
   1973.5 ms  ✓ ConcreteStructs
   2050.3 ms  ✓ UnPack
   2065.7 ms  ✓ Future
   2073.9 ms  ✓ MuladdMacro
   2150.3 ms  ✓ ExprTools
   2154.6 ms  ✓ CommonSolve
   2258.3 ms  ✓ OpenLibm_jll
   2359.1 ms  ✓ InverseFunctions
   2956.7 ms  ✓ Statistics
   3465.3 ms  ✓ Serialization
   3563.3 ms  ✓ ADTypes
   3980.5 ms  ✓ FunctionWrappers
   1903.3 ms  ✓ DataValueInterfaces
   1995.4 ms  ✓ Reexport
   2217.2 ms  ✓ ManualMemory
   2395.9 ms  ✓ SuiteSparse_jll
   2506.1 ms  ✓ CompilerSupportLibraries_jll
   2186.0 ms  ✓ EnumX
   2003.2 ms  ✓ SIMDTypes
   4771.0 ms  ✓ FillArrays
   2801.0 ms  ✓ OrderedCollections
   2887.6 ms  ✓ Requires
   5249.8 ms  ✓ OffsetArrays
   2103.4 ms  ✓ CompositionsBase
   2395.9 ms  ✓ Mmap
   2172.9 ms  ✓ FastPower
   1912.4 ms  ✓ IfElse
   1909.4 ms  ✓ CommonWorldInvalidations
   2196.3 ms  ✓ DataAPI
   1884.9 ms  ✓ FastClosures
   2508.0 ms  ✓ Inflate
   2002.5 ms  ✓ PackageExtensionCompat
   2516.3 ms  ✓ ConstructionBase
   2111.6 ms  ✓ StaticArraysCore
   3696.0 ms  ✓ EnzymeCore
   5601.1 ms  ✓ IrrationalConstants
   1881.4 ms  ✓ TableTraits
   2787.6 ms  ✓ Compat
   3216.1 ms  ✓ CpuId
   2891.2 ms  ✓ NaNMath
   3304.0 ms  ✓ DocStringExtensions
   3807.6 ms  ✓ Preferences
   2705.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4793.6 ms  ✓ GenericSchur
   2299.6 ms  ✓ RuntimeGeneratedFunctions
   6191.9 ms  ✓ FastLapackInterface
   2202.9 ms  ✓ FunctionWrappersWrappers
   2278.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   5606.4 ms  ✓ LazyArtifacts
   6886.1 ms  ✓ InteractiveUtils
   2298.0 ms  ✓ Adapt
   4199.5 ms  ✓ DifferentiationInterface
