nice: cannot set niceness: Permission denied
Precompiling packages...
    390.6 ms  ✓ DataValueInterfaces
    402.3 ms  ✓ Reexport
    535.0 ms  ✓ ConstructionBase
    422.9 ms  ✓ CommonSolve
    436.3 ms  ✓ LaTeXStrings
    573.9 ms  ✓ Statistics
   1320.0 ms  ✓ IrrationalConstants
    541.5 ms  ✓ StaticArraysCore
    872.4 ms  ✓ SuiteSparse_jll
    487.3 ms  ✓ BinaryHeaps
    725.8 ms  ✓ EnzymeCore
    844.1 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
    496.1 ms  ✓ Adapt
    470.9 ms  ✓ DataAPI
    444.4 ms  ✓ SciMLPublic
    443.3 ms  ✓ Future
    447.9 ms  ✓ FastPower
    435.9 ms  ✓ CompositionsBase
    525.0 ms  ✓ InverseFunctions
    461.3 ms  ✓ EnumX
    492.7 ms  ✓ ExprTools
    458.5 ms  ✓ ConcreteStructs
    666.0 ms  ✓ OpenLibm_jll
    628.2 ms  ✓ OrderedCollections
    673.1 ms  ✓ ADTypes
    656.4 ms  ✓ Serialization
    641.3 ms  ✓ DocStringExtensions
    459.4 ms  ✓ IteratorInterfaceExtensions
    503.3 ms  ✓ FastClosures
    758.9 ms  ✓ LoggingExtras
   5516.9 ms  ✓ MacroTools
    637.4 ms  ✓ Compat
   1420.2 ms  ✓ InteractiveUtils
    434.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2339.0 ms  ✓ Crayons
    572.4 ms  ✓ DiffResults
   1069.3 ms  ✓ LazyArtifacts
   3797.0 ms  ✓ FunctionWrappers
    438.4 ms  ✓ EnzymeCore → AdaptExt
    632.1 ms  ✓ ArrayInterface
    593.3 ms  ✓ GPUArraysCore
    549.3 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    452.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2295.4 ms  ✓ Preferences
    455.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    566.6 ms  ✓ NaNMath
    409.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
    472.5 ms  ✓ RuntimeGeneratedFunctions
   1053.6 ms  ✓ DifferentiationInterface
    393.9 ms  ✓ TableTraits
    639.7 ms  ✓ LogExpFunctions
    573.6 ms  ✓ CommonSubexpressions
    446.3 ms  ✓ Compat → CompatLinearAlgebraExt
    562.4 ms  ✓ FastBroadcast
    463.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2582.1 ms  ✓ Distributed
   1461.5 ms  ✓ Setfield
    448.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    760.5 ms  ✓ MaybeInplace
    730.2 ms  ✓ PrecompileTools
    857.1 ms  ✓ JLLWrappers
   4422.2 ms  ✓ SparseArrays
    897.1 ms  ✓ SciMLLogging
    839.7 ms  ✓ TruncatedStacktraces
    425.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    457.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2716.0 ms  ✓ Accessors
    942.5 ms  ✓ Tables
    792.8 ms  ✓ FiniteDiff
   2384.4 ms  ✓ RecipesBase
   2781.5 ms  ✓ FindFirstFunctions
   1013.3 ms  ✓ SciMLStructures
   4147.9 ms  ✓ MuladdMacro
   5211.4 ms  ✓ StringManipulation
   1044.4 ms  ✓ OpenSpecFun_jll
   1798.8 ms  ✓ PreallocationTools
   1269.7 ms  ✓ IntelOpenMP_jll
    776.8 ms  ✓ AMD
   1392.0 ms  ✓ oneTBB_jll
   4431.0 ms  ✓ FunctionWrappersWrappers
    711.6 ms  ✓ Statistics → SparseArraysExt
    642.6 ms  ✓ Adapt → AdaptSparseArraysExt
    589.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    595.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    655.9 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   6701.4 ms  ✓ Krylov
    616.8 ms  ✓ Accessors → LinearAlgebraExt
    745.5 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    736.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   8883.5 ms  ✓ SparseMatrixColorings
    676.9 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   3391.9 ms  ✓ SpecialFunctions
   1684.7 ms  ✓ MKL_jll
    700.7 ms  ✓ RespecializeParams
  12459.1 ms  ✓ SparseColumnPivotedQR
   1250.8 ms  ✓ SymbolicIndexingInterface
    937.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
    641.7 ms  ✓ DiffRules
   1997.5 ms  ✓ SciMLOperators
    726.0 ms  ✓ SparseColumnPivotedQR → SparseColumnPivotedQRAMDExt
    729.9 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3584.8 ms  ✓ ForwardDiff
    714.7 ms  ✓ FastPower → FastPowerForwardDiffExt
    882.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   4704.6 ms  ✓ RecursiveArrayTools
    627.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsTablesExt
    786.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1519.7 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    642.2 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
    632.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    605.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   7885.1 ms  ✓ SciMLBase
    821.4 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1182.7 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   2491.5 ms  ✓ SciMLJacobianOperators
  33428.9 ms  ✓ PureKLU
    787.8 ms  ✓ PureKLU → PureKLUForwardDiffExt
   4453.3 ms  ✓ LineSearch
  10673.1 ms  ✓ LinearSolve
   2556.8 ms  ✓ LinearSolve → LinearSolveForwardDiffExt
  60815.5 ms  ✓ REPL
   5574.4 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   1643.5 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   8185.1 ms  ✓ Pkg → REPLExt
  22669.7 ms  ✓ PrettyTables
    702.1 ms  ✓ SymbolicIndexingInterface → SymbolicIndexingInterfacePrettyTablesExt
   5537.2 ms  ✓ TimerOutputs
   5292.4 ms  ✓ NonlinearSolveBase
    872.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLineSearchExt
   1097.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseMatrixColoringsExt
   1307.7 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   1718.2 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseLinearSolveExt
   2783.5 ms  ✓ BracketingNonlinearSolve
   1150.1 ms  ✓ BracketingNonlinearSolve → BracketingNonlinearSolveForwardDiffExt
   5663.8 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseForwardDiffExt
   3324.5 ms  ✓ DiffEqBase
   1121.8 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   4802.6 ms  ✓ DiffEqBase → DiffEqBaseForwardDiffExt
  13701.5 ms  ✓ NonlinearSolveSpectralMethods
   1377.3 ms  ✓ NonlinearSolveSpectralMethods → NonlinearSolveSpectralMethodsForwardDiffExt
   4106.3 ms  ✓ OrdinaryDiffEqCore
  11813.5 ms  ✓ SimpleNonlinearSolve
   1364.2 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
   4312.6 ms  ✓ OrdinaryDiffEqDifferentiation
   2449.0 ms  ✓ OrdinaryDiffEqDifferentiation → OrdinaryDiffEqDifferentiationSparseArraysExt
  23907.7 ms  ✓ NonlinearSolveQuasiNewton
   1996.3 ms  ✓ NonlinearSolveQuasiNewton → NonlinearSolveQuasiNewtonForwardDiffExt
  12789.7 ms  ✓ OrdinaryDiffEqTsit5
  29933.0 ms  ✓ OrdinaryDiffEqVerner
  43473.7 ms  ✓ NonlinearSolveFirstOrder
  36170.3 ms  ✓ OrdinaryDiffEqRosenbrock
  49453.7 ms  ✓ NonlinearSolve
   3385.8 ms  ✓ OrdinaryDiffEqNonlinearSolve
  41958.1 ms  ✓ OrdinaryDiffEqSDIRK
  15399.6 ms  ✓ OrdinaryDiffEqBDF
  72600.5 ms  ✓ OrdinaryDiffEqDefault
   2835.3 ms  ✓ OrdinaryDiffEq
  157 dependencies successfully precompiled in 338 seconds. 27 already precompiled.
	Command being timed: "nice -n -10 timeout -k120 -v 3600 julia +alpha --project=O/OrdinaryDiffEq/Solve-The-Lorenz-Equation -e using Pkg; @time @eval Pkg.precompile()"
	User time (seconds): 931.09
	System time (seconds): 42.21
	Percent of CPU this job got: 226%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 7:10.35
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 2702540
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 1076
	Minor (reclaiming a frame) page faults: 15897287
	Voluntary context switches: 34206
	Involuntary context switches: 17328
	Swaps: 0
	File system inputs: 0
	File system outputs: 1929688
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
