Precompiling Pkg...
   1126.4 ms  ✓ p7zip_jll
   1129.7 ms  ✓ Logging
   1163.3 ms  ✓ NetworkOptions
   1134.7 ms  ✓ MozillaCACerts_jll
   1145.2 ms  ✓ UUIDs
   1164.8 ms  ✓ Unicode
   1185.3 ms  ✓ nghttp2_jll
   1224.7 ms  ✓ Zlib_jll
   1228.4 ms  ✓ MbedTLS_jll
   1266.0 ms  ✓ Base64
    319.3 ms  ✓ LibSSH2_jll
    437.1 ms  ✓ Printf
    432.6 ms  ✓ LibCURL_jll
   1996.0 ms  ✓ ArgTools
    474.9 ms  ✓ LibGit2_jll
    577.8 ms  ✓ LibCURL
    577.5 ms  ✓ Tar
   2481.9 ms  ✓ Dates
   2825.5 ms  ✓ Markdown
   2267.9 ms  ✓ LibGit2
    355.9 ms  ✓ TOML
   2909.8 ms  ✓ Downloads
  39048.9 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1813.7 ms  ✓ ConcreteStructs
   1807.2 ms  ✓ UnPack
   1820.1 ms  ✓ IteratorInterfaceExtensions
   1827.8 ms  ✓ MuladdMacro
   1834.6 ms  ✓ SimpleUnPack
   1915.4 ms  ✓ LaTeXStrings
   1924.4 ms  ✓ Future
   2034.4 ms  ✓ ExprTools
   2297.9 ms  ✓ OpenLibm_jll
   2688.1 ms  ✓ InverseFunctions
   3107.7 ms  ✓ ADTypes
   3207.6 ms  ✓ Statistics
   3417.6 ms  ✓ FunctionWrappers
   1701.7 ms  ✓ CommonSolve
   3700.7 ms  ✓ Serialization
   2083.7 ms  ✓ ManualMemory
   1879.2 ms  ✓ DataValueInterfaces
   2413.0 ms  ✓ CompilerSupportLibraries_jll
   2494.7 ms  ✓ SuiteSparse_jll
   2497.6 ms  ✓ Requires
   1911.1 ms  ✓ Reexport
   2415.4 ms  ✓ EnumX
   2904.0 ms  ✓ OrderedCollections
   4821.7 ms  ✓ FillArrays
   1805.8 ms  ✓ SIMDTypes
   1708.5 ms  ✓ FastPower
   2116.8 ms  ✓ CompositionsBase
   2323.1 ms  ✓ Mmap
   1609.1 ms  ✓ IfElse
