nice: cannot set niceness: Permission denied
Precompiling packages...
   1965.4 ms  ✓ CommonSolve
   1994.4 ms  ✓ Reexport
   2080.7 ms  ✓ MuladdMacro
   2076.2 ms  ✓ OpenLibm_jll
   2077.6 ms  ✓ EnumX
   2186.6 ms  ✓ ConcreteStructs
   2161.3 ms  ✓ Adapt
   2277.6 ms  ✓ ExprTools
   2387.4 ms  ✓ InverseFunctions
   2369.8 ms  ✓ ConstructionBase
   3047.1 ms  ✓ Compat
   3072.5 ms  ✓ DocStringExtensions
   3281.9 ms  ✓ OrderedCollections
   3480.6 ms  ✓ EnzymeCore
   3789.3 ms  ✓ FunctionWrappers
   1900.3 ms  ✓ IteratorInterfaceExtensions
   1921.5 ms  ✓ FastClosures
   1992.4 ms  ✓ CompositionsBase
   2196.3 ms  ✓ CompilerSupportLibraries_jll
   2219.4 ms  ✓ NaNMath
   2311.5 ms  ✓ SuiteSparse_jll
   2498.8 ms  ✓ LoggingExtras
   2003.1 ms  ✓ SciMLPublic
   1900.6 ms  ✓ FastPower
   1591.4 ms  ✓ LazyArtifacts
   3191.6 ms  ✓ ADTypes
   2315.5 ms  ✓ StaticArraysCore
   3001.2 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   5960.9 ms  ✓ IrrationalConstants
   2393.9 ms  ✓ ArrayInterface
   2207.8 ms  ✓ GPUArraysCore
   2281.4 ms  ✓ RuntimeGeneratedFunctions
   2180.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   1790.6 ms  ✓ Compat → CompatLinearAlgebraExt
   2194.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   3317.8 ms  ✓ Preferences
   2201.9 ms  ✓ EnzymeCore → AdaptExt
   2194.4 ms  ✓ CommonSolve → CommonSolveEnzymeCoreExt
   2479.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1891.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1977.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1925.7 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2303.1 ms  ✓ DiffResults
   1888.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2105.0 ms  ✓ FastBroadcast
   7116.0 ms  ✓ Distributed
   1567.3 ms  ✓ PrecompileTools
   1699.2 ms  ✓ JLLWrappers
   2901.3 ms  ✓ LogExpFunctions
   2417.7 ms  ✓ SciMLLogging
   4604.9 ms  ✓ DifferentiationInterface
   8616.7 ms  ✓ MacroTools
   7080.2 ms  ✓ TimerOutputs
   2528.6 ms  ✓ SciMLStructures
   2380.4 ms  ✓ OpenSpecFun_jll
   2322.0 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2511.8 ms  ✓ IntelOpenMP_jll
   6617.1 ms  ✓ DataStructures
