nice: cannot set niceness: Permission denied
Precompiling packages...
   1942.2 ms  ✓ LazyArtifacts
   1984.0 ms  ✓ CommonSolve
   2017.3 ms  ✓ IteratorInterfaceExtensions
   2011.6 ms  ✓ OpenLibm_jll
   2042.5 ms  ✓ ConcreteStructs
   2085.5 ms  ✓ CompilerSupportLibraries_jll
   2131.3 ms  ✓ MuladdMacro
   2216.3 ms  ✓ ExprTools
   2523.3 ms  ✓ InverseFunctions
   2698.3 ms  ✓ SuiteSparse_jll
   3313.3 ms  ✓ ADTypes
   1616.4 ms  ✓ Reexport
   1901.2 ms  ✓ ManualMemory
   1606.2 ms  ✓ SIMDTypes
   4287.8 ms  ✓ FunctionWrappers
   2109.3 ms  ✓ EnumX
   4310.9 ms  ✓ FillArrays
   2218.2 ms  ✓ Requires
   2499.4 ms  ✓ Compat
   4633.2 ms  ✓ GenericSchur
   2794.7 ms  ✓ OrderedCollections
   3211.8 ms  ✓ Preferences
   2791.6 ms  ✓ DocStringExtensions
   1895.0 ms  ✓ FastPower
   2111.4 ms  ✓ CompositionsBase
   1788.0 ms  ✓ IfElse
   1985.2 ms  ✓ CommonWorldInvalidations
   1903.6 ms  ✓ FastClosures
   2404.7 ms  ✓ ConstructionBase
   2189.3 ms  ✓ SciMLPublic
   2475.3 ms  ✓ LoggingExtras
   2187.7 ms  ✓ StaticArraysCore
   3300.5 ms  ✓ EnzymeCore
   3385.0 ms  ✓ CpuId
   7841.1 ms  ✓ ExproniconLite
   2388.1 ms  ✓ NaNMath
   2016.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2224.3 ms  ✓ RuntimeGeneratedFunctions
   8097.4 ms  ✓ Distributed
   5117.4 ms  ✓ IrrationalConstants
   2004.2 ms  ✓ Adapt
   1995.6 ms  ✓ Compat → CompatLinearAlgebraExt
   1910.0 ms  ✓ PrecompileTools
   2185.6 ms  ✓ JLLWrappers
   1708.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2196.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2374.3 ms  ✓ SciMLLogging
   2506.6 ms  ✓ DiffResults
   2405.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4310.5 ms  ✓ ThreadingUtilities
   4992.5 ms  ✓ DifferentiationInterface
   9723.2 ms  ✓ MacroTools
   2484.7 ms  ✓ IntelOpenMP_jll
   2689.5 ms  ✓ GPUArraysCore
   3219.1 ms  ✓ LogExpFunctions
   3086.1 ms  ✓ ArrayInterface
   7388.3 ms  ✓ TimerOutputs
   2000.4 ms  ✓ EnzymeCore → AdaptExt
   2792.2 ms  ✓ oneTBB_jll
   2891.5 ms  ✓ OpenSpecFun_jll
   3283.6 ms  ✓ Static
   2295.8 ms  ✓ TruncatedStacktraces
   6703.1 ms  ✓ DataStructures
   2194.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2698.9 ms  ✓ CommonSubexpressions
   2301.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2097.8 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2094.8 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2484.7 ms  ✓ FastBroadcast
   7279.7 ms  ✓ Jieko
   3099.3 ms  ✓ MaybeInplace
   6219.0 ms  ✓ RecipesBase
   2788.6 ms  ✓ SciMLStructures
   4627.4 ms  ✓ Setfield
   2335.2 ms  ✓ MKL_jll
