nice: cannot set niceness: Permission denied
Precompiling packages...
   2017.4 ms  ✓ ConcreteStructs
   2024.0 ms  ✓ IteratorInterfaceExtensions
   2023.2 ms  ✓ LazyArtifacts
   2018.1 ms  ✓ OpenLibm_jll
   2114.8 ms  ✓ ExprTools
   2117.0 ms  ✓ MuladdMacro
   2162.6 ms  ✓ CompilerSupportLibraries_jll
   2265.0 ms  ✓ CommonSolve
   2290.1 ms  ✓ InverseFunctions
   2297.9 ms  ✓ SuiteSparse_jll
   3221.5 ms  ✓ ADTypes
   4057.5 ms  ✓ FunctionWrappers
   1726.2 ms  ✓ Reexport
   1985.2 ms  ✓ RuntimeGeneratedFunctions
   4111.6 ms  ✓ FillArrays
   2098.7 ms  ✓ ManualMemory
   2015.5 ms  ✓ EnumX
   2006.4 ms  ✓ SIMDTypes
   4693.6 ms  ✓ GenericSchur
   2628.0 ms  ✓ Compat
   2887.8 ms  ✓ OrderedCollections
   2999.6 ms  ✓ Preferences
   2682.0 ms  ✓ DocStringExtensions
   1783.9 ms  ✓ IfElse
   2010.9 ms  ✓ CompositionsBase
   1999.8 ms  ✓ FastPower
   2087.9 ms  ✓ CommonWorldInvalidations
   2208.5 ms  ✓ ConstructionBase
   1992.8 ms  ✓ FastClosures
   1796.1 ms  ✓ SciMLPublic
   2721.3 ms  ✓ CpuId
   3201.4 ms  ✓ EnzymeCore
   2344.0 ms  ✓ StaticArraysCore
   2718.3 ms  ✓ LoggingExtras
   2722.3 ms  ✓ JLLWrappers
   8018.9 ms  ✓ ExproniconLite
   2083.0 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   8314.6 ms  ✓ Distributed
   2643.0 ms  ✓ Requires
   5596.5 ms  ✓ IrrationalConstants
   2103.3 ms  ✓ Compat → CompatLinearAlgebraExt
   2000.9 ms  ✓ PrecompileTools
   2020.7 ms  ✓ NaNMath
   2385.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2197.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2109.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2191.1 ms  ✓ DiffResults
   4007.7 ms  ✓ ThreadingUtilities
   8891.3 ms  ✓ MacroTools
   4491.8 ms  ✓ DifferentiationInterface
   2385.0 ms  ✓ SciMLLogging
   2299.9 ms  ✓ IntelOpenMP_jll
   2719.4 ms  ✓ oneTBB_jll
   2464.4 ms  ✓ OpenSpecFun_jll
   2505.3 ms  ✓ Adapt
   2983.3 ms  ✓ LogExpFunctions
   2288.4 ms  ✓ CommonSubexpressions
   2491.3 ms  ✓ TruncatedStacktraces
   6992.0 ms  ✓ DataStructures
   3196.6 ms  ✓ Static
   8094.2 ms  ✓ TimerOutputs
   2594.7 ms  ✓ MKL_jll
   2012.1 ms  ✓ EnzymeCore → AdaptExt
   2695.6 ms  ✓ ArrayInterface
   2709.8 ms  ✓ GPUArraysCore
   2007.5 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   1870.0 ms  ✓ BitTwiddlingConvenienceFunctions
   4912.8 ms  ✓ Setfield
   6888.3 ms  ✓ Jieko
   5895.3 ms  ✓ RecipesBase
   2909.2 ms  ✓ FunctionWrappersWrappers
   2085.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2395.5 ms  ✓ FastBroadcast
   1607.4 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2791.0 ms  ✓ MaybeInplace
   3912.2 ms  ✓ CPUSummary
   1607.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2889.0 ms  ✓ SciMLStructures
   7308.6 ms  ✓ Accessors
   1215.8 ms  ✓ FastBroadcast → FastBroadcastStaticExt
  12502.1 ms  ✓ SparseArrays
   1817.7 ms  ✓ FiniteDiff
ADTypesConstructionBaseExt Waiting for background task / IO / timer.
[pid 1646103] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x93f8300->0x7877977d5720
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   1607.0 ms  ✓ PolyesterWeave
   4709.0 ms  ✓ StaticArrayInterface
   4037.5 ms  ✓ PreallocationTools
   1890.1 ms  ✓ Accessors → LinearAlgebraExt
   2301.6 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2304.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2304.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2363.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   1808.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2716.3 ms  ✓ Statistics
   1812.6 ms  ✓ CloseOpenIntervals
   1804.1 ms  ✓ LayoutPointers
   8909.1 ms  ✓ SpecialFunctions
   1204.8 ms  ✓ FillArrays → FillArraysStatisticsExt
   1202.2 ms  ✓ DiffRules
   1705.8 ms  ✓ StrideArraysCore
   2625.5 ms  ✓ SymbolicIndexingInterface
   3201.2 ms  ✓ SciMLOperators
   1406.1 ms  ✓ Polyester
   1116.1 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1596.7 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
    891.3 ms  ✓ FastBroadcast → FastBroadcastPolyesterExt
  17906.9 ms  ✓ StaticArrays
  22283.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2375.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2569.1 ms  ✓ Adapt → AdaptStaticArraysExt
   2577.3 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2781.8 ms  ✓ FillArrays → FillArraysStaticArraysExt
   7584.7 ms  ✓ ForwardDiff
MaybeInplaceSparseArraysExt Waiting for background task / IO / timer.
[pid 1647087] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x25b7fd20->0x78d8096285b0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
FiniteDiffSparseArraysExt Waiting for background task / IO / timer.
[pid 1647125] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x1a32ac80->0x75c86e575960
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   3244.4 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3670.8 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   2921.1 ms  ✓ NLSolversBase
   3604.1 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   3692.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   4897.1 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   4206.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
  11583.6 ms  ✓ RecursiveArrayTools
   3080.5 ms  ✓ LineSearches
  18014.2 ms  ✓ SparseMatrixColorings
   5931.5 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  18625.1 ms  ✓ Krylov
   2050.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2092.4 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
  21127.5 ms  ✓ Moshi
   7154.3 ms  ✓ FastGaussQuadrature
   2240.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    964.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
    652.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastPolyesterExt
StaticArraysExt Waiting for background task / IO / timer.
[pid 1647570] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x2a0abb10->0x79aa10071f60
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  22051.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
  21820.8 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
RecursiveArrayToolsStatisticsExt Waiting for background task / IO / timer.
[pid 1647885] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x329f8820->0x7505f0171f60
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  22064.6 ms  ✓ Accessors → StaticArraysExt
  29947.8 ms  ✓ ExponentialUtilities
    985.9 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  22118.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   7240.8 ms  ✓ SciMLBase
    858.9 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1054.4 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1838.1 ms  ✓ SciMLJacobianOperators
   3071.1 ms  ✓ LineSearch
   1535.6 ms  ✓ LineSearch → LineSearchLineSearchesExt
   5225.3 ms  ✓ NonlinearSolveBase
   8765.2 ms  ✓ LinearSolve
   1376.1 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2554.0 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   2957.2 ms  ✓ BracketingNonlinearSolve
   1099.9 ms  ✓ LinearSolve → LinearSolveEnzymeExt
   2278.3 ms  ✓ DiffEqBase
    885.7 ms  ✓ DiffEqBase → DiffEqBaseSparseArraysExt
   2518.2 ms  ✓ OrdinaryDiffEqCore
    985.8 ms  ✓ OrdinaryDiffEqCore → OrdinaryDiffEqCoreSparseArraysExt
NonlinearSolveBaseSparseMatrixColoringsExt Waiting for background task / IO / timer.
[pid 1648391] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x1698bd0->0x723219683670
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
NonlinearSolveBaseLineSearchExt Waiting for background task / IO / timer.
[pid 1648397] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0xa680a40->0x75d1ae56e290
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
NonlinearSolveBaseLinearSolveExt Waiting for background task / IO / timer.
[pid 1648424] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x26b03f0->0x74a2a804ab00
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
LinearSolveForwardDiffExt Waiting for background task / IO / timer.
[pid 1648421] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x316420d0->0x709aaa2f45e0
