nice: cannot set niceness: Permission denied
Precompiling packages...
   2012.6 ms  ✓ ConcreteStructs
   2015.4 ms  ✓ Reexport
   2025.1 ms  ✓ EnumX
   2026.4 ms  ✓ DataValueInterfaces
   2095.1 ms  ✓ CommonSolve
   2104.2 ms  ✓ ExprTools
   2130.3 ms  ✓ OpenLibm_jll
   2221.7 ms  ✓ LaTeXStrings
   2491.9 ms  ✓ InverseFunctions
   2611.8 ms  ✓ DocStringExtensions
   2729.0 ms  ✓ OrderedCollections
   2897.2 ms  ✓ Compat
   3305.8 ms  ✓ EnzymeCore
   3722.4 ms  ✓ FunctionWrappers
   1899.1 ms  ✓ IteratorInterfaceExtensions
   1988.9 ms  ✓ DataAPI
   1800.6 ms  ✓ FastClosures
   2094.1 ms  ✓ Adapt
   1728.0 ms  ✓ LazyArtifacts
   2208.4 ms  ✓ ConstructionBase
   2203.4 ms  ✓ CompilerSupportLibraries_jll
   1765.9 ms  ✓ CompositionsBase
   2180.2 ms  ✓ SuiteSparse_jll
   5602.8 ms  ✓ IrrationalConstants
   2418.3 ms  ✓ LoggingExtras
   1896.0 ms  ✓ SciMLPublic
   2097.6 ms  ✓ BinaryHeaps
   2005.4 ms  ✓ FastPower
   2296.0 ms  ✓ StaticArraysCore
   2187.0 ms  ✓ RuntimeGeneratedFunctions
   3007.2 ms  ✓ ADTypes
   2535.0 ms  ✓ NaNMath
   2317.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3066.8 ms  ✓ Preferences
   3369.2 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   1967.6 ms  ✓ TableTraits
   2268.5 ms  ✓ Compat → CompatLinearAlgebraExt
   6067.4 ms  ✓ Crayons
   2181.6 ms  ✓ EnzymeCore → AdaptExt
   2205.7 ms  ✓ GPUArraysCore
   2178.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2606.2 ms  ✓ ArrayInterface
   2106.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2196.9 ms  ✓ PrecompileTools
   2396.0 ms  ✓ DiffResults
   2027.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   8161.4 ms  ✓ Distributed
   2427.9 ms  ✓ JLLWrappers
   1967.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   1999.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   3493.0 ms  ✓ LogExpFunctions
   2600.0 ms  ✓ SciMLLogging
   2912.4 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2875.8 ms  ✓ FastBroadcast
   3505.0 ms  ✓ Tables
   4803.8 ms  ✓ DifferentiationInterface
   9320.4 ms  ✓ MacroTools
   2469.6 ms  ✓ oneTBB_jll
   3522.1 ms  ✓ MuladdMacro
   2824.1 ms  ✓ SciMLStructures
   2529.5 ms  ✓ IntelOpenMP_jll
   3069.6 ms  ✓ FunctionWrappersWrappers
   1926.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
