nice: cannot set niceness: Permission denied
Precompiling packages...
   2025.7 ms  ✓ OpenLibm_jll
   2031.9 ms  ✓ Reexport
   2122.3 ms  ✓ ConcreteStructs
   2102.3 ms  ✓ CommonSolve
   2227.1 ms  ✓ EnumX
   2296.9 ms  ✓ IteratorInterfaceExtensions
   2374.0 ms  ✓ Adapt
   2527.8 ms  ✓ InverseFunctions
   2576.4 ms  ✓ ConstructionBase
   2723.0 ms  ✓ DocStringExtensions
   2812.4 ms  ✓ ExprTools
   2973.2 ms  ✓ Compat
   2898.4 ms  ✓ OrderedCollections
   3537.3 ms  ✓ FunctionWrappers
   3600.5 ms  ✓ EnzymeCore
   1877.0 ms  ✓ LazyArtifacts
   1980.9 ms  ✓ FastClosures
   2088.8 ms  ✓ CompilerSupportLibraries_jll
   1966.4 ms  ✓ CompositionsBase
   2301.0 ms  ✓ SuiteSparse_jll
   2192.1 ms  ✓ LoggingExtras
   2034.2 ms  ✓ BinaryHeaps
   2405.0 ms  ✓ SciMLPublic
   2472.9 ms  ✓ StaticArraysCore
   1781.0 ms  ✓ FastPower
   2928.2 ms  ✓ ADTypes
   5823.2 ms  ✓ IrrationalConstants
   3297.7 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   2030.2 ms  ✓ NaNMath
   2305.5 ms  ✓ GPUArraysCore
   1898.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2206.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2711.4 ms  ✓ ArrayInterface
   3523.3 ms  ✓ Preferences
   1992.0 ms  ✓ Compat → CompatLinearAlgebraExt
   2223.0 ms  ✓ RuntimeGeneratedFunctions
   2181.6 ms  ✓ EnzymeCore → AdaptExt
   2374.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2101.7 ms  ✓ DiffResults
   1968.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2026.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   1695.6 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2094.6 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1880.3 ms  ✓ PrecompileTools
   2631.0 ms  ✓ LogExpFunctions
   7132.1 ms  ✓ Distributed
   2021.2 ms  ✓ FastBroadcast
   1920.5 ms  ✓ JLLWrappers
   2608.5 ms  ✓ SciMLLogging
   4698.8 ms  ✓ DifferentiationInterface
   1734.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2007.9 ms  ✓ IntelOpenMP_jll
   2333.8 ms  ✓ SciMLStructures
   9097.8 ms  ✓ MacroTools
   6803.3 ms  ✓ TimerOutputs
   2512.3 ms  ✓ OpenSpecFun_jll
   2608.0 ms  ✓ oneTBB_jll
   3036.1 ms  ✓ MuladdMacro
   7021.0 ms  ✓ DataStructures
   1598.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1204.4 ms  ✓ TruncatedStacktraces
   1331.3 ms  ✓ CommonSubexpressions
   3898.9 ms  ✓ PreallocationTools
   1895.2 ms  ✓ MaybeInplace
   4305.6 ms  ✓ RecipesBase
   1383.8 ms  ✓ MKL_jll
