nice: cannot set niceness: Permission denied
Precompiling packages...
   1861.4 ms  ✓ CommonSolve
   1899.7 ms  ✓ LazyArtifacts
   1900.4 ms  ✓ IteratorInterfaceExtensions
   1978.8 ms  ✓ ConcreteStructs
   1980.0 ms  ✓ MuladdMacro
   1992.0 ms  ✓ OpenLibm_jll
   2094.6 ms  ✓ ExprTools
   2144.7 ms  ✓ CompilerSupportLibraries_jll
   2373.7 ms  ✓ SuiteSparse_jll
   2487.9 ms  ✓ InverseFunctions
   3190.5 ms  ✓ ADTypes
   3723.4 ms  ✓ FunctionWrappers
   1989.4 ms  ✓ ManualMemory
   1895.1 ms  ✓ EnumX
   1898.7 ms  ✓ Reexport
   1643.9 ms  ✓ SIMDTypes
   2294.8 ms  ✓ Requires
   4292.8 ms  ✓ FillArrays
   2708.3 ms  ✓ OrderedCollections
   2720.9 ms  ✓ Compat
   4986.6 ms  ✓ GenericSchur
   3048.3 ms  ✓ Preferences
   2702.1 ms  ✓ DocStringExtensions
   1898.0 ms  ✓ CompositionsBase
   1787.7 ms  ✓ FastPower
   1996.1 ms  ✓ IfElse
   1896.5 ms  ✓ CommonWorldInvalidations
   2193.5 ms  ✓ ConstructionBase
   1802.1 ms  ✓ FastClosures
   1892.2 ms  ✓ SciMLPublic
   3215.7 ms  ✓ EnzymeCore
   3408.3 ms  ✓ CpuId
   2502.6 ms  ✓ StaticArraysCore
   2802.9 ms  ✓ LoggingExtras
   2391.6 ms  ✓ NaNMath
   2007.9 ms  ✓ RuntimeGeneratedFunctions
   8150.0 ms  ✓ ExproniconLite
   8242.4 ms  ✓ Distributed
   2186.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2092.5 ms  ✓ FunctionWrappersWrappers
   5705.1 ms  ✓ IrrationalConstants
   1990.6 ms  ✓ Compat → CompatLinearAlgebraExt
   1917.5 ms  ✓ DiffResults
   2296.0 ms  ✓ Adapt
   2009.5 ms  ✓ PrecompileTools
   2104.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1933.5 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2406.7 ms  ✓ JLLWrappers
   4395.2 ms  ✓ ThreadingUtilities
   2395.3 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3014.4 ms  ✓ SciMLLogging
   5011.8 ms  ✓ DifferentiationInterface
   2690.5 ms  ✓ GPUArraysCore
  10488.4 ms  ✓ MacroTools
   2699.9 ms  ✓ EnzymeCore → AdaptExt
   2990.9 ms  ✓ ArrayInterface
   3299.6 ms  ✓ LogExpFunctions
   2608.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2689.3 ms  ✓ IntelOpenMP_jll
   8496.4 ms  ✓ TimerOutputs
   2206.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3183.4 ms  ✓ oneTBB_jll
   7500.0 ms  ✓ DataStructures
   2791.5 ms  ✓ OpenSpecFun_jll
   2608.6 ms  ✓ CommonSubexpressions
   4007.5 ms  ✓ Static
   2903.2 ms  ✓ TruncatedStacktraces
   2006.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   7704.6 ms  ✓ Jieko
   2090.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   7482.7 ms  ✓ ChainRulesCore
   6413.4 ms  ✓ RecipesBase
   2600.1 ms  ✓ SciMLStructures
   3211.5 ms  ✓ MaybeInplace
   2083.3 ms  ✓ BitTwiddlingConvenienceFunctions
   2308.8 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2387.5 ms  ✓ MKL_jll
   5212.2 ms  ✓ Setfield
   3495.2 ms  ✓ PreallocationTools
   1424.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   1500.8 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   2993.0 ms  ✓ CPUSummary
  13310.3 ms  ✓ SparseArrays
   3595.6 ms  ✓ StaticArrayInterface
   1782.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2189.7 ms  ✓ FiniteDiff
   7549.1 ms  ✓ Accessors
   4306.3 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   2481.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2484.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2811.4 ms  ✓ PolyesterWeave
   2106.8 ms  ✓ CloseOpenIntervals
   2525.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2681.7 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2883.9 ms  ✓ Statistics
