nice: cannot set niceness: Permission denied
Precompiling packages...
    417.2 ms  ✓ CommonSolve
    432.4 ms  ✓ Reexport
    560.1 ms  ✓ ConstructionBase
    521.5 ms  ✓ StaticArraysCore
    607.1 ms  ✓ Statistics
   1383.0 ms  ✓ IrrationalConstants
    446.6 ms  ✓ IfElse
    900.2 ms  ✓ SuiteSparse_jll
    759.2 ms  ✓ EnzymeCore
    561.0 ms  ✓ ManualMemory
    446.9 ms  ✓ CommonWorldInvalidations
    877.1 ms  ✓ SciMLPublic
    415.6 ms  ✓ Future
    444.6 ms  ✓ FastPower
    452.8 ms  ✓ CompositionsBase
    511.4 ms  ✓ InverseFunctions
    457.1 ms  ✓ MuladdMacro
    489.7 ms  ✓ EnumX
    651.7 ms  ✓ OpenLibm_jll
   2220.5 ms  ✓ ExproniconLite
    465.9 ms  ✓ ExprTools
    447.6 ms  ✓ ConcreteStructs
   1080.8 ms  ✓ FillArrays
    630.1 ms  ✓ OrderedCollections
    688.6 ms  ✓ ADTypes
    767.1 ms  ✓ Serialization
    720.7 ms  ✓ DocStringExtensions
    556.4 ms  ✓ FastClosures
    521.1 ms  ✓ SIMDTypes
    508.6 ms  ✓ IteratorInterfaceExtensions
   5661.0 ms  ✓ MacroTools
    757.8 ms  ✓ Requires
    741.0 ms  ✓ CpuId
   1222.3 ms  ✓ GenericSchur
    557.6 ms  ✓ LoggingExtras
    582.4 ms  ✓ Compat
   1312.1 ms  ✓ InteractiveUtils
    544.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
    541.4 ms  ✓ DiffResults
   3867.2 ms  ✓ FunctionWrappers
    971.2 ms  ✓ LazyArtifacts
    447.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    426.2 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
    594.9 ms  ✓ NaNMath
   2201.6 ms  ✓ Preferences
   1258.8 ms  ✓ ThreadingUtilities
    529.4 ms  ✓ FillArrays → FillArraysStatisticsExt
    412.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    401.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1112.7 ms  ✓ DifferentiationInterface
   2090.7 ms  ✓ Jieko
   1850.5 ms  ✓ DataStructures
    468.7 ms  ✓ RuntimeGeneratedFunctions
    594.2 ms  ✓ CommonSubexpressions
    730.1 ms  ✓ LogExpFunctions
    605.0 ms  ✓ Adapt
    532.8 ms  ✓ Compat → CompatLinearAlgebraExt
   4147.5 ms  ✓ TimerOutputs
    513.7 ms  ✓ FunctionWrappersWrappers
   2907.2 ms  ✓ Distributed
    482.8 ms  ✓ PrecompileTools
    548.7 ms  ✓ JLLWrappers
   1600.6 ms  ✓ Setfield
    627.6 ms  ✓ SciMLLogging
    593.8 ms  ✓ TruncatedStacktraces
    440.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
    590.3 ms  ✓ ArrayInterface
    549.9 ms  ✓ GPUArraysCore
   4633.0 ms  ✓ SparseArrays
    486.7 ms  ✓ EnzymeCore → AdaptExt
   2623.8 ms  ✓ Accessors
   1462.4 ms  ✓ ChainRulesCore
    694.2 ms  ✓ OpenSpecFun_jll
   1986.4 ms  ✓ RecipesBase
   1107.8 ms  ✓ IntelOpenMP_jll
   1153.8 ms  ✓ oneTBB_jll
    412.3 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
    696.7 ms  ✓ MaybeInplace
    629.4 ms  ✓ SciMLStructures
    437.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
    422.7 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1314.4 ms  ✓ PreallocationTools
    564.3 ms  ✓ Statistics → SparseArraysExt
    754.9 ms  ✓ FillArrays → FillArraysSparseArraysExt
    710.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
    644.2 ms  ✓ Adapt → AdaptSparseArraysExt
  10414.5 ms  ✓ Moshi
    694.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
    561.3 ms  ✓ Accessors → LinearAlgebraExt
    669.5 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
    560.9 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
    504.5 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
    557.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   8074.4 ms  ✓ Krylov
    530.7 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   1530.8 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
  15041.4 ms  ✓ StaticArrays
   1739.1 ms  ✓ MKL_jll
    974.5 ms  ✓ FiniteDiff
    853.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3578.5 ms  ✓ SpecialFunctions
  10653.1 ms  ✓ SparseMatrixColorings
   1430.7 ms  ✓ SymbolicIndexingInterface
   2211.1 ms  ✓ SciMLOperators
    778.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
    783.2 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
    795.2 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
    788.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
    836.3 ms  ✓ FillArrays → FillArraysStaticArraysExt
    727.8 ms  ✓ Adapt → AdaptStaticArraysExt
    717.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
    738.2 ms  ✓ Accessors → StaticArraysExt
    713.6 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
    613.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
    779.4 ms  ✓ DiffRules
   1972.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1730.3 ms  ✓ FastGaussQuadrature
    917.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
    561.5 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
    773.8 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
    908.6 ms  ✓ NLSolversBase
    880.3 ms  ✓ LineSearches
  25925.7 ms  ✓ Static
    471.8 ms  ✓ BitTwiddlingConvenienceFunctions
   1153.7 ms  ✓ CPUSummary
   4967.6 ms  ✓ RecursiveArrayTools
   4072.8 ms  ✓ ForwardDiff
    778.8 ms  ✓ PolyesterWeave
    747.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
    542.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
    709.0 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
    505.7 ms  ✓ FastPower → FastPowerForwardDiffExt
    671.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
    581.1 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
