Precompiling Pkg...
    999.6 ms  ✓ Unicode
   1003.6 ms  ✓ UUIDs
   1006.6 ms  ✓ MbedTLS_jll
   1073.5 ms  ✓ nghttp2_jll
   1086.0 ms  ✓ MozillaCACerts_jll
   1095.2 ms  ✓ Logging
   1174.4 ms  ✓ NetworkOptions
   1192.4 ms  ✓ Zlib_jll
   1208.9 ms  ✓ p7zip_jll
   1251.4 ms  ✓ Base64
    452.5 ms  ✓ LibSSH2_jll
    509.1 ms  ✓ Printf
    359.4 ms  ✓ LibGit2_jll
    358.3 ms  ✓ LibCURL_jll
   2096.0 ms  ✓ ArgTools
    613.2 ms  ✓ LibCURL
    552.2 ms  ✓ Tar
   2094.8 ms  ✓ Dates
   2736.5 ms  ✓ Markdown
   2273.9 ms  ✓ LibGit2
    602.5 ms  ✓ TOML
   2746.2 ms  ✓ Downloads
  37604.4 ms  ✓ Pkg
  23 dependencies successfully precompiled in 43 seconds
Precompiling project...
   1819.7 ms  ✓ CommonSolve
   1932.6 ms  ✓ ExprTools
   1928.6 ms  ✓ UnPack
   1933.6 ms  ✓ ConcreteStructs
   2025.3 ms  ✓ IteratorInterfaceExtensions
   2044.1 ms  ✓ SimpleUnPack
   2039.4 ms  ✓ Future
   2049.2 ms  ✓ MuladdMacro
   2120.7 ms  ✓ OpenLibm_jll
   2530.6 ms  ✓ InverseFunctions
   2828.9 ms  ✓ Statistics
   3433.4 ms  ✓ Serialization
   3528.5 ms  ✓ ADTypes
   3541.5 ms  ✓ FunctionWrappers
   1979.2 ms  ✓ DataValueInterfaces
   1911.7 ms  ✓ Reexport
   2002.0 ms  ✓ EnumX
   2391.9 ms  ✓ CompilerSupportLibraries_jll
   2311.4 ms  ✓ SuiteSparse_jll
   1786.5 ms  ✓ SIMDTypes
   2288.6 ms  ✓ Requires
   4337.5 ms  ✓ FillArrays
   2903.6 ms  ✓ OrderedCollections
   2003.2 ms  ✓ CompositionsBase
   2101.7 ms  ✓ Mmap
   2903.2 ms  ✓ DocStringExtensions
   1909.4 ms  ✓ FastPower
   1900.9 ms  ✓ IfElse
   1797.0 ms  ✓ PackageExtensionCompat
   1908.2 ms  ✓ CommonWorldInvalidations
   2291.7 ms  ✓ Inflate
   2305.1 ms  ✓ DataAPI
   2394.7 ms  ✓ ConstructionBase
   2872.1 ms  ✓ EnzymeCore
   2181.5 ms  ✓ StaticArraysCore
   2800.2 ms  ✓ FastClosures
   8040.0 ms  ✓ ExproniconLite
   1802.7 ms  ✓ TableTraits
   2108.3 ms  ✓ ManualMemory
   2794.6 ms  ✓ Compat
   5499.3 ms  ✓ IrrationalConstants
   2382.8 ms  ✓ NaNMath
   3201.3 ms  ✓ CpuId
   3205.4 ms  ✓ Preferences
   2624.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2315.2 ms  ✓ RuntimeGeneratedFunctions
   4993.0 ms  ✓ GenericSchur
   2183.4 ms  ✓ FunctionWrappersWrappers
   2393.5 ms  ✓ Adapt
   2509.2 ms  ✓ Parameters
   2175.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2717.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   5593.8 ms  ✓ LazyArtifacts
   3793.9 ms  ✓ Tables
   2997.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   7196.2 ms  ✓ InteractiveUtils
   2703.0 ms  ✓ DiffResults
   3296.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  11896.8 ms  ✓ MacroTools
  12115.8 ms  ✓ TimerOutputs
   2382.1 ms  ✓ Compat → CompatLinearAlgebraExt
   3513.0 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2109.0 ms  ✓ PrecompileTools
   6480.0 ms  ✓ DifferentiationInterface
   2605.5 ms  ✓ JLLWrappers
   3210.2 ms  ✓ LogExpFunctions
   2185.7 ms  ✓ EnzymeCore → AdaptExt
   2500.5 ms  ✓ GPUArraysCore
   3185.5 ms  ✓ ArrayInterface
   4517.9 ms  ✓ ThreadingUtilities
   2513.1 ms  ✓ CommonSubexpressions
   2489.7 ms  ✓ TruncatedStacktraces
   9709.9 ms  ✓ Distributed
   3400.3 ms  ✓ SimpleTraits
   2515.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3283.7 ms  ✓ OpenSpecFun_jll
   6083.3 ms  ✓ Setfield
