nice: cannot set niceness: Permission denied
Precompiling packages...
   1475.8 ms  ✓ UUIDs
   1498.5 ms  ✓ Logging
   1549.8 ms  ✓ nghttp2_jll
   1585.1 ms  ✓ Zlib_jll
   1610.1 ms  ✓ MozillaCACerts_jll
   1651.0 ms  ✓ CompilerSupportLibraries_jll
   1711.1 ms  ✓ OpenSSL_jll
   1705.8 ms  ✓ Unicode
   1723.1 ms  ✓ NetworkOptions
   1801.2 ms  ✓ Base64
    490.2 ms  ✓ LibSSH2_jll
    566.4 ms  ✓ p7zip_jll
    659.6 ms  ✓ Printf
    452.5 ms  ✓ LibGit2_jll
    451.0 ms  ✓ LibCURL_jll
   3223.6 ms  ✓ ArgTools
    761.2 ms  ✓ LibCURL
    632.1 ms  ✓ Tar
   2868.8 ms  ✓ Dates
   3063.7 ms  ✓ LibGit2
    469.4 ms  ✓ TOML
   3031.2 ms  ✓ Downloads
   9223.4 ms  ✓ StyledStrings
   1680.4 ms  ✓ JuliaSyntaxHighlighting
   3790.8 ms  ✓ Markdown
  46376.0 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2367.4 ms  ✓ ConcreteStructs
   2443.2 ms  ✓ IteratorInterfaceExtensions
   2442.7 ms  ✓ Future
   2533.5 ms  ✓ CommonSolve
   2559.5 ms  ✓ ExprTools
   2561.1 ms  ✓ MuladdMacro
   2747.0 ms  ✓ OpenLibm_jll
   3240.5 ms  ✓ InverseFunctions
   3322.0 ms  ✓ SuiteSparse_jll
   3637.7 ms  ✓ Statistics
   4153.4 ms  ✓ Serialization
   4258.1 ms  ✓ ADTypes
   2684.3 ms  ✓ Reexport
   2705.6 ms  ✓ EnumX
   3087.6 ms  ✓ ManualMemory
   5545.2 ms  ✓ FillArrays
   2518.2 ms  ✓ CompositionsBase
   2506.8 ms  ✓ FastPower
   3710.8 ms  ✓ DocStringExtensions
   2489.0 ms  ✓ IfElse
   4508.1 ms  ✓ Requires
   2499.1 ms  ✓ CommonWorldInvalidations
   3995.8 ms  ✓ EnzymeCore
   2699.8 ms  ✓ FastClosures
   3115.3 ms  ✓ SciMLPublic
   2990.4 ms  ✓ StaticArraysCore
   3184.4 ms  ✓ LoggingExtras
   2594.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   4115.0 ms  ✓ CpuId
   2589.1 ms  ✓ SIMDTypes
   4099.2 ms  ✓ Preferences
  12129.7 ms  ✓ FunctionWrappers
   6203.7 ms  ✓ GenericSchur
   2602.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  10418.9 ms  ✓ OrderedCollections
