nice: cannot set niceness: Permission denied
Precompiling packages...
   1955.8 ms  ✓ LazyArtifacts
   1958.3 ms  ✓ OpenLibm_jll
   1967.2 ms  ✓ ConcreteStructs
   1936.9 ms  ✓ CommonSolve
   1968.4 ms  ✓ MuladdMacro
   2038.9 ms  ✓ IteratorInterfaceExtensions
   2310.0 ms  ✓ CompilerSupportLibraries_jll
   2307.1 ms  ✓ SuiteSparse_jll
   2358.1 ms  ✓ InverseFunctions
   2458.8 ms  ✓ ExprTools
   3448.3 ms  ✓ ADTypes
   3998.4 ms  ✓ FunctionWrappers
   1997.7 ms  ✓ ManualMemory
   4031.5 ms  ✓ FillArrays
   1702.3 ms  ✓ Reexport
   1823.9 ms  ✓ EnumX
   2130.5 ms  ✓ Requires
   2093.4 ms  ✓ SIMDTypes
   2579.9 ms  ✓ Compat
   4553.5 ms  ✓ GenericSchur
   2730.3 ms  ✓ OrderedCollections
   3089.8 ms  ✓ Preferences
   2896.7 ms  ✓ DocStringExtensions
   1902.0 ms  ✓ CompositionsBase
   2001.7 ms  ✓ FastPower
   1895.7 ms  ✓ IfElse
   2167.0 ms  ✓ ConstructionBase
   1813.1 ms  ✓ FastClosures
   1979.1 ms  ✓ CommonWorldInvalidations
   1895.3 ms  ✓ SciMLPublic
   3014.2 ms  ✓ CpuId
   2680.1 ms  ✓ LoggingExtras
   2307.5 ms  ✓ StaticArraysCore
   3404.5 ms  ✓ EnzymeCore
   2199.8 ms  ✓ NaNMath
   7755.7 ms  ✓ ExproniconLite
   8028.1 ms  ✓ Distributed
   2297.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2396.4 ms  ✓ RuntimeGeneratedFunctions
   2170.8 ms  ✓ Adapt
   5613.7 ms  ✓ IrrationalConstants
   2219.6 ms  ✓ Compat → CompatLinearAlgebraExt
   2191.5 ms  ✓ JLLWrappers
   2001.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2294.3 ms  ✓ PrecompileTools
   2295.5 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   3923.2 ms  ✓ ThreadingUtilities
   2008.6 ms  ✓ DiffResults
   2022.1 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2685.3 ms  ✓ SciMLLogging
   4886.7 ms  ✓ DifferentiationInterface
   2362.7 ms  ✓ ArrayInterface
   2204.2 ms  ✓ GPUArraysCore
   2075.1 ms  ✓ EnzymeCore → AdaptExt
  10001.6 ms  ✓ MacroTools
   2595.1 ms  ✓ IntelOpenMP_jll
   2869.5 ms  ✓ oneTBB_jll
   2799.1 ms  ✓ OpenSpecFun_jll
   3690.6 ms  ✓ LogExpFunctions
   7601.5 ms  ✓ TimerOutputs
   2323.5 ms  ✓ FastBroadcast
   6730.0 ms  ✓ DataStructures
   2297.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2519.6 ms  ✓ SciMLStructures
   2087.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3908.2 ms  ✓ Static
   1929.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2195.0 ms  ✓ CommonSubexpressions
   2332.2 ms  ✓ TruncatedStacktraces
   7292.5 ms  ✓ Jieko
   2092.7 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2694.2 ms  ✓ MKL_jll
   4798.6 ms  ✓ PreallocationTools
   2829.1 ms  ✓ MaybeInplace
   1988.9 ms  ✓ BitTwiddlingConvenienceFunctions
   1677.6 ms  ✓ FastBroadcast → FastBroadcastStaticExt
   6486.6 ms  ✓ RecipesBase
   4001.7 ms  ✓ Setfield
   1698.1 ms  ✓ FunctionWrappersWrappers
  12309.8 ms  ✓ SparseArrays
   3024.7 ms  ✓ CPUSummary
ADTypesConstructionBaseExt Waiting for background task / IO / timer.
[pid 910987] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0xc0faa70->0x71ed427d56c0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   3912.2 ms  ✓ StaticArrayInterface
   2382.2 ms  ✓ Adapt → AdaptSparseArraysExt
   2532.5 ms  ✓ FiniteDiff
   2583.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2476.8 ms  ✓ PolyesterWeave
   2695.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2692.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   7012.9 ms  ✓ Accessors
   3078.9 ms  ✓ Statistics
   1893.8 ms  ✓ CloseOpenIntervals
   1488.6 ms  ✓ LayoutPointers
   1575.7 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1497.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1372.0 ms  ✓ Accessors → LinearAlgebraExt
   1430.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   8228.4 ms  ✓ SpecialFunctions
   1591.2 ms  ✓ StrideArraysCore
   1487.4 ms  ✓ DiffRules
   2191.8 ms  ✓ SymbolicIndexingInterface
   1035.9 ms  ✓ Polyester
   2895.8 ms  ✓ SciMLOperators
   1170.1 ms  ✓ FastBroadcast → FastBroadcastPolyesterExt
    937.4 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1303.9 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
  19407.0 ms  ✓ StaticArrays
MaybeInplaceSparseArraysExt Waiting for background task / IO / timer.
[pid 911934] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x37587d40->0x7f5fd8624550
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  22390.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2993.1 ms  ✓ Adapt → AdaptStaticArraysExt
  15688.5 ms  ✓ SparseMatrixColorings
   3483.8 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3715.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
  10005.2 ms  ✓ ForwardDiff
   4116.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   4273.3 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4883.8 ms  ✓ FillArrays → FillArraysStaticArraysExt
  11225.2 ms  ✓ RecursiveArrayTools
   5476.1 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   2204.9 ms  ✓ FastPower → FastPowerForwardDiffExt
  20117.2 ms  ✓ Moshi
   3339.5 ms  ✓ NLSolversBase
   3196.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2819.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   2900.0 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   6998.2 ms  ✓ FastGaussQuadrature
   1694.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
  19405.4 ms  ✓ Krylov
   1742.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   1869.5 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   1124.6 ms  ✓ LineSearches
   3347.6 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
    661.6 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastPolyesterExt
  22248.7 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
StaticArraysExt Waiting for background task / IO / timer.
[pid 912500] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x2ea96740->0x7926c8e71ed0
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
RecursiveArrayToolsStatisticsExt Waiting for background task / IO / timer.
[pid 912728] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x1d514370->0x73106a571f00
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
  30334.3 ms  ✓ ExponentialUtilities
    967.2 ms  ✓ ExponentialUtilities → ExponentialUtilitiesStaticArraysExt
  22883.0 ms  ✓ Accessors → StaticArraysExt
  21861.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsStatisticsExt
   7303.6 ms  ✓ SciMLBase
    856.8 ms  ✓ SciMLBase → SciMLBaseDifferentiationInterfaceExt
   1081.8 ms  ✓ SciMLBase → SciMLBaseForwardDiffExt
   1834.0 ms  ✓ SciMLJacobianOperators
   3089.9 ms  ✓ LineSearch
   1447.4 ms  ✓ LineSearch → LineSearchLineSearchesExt
   5244.2 ms  ✓ NonlinearSolveBase
   8769.0 ms  ✓ LinearSolve
   1483.6 ms  ✓ NonlinearSolveBase → NonlinearSolveBaseSparseArraysExt
   2597.9 ms  ✓ LinearSolve → LinearSolveSparseArraysExt
   2884.6 ms  ✓ BracketingNonlinearSolve
