nice: cannot set niceness: Permission denied
Precompiling packages...
   1591.1 ms  ✓ nghttp2_jll
   1607.2 ms  ✓ UUIDs
   1718.6 ms  ✓ OpenSSL_jll
   1699.0 ms  ✓ Logging
   1696.1 ms  ✓ MozillaCACerts_jll
   1723.8 ms  ✓ Unicode
   1778.8 ms  ✓ Zlib_jll
   1786.7 ms  ✓ CompilerSupportLibraries_jll
   1826.1 ms  ✓ NetworkOptions
   1886.7 ms  ✓ Base64
    519.4 ms  ✓ LibSSH2_jll
    548.0 ms  ✓ p7zip_jll
    715.1 ms  ✓ Printf
    479.4 ms  ✓ LibCURL_jll
    485.3 ms  ✓ LibGit2_jll
   3198.0 ms  ✓ ArgTools
    749.7 ms  ✓ LibCURL
    613.0 ms  ✓ Tar
   2885.4 ms  ✓ Dates
   2982.1 ms  ✓ LibGit2
    437.9 ms  ✓ TOML
   2949.4 ms  ✓ Downloads
   9297.4 ms  ✓ StyledStrings
   1661.4 ms  ✓ JuliaSyntaxHighlighting
   3687.0 ms  ✓ Markdown
  46271.9 ms  ✓ Pkg
  26 dependencies successfully precompiled in 61 seconds
Precompiling packages...
   2465.3 ms  ✓ Future
   2476.1 ms  ✓ IteratorInterfaceExtensions
   2570.2 ms  ✓ MuladdMacro
   2573.0 ms  ✓ ConcreteStructs
   2556.6 ms  ✓ CommonSolve
   2650.7 ms  ✓ OpenLibm_jll
   2971.4 ms  ✓ ExprTools
   3248.9 ms  ✓ InverseFunctions
   3255.7 ms  ✓ SuiteSparse_jll
   3656.7 ms  ✓ Statistics
   4165.1 ms  ✓ ADTypes
   4170.6 ms  ✓ Serialization
   2490.5 ms  ✓ Reexport
   2519.3 ms  ✓ SIMDTypes
   2806.3 ms  ✓ ManualMemory
   2895.9 ms  ✓ EnumX
   5469.2 ms  ✓ FillArrays
   2395.6 ms  ✓ CompositionsBase
   2696.5 ms  ✓ FastPower
   3809.8 ms  ✓ DocStringExtensions
   2603.2 ms  ✓ IfElse
   4800.5 ms  ✓ Requires
   2496.6 ms  ✓ CommonWorldInvalidations
   3712.8 ms  ✓ EnzymeCore
   2811.0 ms  ✓ FastClosures
   3074.4 ms  ✓ SciMLPublic
   3084.4 ms  ✓ StaticArraysCore
   2996.5 ms  ✓ LoggingExtras
   3613.5 ms  ✓ Preferences
   2507.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
  11168.9 ms  ✓ FunctionWrappers
   4379.0 ms  ✓ CpuId
   6301.9 ms  ✓ GenericSchur
  10494.1 ms  ✓ OrderedCollections
   5205.2 ms  ✓ LazyArtifacts
   2486.9 ms  ✓ FunctionWrappersWrappers
   9303.0 ms  ✓ ConstructionBase
   2493.4 ms  ✓ FillArrays → FillArraysStatisticsExt
   2706.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2989.8 ms  ✓ Adapt
  16379.0 ms  ✓ ExproniconLite
   2623.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
  13714.1 ms  ✓ IrrationalConstants
   2705.5 ms  ✓ DiffResults
   9193.9 ms  ✓ NaNMath
   3205.6 ms  ✓ JLLWrappers
  10594.2 ms  ✓ Compat
   3185.5 ms  ✓ PrecompileTools
   3384.1 ms  ✓ SciMLLogging
   2590.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2704.2 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   8710.5 ms  ✓ RuntimeGeneratedFunctions
  19956.3 ms  ✓ MacroTools
  13389.2 ms  ✓ InteractiveUtils
   3104.8 ms  ✓ EnzymeCore → AdaptExt
   4164.6 ms  ✓ GPUArraysCore
   2677.6 ms  ✓ Compat → CompatLinearAlgebraExt
  13316.6 ms  ✓ DifferentiationInterface
   3405.0 ms  ✓ LogExpFunctions
   3794.6 ms  ✓ OpenSpecFun_jll
   3199.0 ms  ✓ CommonSubexpressions
   9986.5 ms  ✓ DataStructures
   6900.6 ms  ✓ IntelOpenMP_jll
   3204.3 ms  ✓ TruncatedStacktraces
   7962.7 ms  ✓ oneTBB_jll
  16900.3 ms  ✓ Distributed
  10991.1 ms  ✓ ArrayInterface
  19728.0 ms  ✓ TimerOutputs
  12425.6 ms  ✓ ThreadingUtilities
  10179.6 ms  ✓ Jieko
   6686.2 ms  ✓ Setfield
   3006.9 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   3500.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2385.4 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2398.7 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   9711.1 ms  ✓ RecipesBase
   2914.1 ms  ✓ MaybeInplace
   5221.0 ms  ✓ MKL_jll
   2195.8 ms  ✓ FiniteDiff
   4951.3 ms  ✓ PreallocationTools
   1299.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   5495.6 ms  ✓ SciMLStructures
  23440.1 ms  ✓ SparseArrays
  10425.5 ms  ✓ ChainRulesCore
   9708.9 ms  ✓ SpecialFunctions
  14312.5 ms  ✓ Accessors
   3460.0 ms  ✓ Statistics → SparseArraysExt
   3416.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   3492.4 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   3506.5 ms  ✓ Adapt → AdaptSparseArraysExt
   3499.4 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   3695.8 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   4151.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2891.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2788.0 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   2117.0 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
