nice: cannot set niceness: Permission denied
Precompiling packages...
   2043.9 ms  ✓ ConcreteStructs
   2050.0 ms  ✓ IteratorInterfaceExtensions
   2049.3 ms  ✓ LazyArtifacts
   2022.9 ms  ✓ CommonSolve
   2054.8 ms  ✓ MuladdMacro
   2142.1 ms  ✓ OpenLibm_jll
   2210.0 ms  ✓ CompilerSupportLibraries_jll
   2318.9 ms  ✓ InverseFunctions
   2343.7 ms  ✓ ExprTools
   2483.5 ms  ✓ SuiteSparse_jll
   3225.2 ms  ✓ ADTypes
   3969.9 ms  ✓ FunctionWrappers
   2089.0 ms  ✓ ManualMemory
   1924.4 ms  ✓ Reexport
   1909.0 ms  ✓ SIMDTypes
   2083.5 ms  ✓ EnumX
   4445.1 ms  ✓ FillArrays
   2491.4 ms  ✓ Requires
   2694.5 ms  ✓ Compat
   2693.0 ms  ✓ OrderedCollections
   5038.6 ms  ✓ GenericSchur
   2809.0 ms  ✓ DocStringExtensions
   3368.8 ms  ✓ Preferences
   1702.4 ms  ✓ IfElse
   2200.8 ms  ✓ CompositionsBase
   2009.5 ms  ✓ FastPower
   1881.1 ms  ✓ FastClosures
   2009.7 ms  ✓ CommonWorldInvalidations
   2200.3 ms  ✓ ConstructionBase
   1931.2 ms  ✓ Compat → CompatLinearAlgebraExt
   1807.7 ms  ✓ SciMLPublic
   2969.4 ms  ✓ CpuId
   3674.5 ms  ✓ EnzymeCore
   2609.5 ms  ✓ StaticArraysCore
   2125.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2821.3 ms  ✓ NaNMath
   8351.2 ms  ✓ ExproniconLite
   2491.3 ms  ✓ RuntimeGeneratedFunctions
   8497.1 ms  ✓ Distributed
   1975.1 ms  ✓ FunctionWrappersWrappers
   5613.3 ms  ✓ IrrationalConstants
   2467.6 ms  ✓ Adapt
   2820.2 ms  ✓ LoggingExtras
   1990.6 ms  ✓ PrecompileTools
   2579.3 ms  ✓ JLLWrappers
   2377.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2491.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2217.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2209.0 ms  ✓ DiffResults
   4436.2 ms  ✓ ThreadingUtilities
   9389.6 ms  ✓ MacroTools
   4878.1 ms  ✓ DifferentiationInterface
   2227.7 ms  ✓ EnzymeCore → AdaptExt
   2596.9 ms  ✓ GPUArraysCore
   3083.5 ms  ✓ ArrayInterface
   3204.4 ms  ✓ LogExpFunctions
   2505.1 ms  ✓ SciMLLogging
   2411.9 ms  ✓ IntelOpenMP_jll
   5390.0 ms  ✓ ChainRulesCore
   2617.2 ms  ✓ oneTBB_jll
   8107.3 ms  ✓ TimerOutputs
   3503.6 ms  ✓ Static
   2789.2 ms  ✓ OpenSpecFun_jll
   2493.3 ms  ✓ CommonSubexpressions
   2813.2 ms  ✓ TruncatedStacktraces
   2175.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   1979.0 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   1963.3 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   8716.1 ms  ✓ DataStructures
   7327.9 ms  ✓ Jieko
   3121.7 ms  ✓ MaybeInplace
   6099.2 ms  ✓ RecipesBase
   2914.1 ms  ✓ SciMLStructures
   2221.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2017.9 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2021.6 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   5000.4 ms  ✓ Setfield
   2329.1 ms  ✓ EnzymeCore → EnzymeCoreChainRulesCoreExt
   1698.6 ms  ✓ BitTwiddlingConvenienceFunctions
   2099.7 ms  ✓ MKL_jll
  12897.5 ms  ✓ SparseArrays
   4010.6 ms  ✓ PreallocationTools
   2672.8 ms  ✓ CPUSummary
ADTypesConstructionBaseExt Waiting for background task / IO / timer.
[pid 2970123] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x10c6b9b0->0x728ddddd1510
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   1781.5 ms  ✓ FiniteDiff
   4380.5 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   8197.8 ms  ✓ Accessors
   2013.9 ms  ✓ Adapt → AdaptSparseArraysExt
   3902.3 ms  ✓ StaticArrayInterface
   2230.6 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2689.3 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2673.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2512.2 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3310.8 ms  ✓ Statistics
   2194.2 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1986.8 ms  ✓ Accessors → LinearAlgebraExt
   1983.9 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2097.9 ms  ✓ PolyesterWeave
   1623.3 ms  ✓ CloseOpenIntervals
   1905.1 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1835.9 ms  ✓ LayoutPointers
   1593.9 ms  ✓ FillArrays → FillArraysStatisticsExt
   7417.3 ms  ✓ SpecialFunctions
   2322.1 ms  ✓ SymbolicIndexingInterface
   1784.1 ms  ✓ StrideArraysCore
   3200.0 ms  ✓ SciMLOperators
   1483.4 ms  ✓ DiffRules
   1782.2 ms  ✓ Polyester
DifferentiationInterfaceChainRulesCoreExt Waiting for background task / IO / timer.
[pid 2970756] waiting for IO to finish:
 Handle type        uv_handle_t->data
 timer              0x17287600->0x743471634f10
This means that a package has started a background task or event source that has not finished running. For precompilation to complete successfully, the event source needs to be closed explicitly. See the developer documentation on fixing precompilation hangs for more help.
   1414.6 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1919.2 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3389.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1340.6 ms  ✓ FastBroadcast
  22221.7 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  20505.9 ms  ✓ StaticArrays
   3200.1 ms  ✓ NLSolversBase
   2928.0 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   4498.6 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   4613.7 ms  ✓ FillArrays → FillArraysStaticArraysExt
   4596.3 ms  ✓ Adapt → AdaptStaticArraysExt
   4706.8 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
