nice: cannot set niceness: Permission denied
Precompiling packages...
   1938.0 ms  ✓ ConcreteStructs
   1944.8 ms  ✓ IteratorInterfaceExtensions
   2003.1 ms  ✓ CommonSolve
   2028.7 ms  ✓ MuladdMacro
   2025.6 ms  ✓ OpenLibm_jll
   2035.6 ms  ✓ LazyArtifacts
   2132.7 ms  ✓ ExprTools
   2215.4 ms  ✓ CompilerSupportLibraries_jll
   2416.0 ms  ✓ SuiteSparse_jll
   2438.8 ms  ✓ InverseFunctions
   3237.7 ms  ✓ ADTypes
   3994.4 ms  ✓ FunctionWrappers
   1895.4 ms  ✓ EnumX
   1802.7 ms  ✓ Reexport
   2191.1 ms  ✓ ManualMemory
   1692.1 ms  ✓ SIMDTypes
   2208.3 ms  ✓ Requires
   4436.0 ms  ✓ FillArrays
   2593.1 ms  ✓ Compat
   2790.2 ms  ✓ OrderedCollections
   4931.9 ms  ✓ GenericSchur
   3111.0 ms  ✓ Preferences
   1806.4 ms  ✓ FastPower
   1997.5 ms  ✓ CompositionsBase
   1709.3 ms  ✓ FastClosures
   1988.4 ms  ✓ CommonWorldInvalidations
   2196.0 ms  ✓ ConstructionBase
   1690.9 ms  ✓ SciMLPublic
   3185.1 ms  ✓ CpuId
   2722.6 ms  ✓ LoggingExtras
   3491.1 ms  ✓ EnzymeCore
   2493.7 ms  ✓ StaticArraysCore
   2194.8 ms  ✓ RuntimeGeneratedFunctions
   2299.5 ms  ✓ NaNMath
   4100.8 ms  ✓ ThreadingUtilities
   8295.5 ms  ✓ Distributed
   8335.4 ms  ✓ ExproniconLite
   1895.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5595.7 ms  ✓ IrrationalConstants
   2813.0 ms  ✓ DocStringExtensions
   2016.3 ms  ✓ FunctionWrappersWrappers
   1895.6 ms  ✓ IfElse
   2099.9 ms  ✓ Adapt
   2100.7 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2282.2 ms  ✓ PrecompileTools
   2302.6 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2497.1 ms  ✓ JLLWrappers
   2596.9 ms  ✓ SciMLLogging
   2191.3 ms  ✓ DiffResults
   2188.7 ms  ✓ Compat → CompatLinearAlgebraExt
   2136.6 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5185.3 ms  ✓ DifferentiationInterface
  10093.4 ms  ✓ MacroTools
   2392.7 ms  ✓ GPUArraysCore
   2500.3 ms  ✓ ArrayInterface
   2011.1 ms  ✓ EnzymeCore → AdaptExt
   3594.3 ms  ✓ LogExpFunctions
   3015.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2163.9 ms  ✓ TruncatedStacktraces
   2978.7 ms  ✓ oneTBB_jll
