Precompiling Pkg...
   1016.2 ms  ✓ UUIDs
   1018.0 ms  ✓ MozillaCACerts_jll
   1015.9 ms  ✓ Unicode
   1020.3 ms  ✓ nghttp2_jll
   1023.0 ms  ✓ Logging
   1170.1 ms  ✓ NetworkOptions
   1149.7 ms  ✓ MbedTLS_jll
   1147.6 ms  ✓ Zlib_jll
   1151.8 ms  ✓ p7zip_jll
   1206.9 ms  ✓ Base64
    346.7 ms  ✓ LibSSH2_jll
    491.4 ms  ✓ Printf
    423.0 ms  ✓ LibCURL_jll
    430.4 ms  ✓ LibGit2_jll
   2013.5 ms  ✓ ArgTools
    549.6 ms  ✓ LibCURL
    549.2 ms  ✓ Tar
   2226.0 ms  ✓ Dates
   2785.8 ms  ✓ Markdown
   2252.2 ms  ✓ LibGit2
    497.8 ms  ✓ TOML
   2916.6 ms  ✓ Downloads
  39014.7 ms  ✓ Pkg
  23 dependencies successfully precompiled in 45 seconds
Precompiling project...
   1858.8 ms  ✓ SimpleUnPack
   1859.7 ms  ✓ ConcreteStructs
   1860.8 ms  ✓ UnPack
   1869.0 ms  ✓ IteratorInterfaceExtensions
   1946.1 ms  ✓ CommonSolve
   1963.9 ms  ✓ ExprTools
   1973.0 ms  ✓ MuladdMacro
   2061.3 ms  ✓ Future
   2261.4 ms  ✓ OpenLibm_jll
   2458.3 ms  ✓ InverseFunctions
   3244.1 ms  ✓ Statistics
   3373.0 ms  ✓ ADTypes
   3446.0 ms  ✓ Serialization
   3659.6 ms  ✓ FunctionWrappers
   1897.5 ms  ✓ EnumX
   2085.9 ms  ✓ ManualMemory
   1906.6 ms  ✓ Reexport
   1805.1 ms  ✓ SIMDTypes
   2509.9 ms  ✓ SuiteSparse_jll
   2412.6 ms  ✓ Requires
   2610.0 ms  ✓ CompilerSupportLibraries_jll
   4656.9 ms  ✓ FillArrays
   3005.9 ms  ✓ OrderedCollections
   2789.7 ms  ✓ DocStringExtensions
   1822.3 ms  ✓ FastPower
   1983.6 ms  ✓ CompositionsBase
   1887.3 ms  ✓ CommonWorldInvalidations
   1988.2 ms  ✓ IfElse
   2278.4 ms  ✓ FastClosures
   2511.2 ms  ✓ ConstructionBase
   2899.8 ms  ✓ EnzymeCore
   2188.4 ms  ✓ StaticArraysCore
   3000.1 ms  ✓ CpuId
   2612.5 ms  ✓ Compat
   7968.7 ms  ✓ ExproniconLite
   2205.3 ms  ✓ NaNMath
   3209.6 ms  ✓ Preferences
   5102.8 ms  ✓ IrrationalConstants
   2503.6 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2411.1 ms  ✓ RuntimeGeneratedFunctions
   4604.1 ms  ✓ GenericSchur
   2508.2 ms  ✓ FunctionWrappersWrappers
   2098.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   2285.2 ms  ✓ Adapt
   5095.0 ms  ✓ LazyArtifacts
   2277.6 ms  ✓ Parameters
   2200.4 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   6505.5 ms  ✓ InteractiveUtils
   2081.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2107.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   5002.9 ms  ✓ DifferentiationInterface
   2495.7 ms  ✓ DiffResults
   4118.8 ms  ✓ ThreadingUtilities
   3489.8 ms  ✓ LogExpFunctions
  10199.9 ms  ✓ MacroTools
   2109.0 ms  ✓ Compat → CompatLinearAlgebraExt
   2189.4 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2394.3 ms  ✓ JLLWrappers
   2191.5 ms  ✓ EnzymeCore → AdaptExt
   3002.9 ms  ✓ PrecompileTools
