nice: cannot set niceness: Permission denied
Precompiling packages...
    396.6 ms  ✓ DataValueInterfaces
    398.6 ms  ✓ Reexport
    526.3 ms  ✓ ConstructionBase
    426.4 ms  ✓ CommonSolve
    436.1 ms  ✓ LaTeXStrings
    600.2 ms  ✓ Statistics
   1317.5 ms  ✓ IrrationalConstants
    547.6 ms  ✓ StaticArraysCore
    872.8 ms  ✓ SuiteSparse_jll
    471.2 ms  ✓ BinaryHeaps
    739.3 ms  ✓ EnzymeCore
    512.5 ms  ✓ Adapt
    851.8 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
    477.1 ms  ✓ DataAPI
    441.5 ms  ✓ SciMLPublic
    438.2 ms  ✓ Future
    448.9 ms  ✓ FastPower
    469.2 ms  ✓ CompositionsBase
    532.6 ms  ✓ InverseFunctions
    472.7 ms  ✓ EnumX
    438.0 ms  ✓ ConcreteStructs
    499.4 ms  ✓ ExprTools
    672.5 ms  ✓ OpenLibm_jll
    616.3 ms  ✓ OrderedCollections
    686.5 ms  ✓ ADTypes
    646.3 ms  ✓ Serialization
    623.8 ms  ✓ DocStringExtensions
    441.2 ms  ✓ FastClosures
    414.6 ms  ✓ IteratorInterfaceExtensions
    725.3 ms  ✓ LoggingExtras
   5526.9 ms  ✓ MacroTools
    645.6 ms  ✓ Compat
   1428.7 ms  ✓ InteractiveUtils
    408.8 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2202.8 ms  ✓ Crayons
    556.2 ms  ✓ DiffResults
   1088.6 ms  ✓ LazyArtifacts
   3753.4 ms  ✓ FunctionWrappers
    637.6 ms  ✓ ArrayInterface
    425.3 ms  ✓ EnzymeCore → AdaptExt
    623.2 ms  ✓ GPUArraysCore
    580.1 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
    457.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2256.9 ms  ✓ Preferences
    553.8 ms  ✓ NaNMath
    460.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
    417.2 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
    460.0 ms  ✓ RuntimeGeneratedFunctions
   1049.4 ms  ✓ DifferentiationInterface
    621.4 ms  ✓ LogExpFunctions
    416.3 ms  ✓ TableTraits
    550.7 ms  ✓ CommonSubexpressions
    443.3 ms  ✓ Compat → CompatLinearAlgebraExt
    544.3 ms  ✓ FastBroadcast
    459.1 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2577.6 ms  ✓ Distributed
   1491.7 ms  ✓ Setfield
    457.1 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
    756.9 ms  ✓ MaybeInplace
    687.2 ms  ✓ PrecompileTools
