Precompiling Pkg...
    862.8 ms  ✓ Logging
    942.9 ms  ✓ MozillaCACerts_jll
    972.1 ms  ✓ nghttp2_jll
   1052.0 ms  ✓ Unicode
   1117.9 ms  ✓ NetworkOptions
   1080.5 ms  ✓ UUIDs
   1137.2 ms  ✓ Zlib_jll
   1146.6 ms  ✓ p7zip_jll
   1161.9 ms  ✓ Base64
   1172.5 ms  ✓ MbedTLS_jll
    310.4 ms  ✓ LibSSH2_jll
    448.0 ms  ✓ Printf
    397.7 ms  ✓ LibGit2_jll
    396.2 ms  ✓ LibCURL_jll
   2047.5 ms  ✓ ArgTools
    572.0 ms  ✓ LibCURL
    556.5 ms  ✓ Tar
   2446.1 ms  ✓ Dates
   2844.1 ms  ✓ Markdown
   2366.5 ms  ✓ LibGit2
    361.2 ms  ✓ TOML
   2926.7 ms  ✓ Downloads
  38381.0 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1831.0 ms  ✓ SimpleUnPack
   1832.0 ms  ✓ MuladdMacro
   1840.3 ms  ✓ IteratorInterfaceExtensions
   1918.4 ms  ✓ UnPack
   1941.6 ms  ✓ ConcreteStructs
   2037.5 ms  ✓ Future
   2238.6 ms  ✓ LaTeXStrings
   2319.6 ms  ✓ ExprTools
   2429.8 ms  ✓ OpenLibm_jll
   2610.7 ms  ✓ InverseFunctions
   2897.1 ms  ✓ Statistics
   3330.1 ms  ✓ Serialization
   3336.9 ms  ✓ ADTypes
   1814.5 ms  ✓ CommonSolve
   3748.1 ms  ✓ FunctionWrappers
   1809.1 ms  ✓ DataValueInterfaces
   2205.8 ms  ✓ ManualMemory
   2592.8 ms  ✓ CompilerSupportLibraries_jll
   2003.7 ms  ✓ EnumX
   1910.3 ms  ✓ Reexport
   2695.1 ms  ✓ SuiteSparse_jll
   1799.4 ms  ✓ SIMDTypes
   4733.7 ms  ✓ FillArrays
   2690.4 ms  ✓ Requires
   3102.7 ms  ✓ OrderedCollections
   2084.1 ms  ✓ CompositionsBase
   1998.7 ms  ✓ FastPower
   1887.9 ms  ✓ IfElse
   2897.7 ms  ✓ DocStringExtensions
   1916.0 ms  ✓ CommonWorldInvalidations
   1906.7 ms  ✓ FastClosures
   2105.7 ms  ✓ DataAPI
   2401.6 ms  ✓ ConstructionBase
   2682.9 ms  ✓ StaticArraysCore
   3411.7 ms  ✓ EnzymeCore
   1800.4 ms  ✓ TableTraits
   2901.4 ms  ✓ CpuId
   8640.6 ms  ✓ ExproniconLite
   2713.8 ms  ✓ Compat
   2279.1 ms  ✓ NaNMath
   3384.1 ms  ✓ Preferences
   3009.4 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2517.4 ms  ✓ RuntimeGeneratedFunctions
   5512.7 ms  ✓ GenericSchur
   6094.7 ms  ✓ Crayons
   2007.3 ms  ✓ FunctionWrappersWrappers
   2397.3 ms  ✓ FillArrays → FillArraysStatisticsExt
   5585.1 ms  ✓ LazyArtifacts
   2591.6 ms  ✓ Adapt
   7489.5 ms  ✓ InteractiveUtils
   2205.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2996.7 ms  ✓ Parameters
   9695.6 ms  ✓ Distributed
  11197.4 ms  ✓ MacroTools
   2487.2 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   4573.9 ms  ✓ ThreadingUtilities
   2894.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   6200.1 ms  ✓ IrrationalConstants
   2501.4 ms  ✓ DiffResults
   2313.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   6008.5 ms  ✓ DifferentiationInterface
