nice: cannot set niceness: Permission denied
Precompiling packages...
   1911.7 ms  ✓ IteratorInterfaceExtensions
   1982.5 ms  ✓ LazyArtifacts
   1984.6 ms  ✓ CommonSolve
   2086.0 ms  ✓ MuladdMacro
   2085.0 ms  ✓ ConcreteStructs
   2196.6 ms  ✓ ExprTools
   2201.4 ms  ✓ OpenLibm_jll
   2281.1 ms  ✓ TestEnv
   2270.7 ms  ✓ InverseFunctions
   2282.3 ms  ✓ CompilerSupportLibraries_jll
   3285.0 ms  ✓ ADTypes
   3845.4 ms  ✓ FunctionWrappers
   2013.1 ms  ✓ ManualMemory
   1890.1 ms  ✓ Reexport
   2310.7 ms  ✓ SuiteSparse_jll
   4388.7 ms  ✓ FillArrays
   2122.9 ms  ✓ EnumX
   2225.1 ms  ✓ Requires
   2614.8 ms  ✓ Compat
   2602.1 ms  ✓ OrderedCollections
   5070.7 ms  ✓ GenericSchur
   1800.1 ms  ✓ SIMDTypes
   3123.8 ms  ✓ Preferences
   1793.6 ms  ✓ CompositionsBase
   1798.9 ms  ✓ FastPower
   1690.8 ms  ✓ IfElse
   2782.6 ms  ✓ DocStringExtensions
   1806.6 ms  ✓ Compat → CompatLinearAlgebraExt
   1904.1 ms  ✓ FastClosures
   2279.5 ms  ✓ ConstructionBase
   2073.2 ms  ✓ SciMLPublic
   2892.3 ms  ✓ CpuId
   2830.6 ms  ✓ EnzymeCore
   2223.1 ms  ✓ LoggingExtras
   2122.9 ms  ✓ StaticArraysCore
   2196.5 ms  ✓ RuntimeGeneratedFunctions
   1693.0 ms  ✓ FunctionWrappersWrappers
   8791.9 ms  ✓ ExproniconLite
   2315.5 ms  ✓ NaNMath
   2326.2 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   2281.4 ms  ✓ CommonWorldInvalidations
   2477.2 ms  ✓ Adapt
   5696.6 ms  ✓ IrrationalConstants
   8001.2 ms  ✓ Distributed
   2592.8 ms  ✓ JLLWrappers
   2466.9 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2725.8 ms  ✓ PrecompileTools
   4695.9 ms  ✓ DifferentiationInterface
   2200.3 ms  ✓ DiffResults
   2113.8 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5097.1 ms  ✓ ThreadingUtilities
   2814.2 ms  ✓ SciMLLogging
  10404.7 ms  ✓ MacroTools
   2786.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2496.1 ms  ✓ EnzymeCore → AdaptExt
  14088.2 ms  ✓ Test
   2725.1 ms  ✓ GPUArraysCore
   3722.0 ms  ✓ ArrayInterface
   3200.2 ms  ✓ LogExpFunctions
   2609.5 ms  ✓ OpenSpecFun_jll
   8987.7 ms  ✓ TimerOutputs
   3201.7 ms  ✓ IntelOpenMP_jll
   6695.4 ms  ✓ ChainRulesCore
   3988.6 ms  ✓ oneTBB_jll
   2480.1 ms  ✓ TruncatedStacktraces
   2303.4 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2492.4 ms  ✓ CommonSubexpressions
   4125.3 ms  ✓ Static
   8795.9 ms  ✓ DataStructures
   8512.4 ms  ✓ Jieko
   2789.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   2997.8 ms  ✓ InverseFunctions → InverseFunctionsTestExt
   2297.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2023.4 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3291.9 ms  ✓ MaybeInplace
   2175.6 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   6704.9 ms  ✓ RecipesBase
   2879.5 ms  ✓ SciMLStructures
   2100.4 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   4983.1 ms  ✓ Setfield
   2113.5 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   3630.7 ms  ✓ PreallocationTools
   1781.1 ms  ✓ BitTwiddlingConvenienceFunctions
   2106.8 ms  ✓ MKL_jll
   5507.1 ms  ✓ ReTestItems
   1385.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   1595.9 ms  ✓ FiniteDiff
   2718.5 ms  ✓ CPUSummary
  14408.5 ms  ✓ SparseArrays
   7396.9 ms  ✓ Accessors
   4313.1 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   3827.4 ms  ✓ StaticArrayInterface
   1915.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   2076.6 ms  ✓ PolyesterWeave
   1973.6 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   2201.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   2302.8 ms  ✓ Adapt → AdaptSparseArraysExt
   1727.8 ms  ✓ Accessors → LinearAlgebraExt
   2385.1 ms  ✓ FillArrays → FillArraysSparseArraysExt
   1510.7 ms  ✓ CloseOpenIntervals
   2610.7 ms  ✓ Statistics
   1883.3 ms  ✓ LayoutPointers
   1295.5 ms  ✓ Accessors → TestExt
   1375.9 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   8607.5 ms  ✓ SpecialFunctions
   1876.0 ms  ✓ FillArrays → FillArraysStatisticsExt
   2098.2 ms  ✓ StrideArraysCore
   1627.3 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   1921.3 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1733.5 ms  ✓ DiffRules
   3338.0 ms  ✓ SymbolicIndexingInterface
   3994.2 ms  ✓ SciMLOperators
   1621.8 ms  ✓ Polyester
   3633.2 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1396.8 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1674.1 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   1586.3 ms  ✓ FastBroadcast
   3800.1 ms  ✓ RecursiveArrayTools
  19581.9 ms  ✓ StaticArrays
   2071.7 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
   2512.3 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2682.1 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   2708.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2886.8 ms  ✓ Adapt → AdaptStaticArraysExt
   8269.5 ms  ✓ ForwardDiff
   3721.7 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   4615.0 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   2738.0 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
   6411.3 ms  ✓ FastGaussQuadrature
