nice: cannot set niceness: Permission denied
Precompiling packages...
   1416.5 ms  ✓ nghttp2_jll
   1437.1 ms  ✓ MozillaCACerts_jll
   1557.8 ms  ✓ UUIDs
   1632.4 ms  ✓ Logging
   1663.8 ms  ✓ Unicode
   1714.7 ms  ✓ Zlib_jll
   1728.6 ms  ✓ CompilerSupportLibraries_jll
   1732.3 ms  ✓ NetworkOptions
   1776.5 ms  ✓ OpenSSL_jll
   1824.3 ms  ✓ Base64
    484.9 ms  ✓ LibSSH2_jll
    550.9 ms  ✓ p7zip_jll
    692.1 ms  ✓ Printf
    454.0 ms  ✓ LibGit2_jll
    451.6 ms  ✓ LibCURL_jll
   3233.2 ms  ✓ ArgTools
    757.3 ms  ✓ LibCURL
    641.6 ms  ✓ Tar
   2992.2 ms  ✓ Dates
   3108.3 ms  ✓ LibGit2
    453.4 ms  ✓ TOML
   3106.9 ms  ✓ Downloads
   9229.9 ms  ✓ StyledStrings
   1731.5 ms  ✓ JuliaSyntaxHighlighting
   4004.3 ms  ✓ Markdown
  47764.6 ms  ✓ Pkg
  26 dependencies successfully precompiled in 63 seconds
Precompiling packages...
   2453.9 ms  ✓ IteratorInterfaceExtensions
   2429.8 ms  ✓ Reexport
   2454.4 ms  ✓ CommonSolve
   2466.7 ms  ✓ OpenLibm_jll
   2551.4 ms  ✓ ConcreteStructs
   2664.7 ms  ✓ ExprTools
   2740.6 ms  ✓ InverseFunctions
   2738.8 ms  ✓ EnumX
   3019.0 ms  ✓ SuiteSparse_jll
   3562.4 ms  ✓ Statistics
   3846.4 ms  ✓ Future
   3955.8 ms  ✓ Serialization
   4151.9 ms  ✓ ADTypes
   4884.2 ms  ✓ DocStringExtensions
   2508.1 ms  ✓ FastPower
   2799.0 ms  ✓ CompositionsBase
   2612.9 ms  ✓ FastClosures
   2806.8 ms  ✓ Adapt
   2617.9 ms  ✓ SciMLPublic
   3881.6 ms  ✓ EnzymeCore
   2723.0 ms  ✓ BinaryHeaps
   3280.9 ms  ✓ StaticArraysCore
   3213.2 ms  ✓ LoggingExtras
   2405.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5297.4 ms  ✓ OrdinaryDiffEqRosenbrockTableaus
   3719.1 ms  ✓ Preferences
   2396.0 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   5212.2 ms  ✓ LazyArtifacts
  11254.7 ms  ✓ FunctionWrappers
   9604.4 ms  ✓ ConstructionBase
   3979.3 ms  ✓ GPUArraysCore
   2404.0 ms  ✓ EnzymeCore → AdaptExt
   2386.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2912.4 ms  ✓ DiffResults
   9596.7 ms  ✓ NaNMath
   2411.9 ms  ✓ PrecompileTools
   3007.8 ms  ✓ JLLWrappers
   2484.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
  10473.5 ms  ✓ Compat
   3400.6 ms  ✓ SciMLLogging
  14997.8 ms  ✓ IrrationalConstants
   3403.1 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  10898.6 ms  ✓ RuntimeGeneratedFunctions
   9909.5 ms  ✓ ArrayInterface
  14106.3 ms  ✓ InteractiveUtils
  18649.9 ms  ✓ MacroTools
   4705.4 ms  ✓ MuladdMacro
   3713.1 ms  ✓ OpenSpecFun_jll
   2595.0 ms  ✓ Compat → CompatLinearAlgebraExt
   2404.3 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
  13378.1 ms  ✓ DifferentiationInterface
   2399.7 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   3704.2 ms  ✓ LogExpFunctions
   3396.6 ms  ✓ FastBroadcast
   3002.2 ms  ✓ CommonSubexpressions
  16701.0 ms  ✓ Distributed
   8410.9 ms  ✓ oneTBB_jll
   3393.5 ms  ✓ TruncatedStacktraces
   8998.4 ms  ✓ RecipesBase
   2789.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   8820.3 ms  ✓ IntelOpenMP_jll
   2884.4 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
  18997.3 ms  ✓ TimerOutputs
   4109.0 ms  ✓ MaybeInplace
   5118.2 ms  ✓ Setfield
   6112.9 ms  ✓ PreallocationTools
   1417.1 ms  ✓ FiniteDiff
   1088.5 ms  ✓ PreallocationTools → PreallocationToolsEnzymeCoreExt
   8298.5 ms  ✓ SciMLStructures
   3108.5 ms  ✓ MKL_jll
   1045.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  21216.1 ms  ✓ SparseArrays
  13000.4 ms  ✓ FindFirstFunctions
   2558.8 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2574.7 ms  ✓ Adapt → AdaptSparseArraysExt
   2760.7 ms  ✓ Statistics → SparseArraysExt
   6499.9 ms  ✓ FunctionWrappersWrappers
