nice: cannot set niceness: Permission denied
Precompiling packages...
   1882.2 ms  ✓ ConcreteStructs
   1942.0 ms  ✓ IteratorInterfaceExtensions
   1947.3 ms  ✓ LazyArtifacts
   1921.3 ms  ✓ CommonSolve
   1971.7 ms  ✓ MuladdMacro
   1963.5 ms  ✓ OpenLibm_jll
   2168.0 ms  ✓ ExprTools
   2135.7 ms  ✓ CompilerSupportLibraries_jll
   2381.2 ms  ✓ SuiteSparse_jll
   2442.3 ms  ✓ InverseFunctions
   3141.4 ms  ✓ ADTypes
   3796.2 ms  ✓ FunctionWrappers
   1935.4 ms  ✓ ManualMemory
   1716.0 ms  ✓ SIMDTypes
   2209.2 ms  ✓ Requires
   2078.3 ms  ✓ EnumX
   2108.8 ms  ✓ RuntimeGeneratedFunctions
   2524.6 ms  ✓ Compat
   4645.9 ms  ✓ FillArrays
   2873.4 ms  ✓ OrderedCollections
   4967.1 ms  ✓ GenericSchur
   3029.6 ms  ✓ Preferences
   2100.2 ms  ✓ CompositionsBase
   2098.8 ms  ✓ FastPower
   1836.1 ms  ✓ IfElse
   1874.0 ms  ✓ CommonWorldInvalidations
   1818.8 ms  ✓ FastClosures
   2296.7 ms  ✓ ConstructionBase
   1967.8 ms  ✓ SciMLPublic
   2429.5 ms  ✓ LoggingExtras
   3041.5 ms  ✓ EnzymeCore
   3305.1 ms  ✓ CpuId
   2696.1 ms  ✓ StaticArraysCore
   1887.4 ms  ✓ Reexport
   8279.2 ms  ✓ ExproniconLite
   2599.1 ms  ✓ NaNMath
   8616.6 ms  ✓ Distributed
   2181.9 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5508.1 ms  ✓ IrrationalConstants
   2581.7 ms  ✓ DocStringExtensions
   2307.1 ms  ✓ FunctionWrappersWrappers
   2002.0 ms  ✓ Compat → CompatLinearAlgebraExt
   2385.0 ms  ✓ Adapt
   2003.0 ms  ✓ PrecompileTools
   2098.7 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2489.8 ms  ✓ JLLWrappers
   2111.8 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2181.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2095.3 ms  ✓ DiffResults
   4311.9 ms  ✓ ThreadingUtilities
   5096.1 ms  ✓ DifferentiationInterface
   3028.8 ms  ✓ SciMLLogging
  10006.7 ms  ✓ MacroTools
   3466.8 ms  ✓ LogExpFunctions
   2508.4 ms  ✓ EnzymeCore → AdaptExt
   3038.2 ms  ✓ ArrayInterface
   3222.4 ms  ✓ GPUArraysCore
   2456.6 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   2705.7 ms  ✓ oneTBB_jll
   2977.9 ms  ✓ IntelOpenMP_jll
   2798.4 ms  ✓ OpenSpecFun_jll
   8965.5 ms  ✓ TimerOutputs
   5674.1 ms  ✓ ChainRulesCore
   2825.9 ms  ✓ TruncatedStacktraces
   2864.5 ms  ✓ CommonSubexpressions
   4535.9 ms  ✓ Static
   2241.2 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2005.0 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   9093.8 ms  ✓ DataStructures
   2133.1 ms  ✓ SciMLStructures
   8125.3 ms  ✓ Jieko
  15006.3 ms  ✓ SparseArrays
   6824.9 ms  ✓ RecipesBase
   2337.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   3420.6 ms  ✓ MaybeInplace
   2211.9 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2836.7 ms  ✓ MKL_jll
   1998.7 ms  ✓ BitTwiddlingConvenienceFunctions
   2664.0 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2206.8 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   5790.3 ms  ✓ Setfield
   4698.8 ms  ✓ PreallocationTools
   2707.2 ms  ✓ FillArrays → FillArraysSparseArraysExt
   2368.1 ms  ✓ Adapt → AdaptSparseArraysExt
   3299.1 ms  ✓ Statistics
   2005.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   4108.6 ms  ✓ CPUSummary
   2466.7 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
   3026.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   4699.9 ms  ✓ StaticArrayInterface
   2603.5 ms  ✓ FiniteDiff
   5607.2 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   8903.3 ms  ✓ Accessors
   2105.3 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2106.6 ms  ✓ FillArrays → FillArraysStatisticsExt
   1990.5 ms  ✓ PolyesterWeave
   1309.9 ms  ✓ CloseOpenIntervals
   1602.7 ms  ✓ LayoutPointers
   1618.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
   1311.5 ms  ✓ Accessors → LinearAlgebraExt
   1384.6 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   1531.8 ms  ✓ MaybeInplace → MaybeInplaceSparseArraysExt
   9313.4 ms  ✓ SpecialFunctions
   1692.5 ms  ✓ StrideArraysCore
   2592.6 ms  ✓ SymbolicIndexingInterface
   1291.7 ms  ✓ DiffRules
   1471.1 ms  ✓ Polyester
   3467.8 ms  ✓ SciMLOperators
   3195.6 ms  ✓ SpecialFunctions → SpecialFunctionsChainRulesCoreExt
   1641.2 ms  ✓ FastBroadcast
   1420.5 ms  ✓ SciMLOperators → SciMLOperatorsStaticArraysCoreExt
   1539.9 ms  ✓ SciMLOperators → SciMLOperatorsSparseArraysExt
   3205.8 ms  ✓ RecursiveArrayTools
   2961.3 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsSparseArraysExt
  22587.6 ms  ✓ StaticArrays
  15702.4 ms  ✓ SparseMatrixColorings
   2426.9 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsFastBroadcastExt
   1900.5 ms  ✓ Adapt → AdaptStaticArraysExt
   8932.0 ms  ✓ ForwardDiff
   2464.3 ms  ✓ DifferentiationInterface → DifferentiationInterfaceStaticArraysExt
   2505.1 ms  ✓ StaticArrays → StaticArraysChainRulesCoreExt
   2893.9 ms  ✓ ConstructionBase → ConstructionBaseStaticArraysExt
   3972.6 ms  ✓ StaticArrays → StaticArraysStatisticsExt
   3559.1 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseMatrixColoringsExt
   2764.6 ms  ✓ PreallocationTools → PreallocationToolsForwardDiffExt
  20796.7 ms  ✓ Krylov
   2998.4 ms  ✓ FastPower → FastPowerForwardDiffExt
   3303.9 ms  ✓ StaticArrayInterface → StaticArrayInterfaceStaticArraysExt
   3193.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceForwardDiffExt
   3395.8 ms  ✓ ForwardDiff → ForwardDiffStaticArraysExt
   2604.5 ms  ✓ FiniteDiff → FiniteDiffStaticArraysExt
   3642.8 ms  ✓ RecursiveArrayTools → RecursiveArrayToolsForwardDiffExt
   3302.6 ms  ✓ Accessors → StaticArraysExt
   6189.6 ms  ✓ FastGaussQuadrature
  22059.5 ms  ✓ Moshi
