nice: cannot set niceness: Permission denied
Precompiling packages...
   2007.7 ms  ✓ LazyArtifacts
   1991.5 ms  ✓ CommonSolve
   2023.8 ms  ✓ ConcreteStructs
   2025.0 ms  ✓ MuladdMacro
   2026.9 ms  ✓ IteratorInterfaceExtensions
   2184.6 ms  ✓ OpenLibm_jll
   2221.2 ms  ✓ ExprTools
   2197.1 ms  ✓ CompilerSupportLibraries_jll
   2517.9 ms  ✓ InverseFunctions
   2572.6 ms  ✓ SuiteSparse_jll
   3214.1 ms  ✓ ADTypes
   3959.8 ms  ✓ FunctionWrappers
   2014.0 ms  ✓ ManualMemory
   1910.0 ms  ✓ EnumX
   1705.7 ms  ✓ SIMDTypes
   2091.1 ms  ✓ Reexport
   2320.8 ms  ✓ Requires
   2583.6 ms  ✓ OrderedCollections
   4619.3 ms  ✓ FillArrays
   4811.4 ms  ✓ GenericSchur
   2799.6 ms  ✓ Compat
   2580.4 ms  ✓ DocStringExtensions
   3388.6 ms  ✓ Preferences
   1992.7 ms  ✓ CompositionsBase
   1811.2 ms  ✓ FastPower
   1905.1 ms  ✓ IfElse
   1901.7 ms  ✓ FastClosures
   1764.5 ms  ✓ SciMLPublic
   2278.1 ms  ✓ CommonWorldInvalidations
   2597.2 ms  ✓ ConstructionBase
   2594.0 ms  ✓ LoggingExtras
   3286.1 ms  ✓ CpuId
   3290.6 ms  ✓ EnzymeCore
   2312.4 ms  ✓ NaNMath
   2201.8 ms  ✓ RuntimeGeneratedFunctions
   2837.5 ms  ✓ StaticArraysCore
   8199.3 ms  ✓ Distributed
   8330.0 ms  ✓ ExproniconLite
   2291.5 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   5615.4 ms  ✓ IrrationalConstants
   2037.9 ms  ✓ FunctionWrappersWrappers
   2007.4 ms  ✓ Compat → CompatLinearAlgebraExt
   2213.3 ms  ✓ Adapt
   1986.7 ms  ✓ PrecompileTools
   2304.6 ms  ✓ JLLWrappers
   2027.7 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   1992.5 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   1991.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2474.4 ms  ✓ SciMLLogging
   2194.6 ms  ✓ DiffResults
   4926.7 ms  ✓ DifferentiationInterface
   4402.4 ms  ✓ ThreadingUtilities
   2395.8 ms  ✓ GPUArraysCore
   2295.0 ms  ✓ EnzymeCore → AdaptExt
  10502.9 ms  ✓ MacroTools
   3202.4 ms  ✓ LogExpFunctions
   3004.2 ms  ✓ ArrayInterface
   7596.7 ms  ✓ TimerOutputs
   2297.6 ms  ✓ OpenSpecFun_jll
   2892.2 ms  ✓ IntelOpenMP_jll
   2698.6 ms  ✓ oneTBB_jll
   2095.2 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
