Precompiling Pkg...
    963.6 ms  ✓ Unicode
   1038.5 ms  ✓ Logging
   1051.9 ms  ✓ p7zip_jll
   1061.4 ms  ✓ Zlib_jll
   1071.9 ms  ✓ MozillaCACerts_jll
   1141.0 ms  ✓ nghttp2_jll
   1139.0 ms  ✓ MbedTLS_jll
   1146.0 ms  ✓ UUIDs
   1208.3 ms  ✓ NetworkOptions
   1201.9 ms  ✓ Base64
    311.1 ms  ✓ LibSSH2_jll
    513.7 ms  ✓ Printf
    396.4 ms  ✓ LibCURL_jll
    407.2 ms  ✓ LibGit2_jll
   1999.0 ms  ✓ ArgTools
    547.4 ms  ✓ LibCURL
    555.3 ms  ✓ Tar
   1993.5 ms  ✓ Dates
   2699.6 ms  ✓ Markdown
   2191.7 ms  ✓ LibGit2
    597.1 ms  ✓ TOML
   2731.4 ms  ✓ Downloads
  38527.4 ms  ✓ Pkg
  23 dependencies successfully precompiled in 44 seconds
Precompiling project...
   1848.2 ms  ✓ IteratorInterfaceExtensions
   1857.8 ms  ✓ ConcreteStructs
   1944.5 ms  ✓ SimpleUnPack
   1950.1 ms  ✓ MuladdMacro
   1939.9 ms  ✓ UnPack
   2035.7 ms  ✓ Future
   2043.6 ms  ✓ ExprTools
   2199.7 ms  ✓ CommonSolve
   2328.5 ms  ✓ OpenLibm_jll
   2415.7 ms  ✓ InverseFunctions
   3124.3 ms  ✓ Statistics
   3557.2 ms  ✓ ADTypes
   3635.3 ms  ✓ Serialization
   3856.3 ms  ✓ FunctionWrappers
   1914.8 ms  ✓ DataValueInterfaces
   1804.9 ms  ✓ SIMDTypes
   2301.2 ms  ✓ ManualMemory
   2026.8 ms  ✓ EnumX
   2488.2 ms  ✓ SuiteSparse_jll
   1997.6 ms  ✓ Reexport
   2694.4 ms  ✓ OrderedCollections
   2808.5 ms  ✓ CompilerSupportLibraries_jll
   4721.2 ms  ✓ FillArrays
   2807.0 ms  ✓ Requires
   5328.3 ms  ✓ OffsetArrays
   1999.1 ms  ✓ FastPower
   2202.1 ms  ✓ CompositionsBase
   2378.4 ms  ✓ Mmap
   1991.8 ms  ✓ IfElse
   2189.0 ms  ✓ CommonWorldInvalidations
   1981.8 ms  ✓ PackageExtensionCompat
   1912.9 ms  ✓ FastClosures
   2403.0 ms  ✓ Inflate
   2091.7 ms  ✓ DataAPI
   2408.0 ms  ✓ ConstructionBase
   3106.8 ms  ✓ EnzymeCore
   2620.1 ms  ✓ StaticArraysCore
   5184.2 ms  ✓ IrrationalConstants
   1890.6 ms  ✓ TableTraits
   2196.1 ms  ✓ NaNMath
   3211.4 ms  ✓ CpuId
   2818.2 ms  ✓ Compat
   3012.0 ms  ✓ DocStringExtensions
   3481.3 ms  ✓ Preferences
   2800.7 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   4684.4 ms  ✓ GenericSchur
   2206.4 ms  ✓ RuntimeGeneratedFunctions
   1903.1 ms  ✓ FunctionWrappersWrappers
   6019.9 ms  ✓ FastLapackInterface
   5784.0 ms  ✓ LazyArtifacts
   2800.8 ms  ✓ Parameters
   2500.1 ms  ✓ FillArrays → FillArraysStatisticsExt
   2207.7 ms  ✓ Adapt
   2195.1 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   2110.3 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2174.5 ms  ✓ ADTypes → ADTypesConstructionBaseExt
  11105.8 ms  ✓ MacroTools
   7282.3 ms  ✓ InteractiveUtils
   4818.0 ms  ✓ DifferentiationInterface
   4199.4 ms  ✓ ThreadingUtilities
   2202.5 ms  ✓ DiffResults
   2308.3 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   2498.1 ms  ✓ Compat → CompatLinearAlgebraExt
   2189.2 ms  ✓ EnzymeCore → AdaptExt
   2488.3 ms  ✓ OffsetArrays → OffsetArraysAdaptExt
   2619.8 ms  ✓ PrecompileTools
   2709.7 ms  ✓ GPUArraysCore
   2975.4 ms  ✓ JLLWrappers
   3204.9 ms  ✓ LogExpFunctions
   4199.9 ms  ✓ Tables
   4099.1 ms  ✓ ArrayInterface
   2886.2 ms  ✓ CommonSubexpressions
   2414.3 ms  ✓ TruncatedStacktraces
  11421.3 ms  ✓ TimerOutputs
  11101.1 ms  ✓ Distributed
   4096.8 ms  ✓ SimpleTraits
   2883.7 ms  ✓ oneTBB_jll
   2996.4 ms  ✓ OpenSpecFun_jll
   6611.6 ms  ✓ Setfield
   2299.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   4810.8 ms  ✓ Static
   6710.5 ms  ✓ ChainRulesCore
   3408.2 ms  ✓ MaybeInplace
   2415.5 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2296.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   2299.8 ms  ✓ SciMLStructures
   7199.9 ms  ✓ IntelOpenMP_jll
   2401.4 ms  ✓ BitTwiddlingConvenienceFunctions
   9207.2 ms  ✓ DataStructures
   3496.6 ms  ✓ SharedArrays
   2298.7 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
  10594.8 ms  ✓ Accessors
   9176.0 ms  ✓ RecipesBase
   2404.0 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2393.9 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
  18379.8 ms  ✓ SparseArrays
   3291.9 ms  ✓ FiniteDiff
   2611.2 ms  ✓ Accessors → AccessorsDatesExt
   5299.0 ms  ✓ CPUSummary
   4681.2 ms  ✓ HostCPUFeatures
   7404.5 ms  ✓ StaticArrayInterface
   5086.0 ms  ✓ SymbolicIndexingInterface
   2918.1 ms  ✓ Statistics → SparseArraysExt
   2998.4 ms  ✓ FillArrays → FillArraysSparseArraysExt
   3581.7 ms  ✓ DifferentiationInterface → DifferentiationInterfaceSparseArraysExt
   6812.2 ms  ✓ MKL_jll
   7506.0 ms  ✓ LogExpFunctions → LogExpFunctionsChainRulesCoreExt
   5406.8 ms  ✓ KLU
   3008.1 ms  ✓ ArrayInterface → ArrayInterfaceSparseArraysExt
   2897.9 ms  ✓ ChainRulesCore → ChainRulesCoreSparseArraysExt
  18194.4 ms  ✓ Test
   7816.6 ms  ✓ SciMLOperators
   3092.6 ms  ✓ FiniteDiff → FiniteDiffSparseArraysExt
   2604.3 ms  ✓ StaticArrayInterface → StaticArrayInterfaceOffsetArraysExt
