Precompiling Pkg...
   1062.1 ms  ✓ p7zip_jll
   1132.3 ms  ✓ Logging
   1137.2 ms  ✓ MozillaCACerts_jll
   1158.8 ms  ✓ UUIDs
   1158.9 ms  ✓ Unicode
   1165.7 ms  ✓ Base64
   1229.9 ms  ✓ nghttp2_jll
   1228.4 ms  ✓ Zlib_jll
   1242.4 ms  ✓ MbedTLS_jll
   1302.9 ms  ✓ NetworkOptions
    328.9 ms  ✓ LibSSH2_jll
    486.2 ms  ✓ Printf
    470.1 ms  ✓ LibGit2_jll
    474.8 ms  ✓ LibCURL_jll
   2143.4 ms  ✓ ArgTools
    545.1 ms  ✓ LibCURL
    546.8 ms  ✓ Tar
   2439.4 ms  ✓ Dates
   2925.6 ms  ✓ Markdown
   2331.2 ms  ✓ LibGit2
    364.1 ms  ✓ TOML
   2939.7 ms  ✓ Downloads
  39988.6 ms  ✓ Pkg
  23 dependencies successfully precompiled in 46 seconds
Precompiling project...
   1727.8 ms  ✓ IteratorInterfaceExtensions
   1821.9 ms  ✓ LaTeXStrings
   1826.0 ms  ✓ SimpleUnPack
   1821.6 ms  ✓ UnPack
   1826.6 ms  ✓ Future
   1829.4 ms  ✓ ConcreteStructs
   1844.6 ms  ✓ MuladdMacro
   2121.7 ms  ✓ OpenLibm_jll
   2142.5 ms  ✓ ExprTools
   2418.5 ms  ✓ InverseFunctions
   3313.0 ms  ✓ Statistics
   3420.9 ms  ✓ ADTypes
   1786.4 ms  ✓ CommonSolve
   3518.8 ms  ✓ Serialization
   1903.4 ms  ✓ ManualMemory
   3744.3 ms  ✓ FunctionWrappers
   1687.5 ms  ✓ DataValueInterfaces
   2392.7 ms  ✓ SuiteSparse_jll
   1891.5 ms  ✓ Reexport
   4316.7 ms  ✓ FillArrays
   2601.5 ms  ✓ Requires
   2478.5 ms  ✓ EnumX
   2984.9 ms  ✓ OrderedCollections
   3111.7 ms  ✓ CompilerSupportLibraries_jll
   2085.6 ms  ✓ SIMDTypes
   1914.9 ms  ✓ CompositionsBase
   1891.1 ms  ✓ FastPower
   2004.1 ms  ✓ IfElse
   2691.2 ms  ✓ DocStringExtensions
   1817.2 ms  ✓ CommonWorldInvalidations
   2592.4 ms  ✓ EnzymeCore
   2011.1 ms  ✓ DataAPI
   2124.3 ms  ✓ ConstructionBase
   2312.7 ms  ✓ FastClosures
   2313.2 ms  ✓ StaticArraysCore
   1796.0 ms  ✓ TableTraits
   2996.7 ms  ✓ CpuId
   2615.0 ms  ✓ Compat
   8537.1 ms  ✓ ExproniconLite
   5213.9 ms  ✓ IrrationalConstants
   2493.0 ms  ✓ NaNMath
   2710.8 ms  ✓ InverseFunctions → InverseFunctionsDatesExt
   3715.9 ms  ✓ Preferences
   4797.4 ms  ✓ GenericSchur
   5571.5 ms  ✓ Crayons
   2295.1 ms  ✓ RuntimeGeneratedFunctions
   1999.0 ms  ✓ FunctionWrappersWrappers
   2310.2 ms  ✓ FillArrays → FillArraysStatisticsExt
   5201.5 ms  ✓ LazyArtifacts
   6112.9 ms  ✓ InteractiveUtils
   2411.1 ms  ✓ Adapt
   2300.0 ms  ✓ Parameters
   2020.6 ms  ✓ ADTypes → ADTypesEnzymeCoreExt
   1997.0 ms  ✓ ConstructionBase → ConstructionBaseLinearAlgebraExt
   2693.9 ms  ✓ CompositionsBase → CompositionsBaseInverseFunctionsExt
   4102.9 ms  ✓ ThreadingUtilities
  10797.1 ms  ✓ MacroTools
   2517.3 ms  ✓ ADTypes → ADTypesConstructionBaseExt
   6481.5 ms  ✓ DifferentiationInterface
   2380.7 ms  ✓ DiffResults
   2299.0 ms  ✓ Compat → CompatLinearAlgebraExt
   2485.7 ms  ✓ JLLWrappers
   2299.2 ms  ✓ PrecompileTools
   2204.2 ms  ✓ EnzymeCore → AdaptExt
   3720.0 ms  ✓ Tables
   3500.2 ms  ✓ LogExpFunctions
   3014.8 ms  ✓ ArrayInterface
   2686.1 ms  ✓ CommonSubexpressions
   3487.9 ms  ✓ GPUArraysCore
   9521.9 ms  ✓ Distributed
   3109.2 ms  ✓ TruncatedStacktraces
  11292.3 ms  ✓ TimerOutputs
   3177.7 ms  ✓ oneTBB_jll
   3199.5 ms  ✓ OpenSpecFun_jll
   2279.1 ms  ✓ LogExpFunctions → LogExpFunctionsInverseFunctionsExt
   2078.2 ms  ✓ SciMLStructures
   7113.1 ms  ✓ Setfield
   2314.5 ms  ✓ ArrayInterface → ArrayInterfaceStaticArraysCoreExt
   6096.9 ms  ✓ ChainRulesCore
   9085.4 ms  ✓ Jieko
   4100.1 ms  ✓ Static
   6201.0 ms  ✓ IntelOpenMP_jll
   3502.0 ms  ✓ MaybeInplace
   2602.6 ms  ✓ DifferentiationInterface → DifferentiationInterfaceGPUArraysCoreExt
   8384.5 ms  ✓ DataStructures
   2295.3 ms  ✓ ADTypes → ADTypesChainRulesCoreExt
   2492.5 ms  ✓ DifferentiationInterface → DifferentiationInterfaceChainRulesCoreExt
   2715.6 ms  ✓ ArrayInterface → ArrayInterfaceGPUArraysCoreExt
   2287.3 ms  ✓ ArrayInterface → ArrayInterfaceChainRulesCoreExt
   3091.5 ms  ✓ FiniteDiff
   7905.5 ms  ✓ RecipesBase
   2409.8 ms  ✓ BitTwiddlingConvenienceFunctions
  10727.2 ms  ✓ Accessors
  16492.4 ms  ✓ SparseArrays
   2399.8 ms  ✓ DifferentiationInterface → DifferentiationInterfaceFiniteDiffExt
  10192.9 ms  ✓ StringManipulation
   2582.5 ms  ✓ Accessors → LinearAlgebraExt
